FK_dim_Solicitacoes,Apoio,Notificação,Agendamento,Prazo,FK_dim_Entidades,FK_dim_Servicos,FK_dim_Usuarios,FK_dim_GruposUsuarios,FK_dim_Acoes,FK_dim_StatusExt,FK_dim_CategoriasServicos,FK_dim_GrupoResponsavel,FK_dim_MotivosCanc,FK_dim_Encaminhamento,FK_dim_Situacao,Nota Avaliação,Motivo Avaliação,Data Avaliação,Hora Avaliação,Hora Criacao,Hora Conclusao,FK_dim_SLA,Data Criacao,Data Conclusao
"2020.12-32.687","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 12:18:47.006,,3,2020-12-30 00:00:00.000,
"2020.12-32.686","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 12:17:28.490,,3,2020-12-30 00:00:00.000,
"2020.12-32.684","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 16:26:40.373,,3,2020-12-28 00:00:00.000,
"2020.12-32.682","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 16:19:32.790,,3,2020-12-28 00:00:00.000,
"2020.12-35.685","0","0","0",0,1,2,1,2,1,1,2,2,1,"",1,-1,"",,,1899-12-30 16:26:38.870,,3,2020-12-28 00:00:00.000,
"2020.12-32.680","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 16:07:18.993,,3,2020-12-28 00:00:00.000,
"2020.12-35.683","0","0","0",0,1,2,1,2,1,1,2,2,1,"",1,-1,"",,,1899-12-30 16:19:58.333,,3,2020-12-28 00:00:00.000,
"2020.12-32.678","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 15:37:26.596,,3,2020-12-28 00:00:00.000,
"2020.12-32.676","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 15:12:35.986,,3,2020-12-28 00:00:00.000,
"2020.12-35.681","0","0","0",0,1,2,1,2,1,1,2,2,1,"",1,-1,"",,,1899-12-30 16:07:41.030,,3,2020-12-28 00:00:00.000,
"2020.12-32.675","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 15:06:31.266,,3,2020-12-28 00:00:00.000,
"2020.12-32.673","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 14:55:08.756,,3,2020-12-28 00:00:00.000,
"2020.12-35.679","0","0","0",0,1,2,1,2,1,1,2,2,1,"",1,-1,"",,,1899-12-30 15:37:42.146,,3,2020-12-28 00:00:00.000,
"2020.12-32.672","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 14:49:22.140,,3,2020-12-28 00:00:00.000,
"2020.12-32.670","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 14:40:08.923,,3,2020-12-28 00:00:00.000,
"2020.12-35.677","0","0","0",0,1,2,1,2,1,1,2,2,1,"",1,-1,"",,,1899-12-30 15:13:10.320,,3,2020-12-28 00:00:00.000,
"2020.12-32.669","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 14:20:46.350,,3,2020-12-28 00:00:00.000,
"2020.12-32.666","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 11:59:09.130,,3,2020-12-21 00:00:00.000,
"2020.12-32.664","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 11:32:01.906,,3,2020-12-21 00:00:00.000,
"2020.12-35.674","0","0","0",0,1,2,1,2,1,1,2,2,1,"",1,-1,"",,,1899-12-30 14:55:12.706,,3,2020-12-28 00:00:00.000,
"2020.12-32.663","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 11:29:29.213,,3,2020-12-21 00:00:00.000,
"2020.12-32.662","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 19:03:20.366,,3,2020-12-17 00:00:00.000,
"2020.12-32.661","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 19:01:54.710,,3,2020-12-17 00:00:00.000,
"2020.12-35.671","0","0","0",0,1,2,1,2,1,1,2,2,1,"",1,-1,"",,,1899-12-30 14:40:31.523,,3,2020-12-28 00:00:00.000,
"2020.12-32.659","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 10:39:24.156,,3,2020-12-16 00:00:00.000,
"2020.12-35.667","0","0","0",0,1,2,1,2,1,1,2,2,1,"",1,-1,"",,,1899-12-30 11:59:35.516,,3,2020-12-21 00:00:00.000,
"2020.12-35.665","0","0","0",0,1,2,1,2,1,1,2,2,1,"",1,-1,"",,,1899-12-30 11:57:31.796,,3,2020-12-21 00:00:00.000,
"2020.12-32.658","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 10:37:28.170,,3,2020-12-16 00:00:00.000,
"2020.12-32.657","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 10:29:01.713,,3,2020-12-16 00:00:00.000,
"2020.12-32.656","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 17:21:06.620,,3,2020-12-15 00:00:00.000,
"2020.12-32.655","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 15:42:19.173,,3,2020-12-15 00:00:00.000,
"2020.12-32.654","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 15:41:40.043,,3,2020-12-15 00:00:00.000,
"2020.12-32.653","0","0","0",21600,1,1,1,1,1,1,1,1,1,"",1,-1,"",,,1899-12-30 15:38:34.703,,3,2020-12-15 00:00:00.000,
