Periodo,Tipo Producto,Ingresos,Gastos,Continente,Pais,Utilidad,Año
Q1,Celulares,48761.245076923085,40748.76678031432, Oceanía,Nueva Zelanda,8012.478296608766,2017
Q1,PC,1827118.9367088608,1717105.26582278, Asia,Rusia,110013.67088608073,2019
Q2,PC,91584.9333333333,81284.60187012986, Europa,Noruega,10300.331463203474,2019
Q4,Accesorios,106900.3154875717,86170.94996259041, Asia,República de Corea,20729.365524981287,2019
Q1,Celulares,81243.33076923077,72216.29401709401, Europa,Suecia,9027.03675213676,2018
Q2,Tablets,116895.18181818182,111488.77965909091, África,Argelia,5406.4021590909115,2018
Q2,Aplicaciones,146416.3057142857,96007.26331836733, África,Kenia,50409.04239591838,2019
Q1,Aplicaciones,26833.647435897437,14636.534965034964, Europa,Eslovaquia,12197.11247086247,2018
Q3,Accesorios,110182.89090909091,99164.60181818182, África,Tanzania,11018.289090909091,2019
Q3,Musica,458916.33663366333,275349.801980198, Asia,Irán,183566.53465346535,2019
Q3,Accesorios,20276.867924528306,17833.871789042965, Europa,República Checa,2442.9961354853367,2017
Q3,Celulares,5200471.793478261,4070339.4156716415, Europa,Alemania,1130132.3778066188,2017
Q4,Musica,28671.568493150684,17202.941095890408, Europa,Eslovaquia,11468.627397260276,2019
Q3,PC,236287.85897435897,224273.31630980392, América,Guatemala,12014.542664555049,2019
Q1,Musica,771943.7360594795,496249.54460966535, América,Brasil,275694.1914498142,2017
Q4,TV,14436.037900874637,9458.09379712476, Europa,Austria,4977.944103749875,2018
Q2,Celulares,89969.47368421053,81227.9951916829, Europa,Finlandia,8741.478492527618,2017
Q2,Aplicaciones,173127.38851351352,95377.45221744473, África,Kenia,77749.9362960688,2017
Q2,Aplicaciones,86173.48897058822,51704.09338235294, América,Chile,34469.3955882353,2019
Q2,Aplicaciones,119363.24013157896,78203.5021551724, América,Venezuela,41159.73797640654,2017
Q2,Celulares,130570.62204724408,111082.46950287932, Europa,Bélgica,19488.152544364784,2018
Q3,TV,98376.44857142857,59750.94291940801, Europa,Reino Unido,38625.50565202056,2019
Q4,Musica,870384.8533333334,676531.495392, Asia,Indonesia,193853.35794133344,2017
Q1,Celulares,163850.68,166649.4267502703, Europa,Grecia,-2798.7467502703075,2019
Q1,Tablets,484348.02083333326,430954.41758432536, África,Nigeria,53393.60324900795,2019
Q4,TV,713728.6084656084,439217.6052096053, América,Canadá,274511.0032560032,2019
Q3,Accesorios,56874.66597938145,50692.63706857911, África,Camerún,6182.028910802335,2017
Q3,PC,325146.45098039217,290556.4030037547, Europa,Bélgica,34590.047976637485,2018
Q3,Musica,56493.58605633802,38133.17058802816, Europa,Portugal,18360.41546830986,2019
Q1,Musica,149876.59905660377,97197.74998078265, Asia,Malasia,52678.8490758211,2018
Q2,Musica,39491.02830188679,25387.089622641503, Europa,Eslovaquia,14103.938679245286,2017
Q4,Aplicaciones,25956.551928783385,16343.014177382132, Europa,Suiza,9613.53775140125,2017
Q3,TV,47494.52765321375,26424.228112515284, Asia,Malasia,21070.299540698463,2018
Q3,Musica,157296.23267326734,96265.29439603962, Asia,Malasia,61030.93827722772,2019
Q3,Aplicaciones,100672.31021897812,64717.91371220021, África,Camerún,35954.3965067779,2017
Q1,Celulares,335823.1504424779,265097.02746902657, América,Perú,70726.12297345133,2019
Q4,PC,558059.0588235294,444881.9922528704, América,Perú,113177.06657065904,2019
Q4,Musica,819337.6211453746,542518.5534298301, África,Nigeria,276819.0677155444,2019
Q2,TV,13985.695156695156,8990.804029304029, Asia,Israel,4994.891127391129,2017
Q4,TV,19582.44463276836,10681.333436055467, Europa,Austria,8901.11119671289,2019
Q1,Tablets,75989.56749311295,59102.99693908785, África,Camerún,16886.5705540251,2018
Q1,TV,14436.037900874637,7874.202491386163, Europa,Austria,6561.835409488471,2018
Q1,Tablets,1265723.2936507936,1079029.1078373017, Europa,Alemania,186694.18581349196,2017
Q4,PC,129183.65789473684,108678.31537176274, Asia,Israel,20505.342522974097,2019
Q4,Aplicaciones,4542879.015616044,2534794.813061127, América,Estados Unidos,2008084.2025549184,2017
Q2,TV,1754292.4850000003,1071371.4819107142, Europa,Alemania,682921.0030892862,2019
Q1,Tablets,29335.512396694216,26036.219703767307, Europa,Portugal,3299.292692926909,2018
Q3,PC,638760.9310344828,548794.6027197669, América,Colombia,89966.32831471588,2017
Q3,PC,1262102.0,1106286.9382716047, Asia,Tailandia,155815.06172839506,2017
Q1,Musica,21122.219888446216,14180.968642496684, Oceanía,Nueva Zelanda,6941.251245949532,2017
Q3,Tablets,49352.58630952381,40213.21847442681, Europa,Bélgica,9139.367835097,2018
Q1,Musica,62621.51748251749,43765.48277389278, América,Ecuador,18856.034708624706,2017
Q3,Musica,220983.6561264822,146094.75043917436, Asia,República de Corea,74888.90568730785,2018
Q4,PC,2354299.2405063286,1968378.8159841157, África,Nigeria,385920.4245222136,2017
Q3,TV,2348836.6922222218,1348028.0146666665, América,Estados Unidos,1000808.6775555552,2017
Q2,Accesorios,18271.442804428043,15008.685160780178, Europa,Austria,3262.757643647865,2018
Q1,Aplicaciones,16051.92944785276,10701.286298568508, América,Costa Rica,5350.643149284253,2017
Q4,Celulares,56953.566666666666,45786.200653594766, Europa,Irlanda,11167.366013071893,2017
Q4,Aplicaciones,337094.9090909091,183869.95041322315, Asia,Irán,153224.95867768597,2019
Q2,Celulares,15543772.182843136,13009461.500857843, América,Estados Unidos,2534310.6819852907,2017
Q2,Tablets,381364.8978978978,325281.82467761874, Asia,Japón,56083.073220279126,2018
Q2,TV,14792.203081232494,9509.273409363745, Europa,Suecia,5282.929671868749,2019
Q2,Musica,21381.69649805448,12722.109416342411, Europa,Noruega,8659.587081712063,2017
Q1,Musica,166068.80073800738,99779.67111008608, África,Argelia,66289.1296279213,2018
Q4,Musica,2113039.394680851,1232606.3135638295, Asia,India,880433.0811170216,2017
Q1,Celulares,152317.79338842977,137983.51735524478, América,Guatemala,14334.276033184986,2018
Q3,Accesorios,20360.97705544933,18740.76313656889, Europa,Portugal,1620.2139188804358,2017
Q2,Musica,35316.39568345324,20601.23081534772, Asia,Israel,14715.16486810552,2019
Q1,Celulares,109660.61224489794,96448.49028768131, Europa,República Checa,13212.121957216616,2017
Q1,Aplicaciones,87845.9237804878,43124.36258314856, Oceanía,Australia,44721.56119733925,2017
Q3,PC,2415449.8701298703,2066551.555555556, África,Nigeria,348898.3145743143,2019
Q1,Aplicaciones,213802.08143322475,131672.59222059976, África,Sudáfrica,82129.48921262499,2017
Q1,Celulares,144767.5865079365,119807.6577996716, Europa,Bélgica,24959.92870826491,2019
Q2,PC,52304.29591836735,44131.74968112245, Europa,Irlanda,8172.546237244896,2018
Q1,Accesorios,18579.966228893056,15630.765240179877, Europa,Austria,2949.2009887131844,2018
Q4,Musica,39760.71818181818,23193.752272727263, Europa,Suiza,16566.96590909091,2019
Q3,Aplicaciones,36489.25723472669,23577.673905515712, América,República Dominicana,12911.583329210978,2017
Q1,Accesorios,103109.7170212766,91778.97888707036, Europa,Ucrania,11330.738134206227,2018
Q4,Musica,286313.28363636363,176473.0966413223, Europa,Francia,109840.18699504132,2018
Q2,Aplicaciones,192291.35294117648,108686.41687979542, América,Colombia,83604.93606138106,2019
Q4,Celulares,371588.3898305085,303449.9345267569, África,Sudán,68138.45530375163,2017
Q4,Tablets,30955.78779069768,26482.177168042013, Europa,Portugal,4473.610622655662,2018
Q4,Tablets,177546.9680511182,151437.11980830668, América,Colombia,26109.84824281151,2018
Q3,Musica,279544.325,174435.6588, Asia,República de Corea,105108.6662,2017
Q2,Celulares,80802.55639097742,69733.71304974765, Europa,República Checa,11068.843341229787,2019
Q2,Musica,68271.11666666667,47352.84652000001, Europa,Grecia,20918.270146666662,2017
Q3,Aplicaciones,584873.0817610063,379301.02450500807, África,Nigeria,205572.0572559981,2019
Q2,Aplicaciones,400613.5993690852,226433.77355643947, Asia,Japón,174179.8258126457,2018
Q1,Accesorios,106664.49328214972,94115.72936660268, América,Colombia,12548.763915547024,2018
Q1,Tablets,3395311.164102565,3048850.841234956, Asia,India,346460.32286760863,2019
Q4,Aplicaciones,362600.70460526313,246568.47913157893, Europa,Francia,116032.2254736842,2019
Q1,TV,112147.2863187588,63387.59661495064, Asia,Tailandia,48759.689703808166,2019
Q1,Tablets,34225.28662420382,30051.471182227742, Europa,República Checa,4173.815441976076,2017
Q4,PC,563972.9444444444,512076.0401627384, Europa,Polonia,51896.90428170597,2017
Q1,Accesorios,23212.380219780225,19848.267144449757, Europa,Suecia,3364.113075330468,2019
Q3,Celulares,427432.12631578953,396617.2520930233, Europa,Polonia,30814.8742227662,2018
Q2,Musica,37330.63878326996,22972.700789704595, Asia,Israel,14357.937993565369,2017
Q2,Musica,108666.42857142857,61420.15527950311, Asia,Yemen,47246.273291925456,2019
Q3,TV,57780.931528662426,32658.78738576572, América,Venezuela,25122.144142896705,2017
Q3,Accesorios,117209.3605870021,105080.16720490895, Asia,República de Corea,12129.193382093144,2018
