SubscriptionId,ManagementGroupId,Subscription Name,Tags,IsSpendingLimitOn,StateId
"01639594-cf98-4011-b14a-905062f4aa23","RJTestMG","RJ (QueMesa) - MSDN","{
  ""hidden-link-ArgMgTag"": ""[\""RJTestMG\"",\""c986e767-07af-4c9c-b2a1-08446a3c3e71\""]""
}",True,1
"0b99ca5c-439a-4841-9e1b-bc078bc5d07a","c986e767-07af-4c9c-b2a1-08446a3c3e71","PROD - Build Server - MSDN","{
  ""hidden-link-ArgMgTag"": ""[\""c986e767-07af-4c9c-b2a1-08446a3c3e71\""]""
}",True,1
"0e1e4d81-496e-47c3-a0de-a7fc513a96f1","c986e767-07af-4c9c-b2a1-08446a3c3e71","SO - MSDN","{
  ""hidden-link-ArgMgTag"": ""[\""c986e767-07af-4c9c-b2a1-08446a3c3e71\""]""
}",True,1
"2a479f74-c465-40da-a5f3-c7111f599c99","KSTest","KS - MSDN","{
  ""hidden-link-ArgMgTag"": ""[\""KSTest\"",\""c986e767-07af-4c9c-b2a1-08446a3c3e71\""]""
}",True,1
"3b850c94-10ac-4e1b-8824-4d83a8002e5f","AlexDavisTest","CostBot - DEV - MSDN","{
  ""hidden-link-ArgMgTag"": ""[\""AlexDavisTest\"",\""c986e767-07af-4c9c-b2a1-08446a3c3e71\""]""
}",True,1
"461eb62b-c31f-4350-aea1-36b9e4532fb1","c986e767-07af-4c9c-b2a1-08446a3c3e71","WK - MSDN","{
  ""hidden-link-ArgMgTag"": ""[\""c986e767-07af-4c9c-b2a1-08446a3c3e71\""]""
}",True,1
"4c6c2b0c-c619-480e-a3f9-4eec72aed9dc","AlexDavisTest","DEV - 002 - MPN","{
  ""hidden-link-ArgMgTag"": ""[\""AlexDavisTest\"",\""c986e767-07af-4c9c-b2a1-08446a3c3e71\""]""
}",True,1
"611f324a-33ae-4dba-bec3-e6d83cc1b0e4","c986e767-07af-4c9c-b2a1-08446a3c3e71","Visual Studio Enterprise Subscription – MPN","{
  ""hidden-link-ArgMgTag"": ""[\""c986e767-07af-4c9c-b2a1-08446a3c3e71\""]""
}",True,1
"8c1e1941-46b6-4bce-a4eb-e9a27d69154f","c986e767-07af-4c9c-b2a1-08446a3c3e71","PROD - Silver Credits","{
  ""hidden-link-ArgMgTag"": ""[\""c986e767-07af-4c9c-b2a1-08446a3c3e71\""]""
}",False,1
"bb0e5691-f47c-49ab-af30-bfe9dd28bdba","DisabledSubs","AJ - MSDN","{
  ""hidden-link-ArgMgTag"": ""[\""DisabledSubs\"",\""c986e767-07af-4c9c-b2a1-08446a3c3e71\""]""
}",True,1
"c2065e1e-6a31-4778-af36-71fe4f0ef4bc","c986e767-07af-4c9c-b2a1-08446a3c3e71","RK – MSDN","{
  ""hidden-link-ArgMgTag"": ""[\""c986e767-07af-4c9c-b2a1-08446a3c3e71\""]""
}",True,1
"d3e17d2e-fa87-4e79-933d-b3159bde6586","c986e767-07af-4c9c-b2a1-08446a3c3e71","CP - MSDN","{
  ""hidden-link-ArgMgTag"": ""[\""c986e767-07af-4c9c-b2a1-08446a3c3e71\""]""
}",True,1
"ed42b78a-dad6-4e14-89b9-e88191618c37","c986e767-07af-4c9c-b2a1-08446a3c3e71","KK - MSDN","{
  ""hidden-link-ArgMgTag"": ""[\""c986e767-07af-4c9c-b2a1-08446a3c3e71\""]""
}",True,1
"fb65911d-36e6-4b33-b8f4-05c36019a2bf","c986e767-07af-4c9c-b2a1-08446a3c3e71","YT - MSDN","{
  ""hidden-link-ArgMgTag"": ""[\""c986e767-07af-4c9c-b2a1-08446a3c3e71\""]""
}",True,1
