CostGroupResourceContainerId,CostGroupId,ResourceGroupId,SubscriptionId,DateCreated,DateUpdated,UpdatedByUserId,CreatedByUserId
1,6,"/subscriptions/bb0e5691-f47c-49ab-af30-bfe9dd28bdba/resourceGroups/DefaultResourceGroup-EAU","bb0e5691-f47c-49ab-af30-bfe9dd28bdba",2021-01-28 16:52:00.000,2021-01-28 16:52:00.000,1,1
3,6,"/subscriptions/ed42b78a-dad6-4e14-89b9-e88191618c37/resourceGroups/KK","ed42b78a-dad6-4e14-89b9-e88191618c37",2021-01-28 16:52:00.000,2021-01-28 16:52:00.000,1,1
4,6,"/subscriptions/ed42b78a-dad6-4e14-89b9-e88191618c37/resourceGroups/fun-tripupdate-rg","ed42b78a-dad6-4e14-89b9-e88191618c37",2021-01-28 16:52:00.000,2021-01-28 16:52:00.000,1,1
5,6,"/subscriptions/8c1e1941-46b6-4bce-a4eb-e9a27d69154f/resourceGroups/NetworkWatcherRG","8c1e1941-46b6-4bce-a4eb-e9a27d69154f",2021-01-28 16:52:00.000,2021-01-28 16:52:00.000,1,1
6,6,"/subscriptions/8c1e1941-46b6-4bce-a4eb-e9a27d69154f/resourceGroups/DataDriven-Prod-CostBot-RG-01","8c1e1941-46b6-4bce-a4eb-e9a27d69154f",2021-01-28 16:52:00.000,2021-01-28 16:52:00.000,1,1
10,7,"/subscriptions/d3e17d2e-fa87-4e79-933d-b3159bde6586/resourceGroups/DevOpsBuildAgentsProdRG","d3e17d2e-fa87-4e79-933d-b3159bde6586",2021-01-28 16:52:00.000,2021-01-28 16:52:00.000,1,1
11,7,"/subscriptions/d3e17d2e-fa87-4e79-933d-b3159bde6586/resourceGroups/TestResourceGroup","d3e17d2e-fa87-4e79-933d-b3159bde6586",2021-01-28 16:52:00.000,2021-01-28 16:52:00.000,1,1
14,7,"/subscriptions/ed42b78a-dad6-4e14-89b9-e88191618c37/resourceGroups/KK","ed42b78a-dad6-4e14-89b9-e88191618c37",2021-01-28 16:52:00.000,2021-01-28 16:52:00.000,1,1
15,7,"/subscriptions/ed42b78a-dad6-4e14-89b9-e88191618c37/resourceGroups/fun-tripupdate-rg","ed42b78a-dad6-4e14-89b9-e88191618c37",2021-01-28 16:52:00.000,2021-01-28 16:52:00.000,1,1
16,7,"/subscriptions/ed42b78a-dad6-4e14-89b9-e88191618c37/resourceGroups/databricks-rg-TransportDataBricks-ejsi7xxzovmm6","ed42b78a-dad6-4e14-89b9-e88191618c37",2021-01-28 16:52:00.000,2021-01-28 16:52:00.000,1,1
