costid,variable,value
43760,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202009/providers/Microsoft.Consumption/usageDetails/3e6e25a4-d6e1-5027-b4b7-de5bd6ab67cd
10259,id,/subscriptions/d3e17d2e-fa87-4e79-933d-b3159bde6586/providers/Microsoft.Billing/billingPeriods/202011/providers/Microsoft.Consumption/usageDetails/e0a121b9-e993-306f-9745-743f0ebf75d8
17794,id,/subscriptions/0b99ca5c-439a-4841-9e1b-bc078bc5d07a/providers/Microsoft.Billing/billingPeriods/202011/providers/Microsoft.Consumption/usageDetails/ba553ece-ff6b-c226-9514-c94b97c9c108
14970,id,/subscriptions/d3e17d2e-fa87-4e79-933d-b3159bde6586/providers/Microsoft.Billing/billingPeriods/202010/providers/Microsoft.Consumption/usageDetails/a8b76829-3b63-bbdb-3e10-4a140105f8f6
30697,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202012/providers/Microsoft.Consumption/usageDetails/d5d4c9a9-bfc0-e6d2-eeed-64a0aa09ff1f
18863,id,/subscriptions/8c1e1941-46b6-4bce-a4eb-e9a27d69154f/providers/Microsoft.Billing/billingPeriods/202009/providers/Microsoft.Consumption/usageDetails/d81a5065-4a45-0e0e-200b-906fe9c2fe64
54181,id,/subscriptions/3b850c94-10ac-4e1b-8824-4d83a8002e5f/providers/Microsoft.Billing/billingPeriods/202101/providers/Microsoft.Consumption/usageDetails/fb79867d-784e-5d98-8b04-02bca46f190e
49708,id,/subscriptions/bb0e5691-f47c-49ab-af30-bfe9dd28bdba/providers/Microsoft.Billing/billingPeriods/202010/providers/Microsoft.Consumption/usageDetails/8301d641-93f9-5071-c34c-fcae34acd071
44591,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202009/providers/Microsoft.Consumption/usageDetails/738b3851-9696-9cf5-d8b1-57e99a9c787c
16128,id,/subscriptions/d3e17d2e-fa87-4e79-933d-b3159bde6586/providers/Microsoft.Billing/billingPeriods/202009/providers/Microsoft.Consumption/usageDetails/4685ac2a-e345-0490-6670-c85114471dd7
18281,id,/subscriptions/8c1e1941-46b6-4bce-a4eb-e9a27d69154f/providers/Microsoft.Billing/billingPeriods/202012/providers/Microsoft.Consumption/usageDetails/7f58642d-9e80-92bc-e22a-cdb04edc982c
45153,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202009/providers/Microsoft.Consumption/usageDetails/7b8b6f58-cf3f-cf0f-5330-0f74227943d3
7957,id,/subscriptions/ed42b78a-dad6-4e14-89b9-e88191618c37/providers/Microsoft.Billing/billingPeriods/202008/providers/Microsoft.Consumption/usageDetails/fad42bce-75f8-871e-9c0d-e44c2477b814
45655,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202009/providers/Microsoft.Consumption/usageDetails/a0d15ae7-9aea-a986-9571-d89fd198fd9b
7670,id,/subscriptions/ed42b78a-dad6-4e14-89b9-e88191618c37/providers/Microsoft.Billing/billingPeriods/202009/providers/Microsoft.Consumption/usageDetails/0dbd3cc9-1df9-1257-700c-c484230b319a
22397,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202102/providers/Microsoft.Consumption/usageDetails/9d415cce-7170-02c0-a100-15810713c853
39932,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202010/providers/Microsoft.Consumption/usageDetails/7f96fc9d-f394-5fe9-70db-766c63ea88d7
3599,id,/subscriptions/ed42b78a-dad6-4e14-89b9-e88191618c37/providers/Microsoft.Billing/billingPeriods/202012/providers/Microsoft.Consumption/usageDetails/3e19846d-7c64-849a-58d4-527cbec7ab31
42263,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202009/providers/Microsoft.Consumption/usageDetails/029eadb1-238c-a587-a138-669fa71d8c42
7151,id,/subscriptions/ed42b78a-dad6-4e14-89b9-e88191618c37/providers/Microsoft.Billing/billingPeriods/202009/providers/Microsoft.Consumption/usageDetails/28a9ac05-11e0-20ee-bfbb-aae32937858b
24771,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202102/providers/Microsoft.Consumption/usageDetails/d9a11793-c25a-fca5-d45a-935235a4d2c3
28167,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202101/providers/Microsoft.Consumption/usageDetails/44b24baf-a5e3-1ecc-0ac3-be919a04b972
46391,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202008/providers/Microsoft.Consumption/usageDetails/61ddec4e-3535-2594-75f9-4b4e9768fed7
11679,id,/subscriptions/d3e17d2e-fa87-4e79-933d-b3159bde6586/providers/Microsoft.Billing/billingPeriods/202012/providers/Microsoft.Consumption/usageDetails/b3c91c79-f43b-3529-2145-30c85f8d47e9
34500,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202010/providers/Microsoft.Consumption/usageDetails/9a8a60a8-e69a-d11c-8f5d-d822ac5abbf6
52457,id,/subscriptions/3b850c94-10ac-4e1b-8824-4d83a8002e5f/providers/Microsoft.Billing/billingPeriods/202102/providers/Microsoft.Consumption/usageDetails/960f2726-6863-f182-8f4d-daa4962c3463
48871,id,/subscriptions/bb0e5691-f47c-49ab-af30-bfe9dd28bdba/providers/Microsoft.Billing/billingPeriods/202010/providers/Microsoft.Consumption/usageDetails/1d22ded9-2783-43fe-2b31-5cce1e0c212f
7259,id,/subscriptions/ed42b78a-dad6-4e14-89b9-e88191618c37/providers/Microsoft.Billing/billingPeriods/202009/providers/Microsoft.Consumption/usageDetails/9f252889-d121-5f5b-e9c3-41197bb3b8b3
8536,id,/subscriptions/ed42b78a-dad6-4e14-89b9-e88191618c37/providers/Microsoft.Billing/billingPeriods/202008/providers/Microsoft.Consumption/usageDetails/aee64d03-92e6-39bd-2262-e2abe2b8244c
9734,id,/subscriptions/d3e17d2e-fa87-4e79-933d-b3159bde6586/providers/Microsoft.Billing/billingPeriods/202101/providers/Microsoft.Consumption/usageDetails/6af82af7-da53-02bb-fb6f-d5bb976a291c
38140,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202010/providers/Microsoft.Consumption/usageDetails/3a507998-f83f-dc2d-d622-9cdbda17ddde
5596,id,/subscriptions/ed42b78a-dad6-4e14-89b9-e88191618c37/providers/Microsoft.Billing/billingPeriods/202010/providers/Microsoft.Consumption/usageDetails/0326ab0d-f7d8-2811-0ba7-9de07e1ce071
54215,id,/subscriptions/3b850c94-10ac-4e1b-8824-4d83a8002e5f/providers/Microsoft.Billing/billingPeriods/202011/providers/Microsoft.Consumption/usageDetails/f5559db6-9a1c-dce2-0e8c-f2157fb6c3e1
23418,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202102/providers/Microsoft.Consumption/usageDetails/9acf36a9-f599-aef3-cd9e-c27927f8c22c
47308,id,/subscriptions/bb0e5691-f47c-49ab-af30-bfe9dd28bdba/providers/Microsoft.Billing/billingPeriods/202012/providers/Microsoft.Consumption/usageDetails/39153518-5a0e-9892-0a3c-a7247c890d24
1064,id,/subscriptions/ed42b78a-dad6-4e14-89b9-e88191618c37/providers/Microsoft.Billing/billingPeriods/202101/providers/Microsoft.Consumption/usageDetails/cd5c5771-2aff-094b-f164-3474d9222631
43433,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202009/providers/Microsoft.Consumption/usageDetails/7073317e-0b1d-c88d-80aa-8876d1c904f2
10206,id,/subscriptions/d3e17d2e-fa87-4e79-933d-b3159bde6586/providers/Microsoft.Billing/billingPeriods/202012/providers/Microsoft.Consumption/usageDetails/cb9f53d0-a845-fc7e-93c9-35b225d8e6fd
24852,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202102/providers/Microsoft.Consumption/usageDetails/635fa913-4293-797c-062e-152b291d3246
15165,id,/subscriptions/d3e17d2e-fa87-4e79-933d-b3159bde6586/providers/Microsoft.Billing/billingPeriods/202010/providers/Microsoft.Consumption/usageDetails/370d2d9c-a638-3a1f-81fa-ef1ef406340a
40558,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202010/providers/Microsoft.Consumption/usageDetails/d3ff59d0-65e8-a19d-c02b-b3102c53ec0d
32233,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202012/providers/Microsoft.Consumption/usageDetails/24085df0-b948-a181-8fe4-95411dad4e20
338,id,/subscriptions/ed42b78a-dad6-4e14-89b9-e88191618c37/providers/Microsoft.Billing/billingPeriods/202102/providers/Microsoft.Consumption/usageDetails/de2bc395-5ca5-1281-5810-a705114e8560
31242,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202012/providers/Microsoft.Consumption/usageDetails/a4e2b8a0-7469-f6f8-3d8b-070a41899f03
42275,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202009/providers/Microsoft.Consumption/usageDetails/d40f2bfa-0afa-7833-83b2-efc9d7ecd477
22373,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202102/providers/Microsoft.Consumption/usageDetails/630c074a-9884-0736-cfcc-f990598ea470
10336,id,/subscriptions/d3e17d2e-fa87-4e79-933d-b3159bde6586/providers/Microsoft.Billing/billingPeriods/202011/providers/Microsoft.Consumption/usageDetails/0f946fe7-8c64-1424-b346-d50497786297
21888,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202101/providers/Microsoft.Consumption/usageDetails/4f022b8b-dbed-08d4-5bf0-762b04d6ad7d
13467,id,/subscriptions/d3e17d2e-fa87-4e79-933d-b3159bde6586/providers/Microsoft.Billing/billingPeriods/202011/providers/Microsoft.Consumption/usageDetails/f17944bc-0951-1cc1-4fd9-c0685d27f654
28705,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202101/providers/Microsoft.Consumption/usageDetails/5d74fb3e-07cd-4d9f-fb60-95e24d8dd183
26125,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202012/providers/Microsoft.Consumption/usageDetails/a481d3c1-9978-3b13-9171-66cfe6d64190
41607,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202009/providers/Microsoft.Consumption/usageDetails/6dcce6b6-ea9e-0b1d-e89d-c5c55e753991
33251,id,/subscriptions/01639594-cf98-4011-b14a-905062f4aa23/providers/Microsoft.Billing/billingPeriods/202012/providers/Microsoft.Consumption/usageDetails/27906ec8-5462-74d5-c322-33d3eda09687
11555,id,/subscriptions/d3e17d2e-fa87-4e79-933d-b3159bde6586/providers/Microsoft.Billing/billingPeriods/202012/providers/Microsoft.Consumption/usageDetails/a56ac3da-8898-3c88-5784-534966a0c8e0
53118,id,/subscriptions/3b850c94-10ac-4e1b-8824-4d83a8002e5f/providers/Microsoft.Billing/billingPeriods/202102/providers/Microsoft.Consumption/usageDetails/93686c36-ab5b-487a-9d28-3993bc667706
