Datestamp,DayOfMonth,MonthNumberOfYear,Year,DayOfWeekNumber,MonthName,DayName,IsToday,Week Ending,DaysFromToday,Month-Year,MonthYearSortBy
2018-01-08 00:00:00.000,8,1,2018,2,"January","Monday",False,2018-01-13 00:00:00.000,-328,"Jan-2018",201801
2018-01-09 00:00:00.000,9,1,2018,3,"January","Tuesday",False,2018-01-13 00:00:00.000,-327,"Jan-2018",201801
2018-01-10 00:00:00.000,10,1,2018,4,"January","Wednesday",False,2018-01-13 00:00:00.000,-326,"Jan-2018",201801
2018-01-11 00:00:00.000,11,1,2018,5,"January","Thursday",False,2018-01-13 00:00:00.000,-325,"Jan-2018",201801
2018-01-12 00:00:00.000,12,1,2018,6,"January","Friday",False,2018-01-13 00:00:00.000,-324,"Jan-2018",201801
2018-01-13 00:00:00.000,13,1,2018,7,"January","Saturday",False,2018-01-13 00:00:00.000,-323,"Jan-2018",201801
2018-01-14 00:00:00.000,14,1,2018,1,"January","Sunday",False,2018-01-20 00:00:00.000,-322,"Jan-2018",201801
2018-01-15 00:00:00.000,15,1,2018,2,"January","Monday",False,2018-01-20 00:00:00.000,-321,"Jan-2018",201801
2018-01-16 00:00:00.000,16,1,2018,3,"January","Tuesday",False,2018-01-20 00:00:00.000,-320,"Jan-2018",201801
2018-01-17 00:00:00.000,17,1,2018,4,"January","Wednesday",False,2018-01-20 00:00:00.000,-319,"Jan-2018",201801
2018-01-18 00:00:00.000,18,1,2018,5,"January","Thursday",False,2018-01-20 00:00:00.000,-318,"Jan-2018",201801
2018-01-19 00:00:00.000,19,1,2018,6,"January","Friday",False,2018-01-20 00:00:00.000,-317,"Jan-2018",201801
2018-01-20 00:00:00.000,20,1,2018,7,"January","Saturday",False,2018-01-20 00:00:00.000,-316,"Jan-2018",201801
2018-01-21 00:00:00.000,21,1,2018,1,"January","Sunday",False,2018-01-27 00:00:00.000,-315,"Jan-2018",201801
