Name,Date modified,Size,Interaction Name,File Name
"csv/WebsiteVisited/de88e770-dddd-4c4a-8707-576f37826e60",2018-12-02 08:59:10.000,954,"WebsiteVisited","de88e770-dddd-4c4a-8707-576f37826e60"
"csv/WebsiteVisited/0c8ee650-51d6-473b-8e5b-7757bce1a1c2",2018-12-02 08:53:31.000,954,"WebsiteVisited","0c8ee650-51d6-473b-8e5b-7757bce1a1c2"
"csv/WebsiteVisited/dcfc79f0-2a1e-4d65-87ec-33475ef9b81d",2018-12-02 08:09:56.000,954,"WebsiteVisited","dcfc79f0-2a1e-4d65-87ec-33475ef9b81d"
"csv/WebsiteVisited/0784b8cb-d6b1-49b7-baeb-5e846aaa1660",2018-12-02 08:09:45.000,954,"WebsiteVisited","0784b8cb-d6b1-49b7-baeb-5e846aaa1660"
"csv/WebsiteVisited/b009283f-dda6-438d-b27a-ce5db315a088",2018-12-02 08:09:43.000,954,"WebsiteVisited","b009283f-dda6-438d-b27a-ce5db315a088"
"csv/WebsiteVisited/e2375cd4-0581-4ec2-8393-18a87d44e25a",2018-12-02 08:09:41.000,954,"WebsiteVisited","e2375cd4-0581-4ec2-8393-18a87d44e25a"
"csv/WebsiteVisited/738cd98b-ed8b-48cd-b4ec-eedf998b7598",2018-12-02 08:09:39.000,954,"WebsiteVisited","738cd98b-ed8b-48cd-b4ec-eedf998b7598"
"csv/WebsiteVisited/d543db5f-b109-4407-86f7-1453fae3a702",2018-12-02 08:09:36.000,954,"WebsiteVisited","d543db5f-b109-4407-86f7-1453fae3a702"
"csv/WebsiteVisited/857fb63f-d240-431a-9516-67d29f7db2be",2018-12-02 08:04:09.000,954,"WebsiteVisited","857fb63f-d240-431a-9516-67d29f7db2be"
"csv/WebsiteVisited/b5634a18-e64c-43e3-90c7-c6c04c9eadc6",2018-12-02 06:03:20.000,954,"WebsiteVisited","b5634a18-e64c-43e3-90c7-c6c04c9eadc6"
"csv/WebsiteVisited/89a15332-981f-4d12-a0d3-ad114549c09f",2018-12-02 05:57:28.000,954,"WebsiteVisited","89a15332-981f-4d12-a0d3-ad114549c09f"
"csv/WebsiteVisited/4bf6fc5d-cb84-47ce-82b9-95b47fdf290a",2018-12-02 05:29:06.000,954,"WebsiteVisited","4bf6fc5d-cb84-47ce-82b9-95b47fdf290a"
"csv/WebsiteVisited/503aba0c-3a63-4faa-80b2-3dbc0dad00b3",2018-12-02 05:29:05.000,954,"WebsiteVisited","503aba0c-3a63-4faa-80b2-3dbc0dad00b3"
"csv/WebsiteVisited/cdfd2714-5a37-4d94-bed8-a27d51a8eb94",2018-12-02 05:23:48.000,954,"WebsiteVisited","cdfd2714-5a37-4d94-bed8-a27d51a8eb94"
"csv/WebsiteVisited/3198ed52-5d5b-419c-ad9b-732fc40fa022",2018-12-02 02:44:07.000,954,"WebsiteVisited","3198ed52-5d5b-419c-ad9b-732fc40fa022"
"csv/WebsiteVisited/397a5489-1c6a-4b33-8a6d-22aed221850e",2018-12-02 02:38:38.000,954,"WebsiteVisited","397a5489-1c6a-4b33-8a6d-22aed221850e"
"csv/WebsiteVisited/675f1b78-0337-416b-a4bc-57380a12e6e3",2018-12-02 01:57:56.000,954,"WebsiteVisited","675f1b78-0337-416b-a4bc-57380a12e6e3"
"csv/WebsiteVisited/862f4b77-85be-4ad0-aae7-624bfa57920a",2018-12-02 01:57:55.000,954,"WebsiteVisited","862f4b77-85be-4ad0-aae7-624bfa57920a"
"csv/WebsiteVisited/8c7a8112-271d-44e0-acd9-abb702ba8a5d",2018-12-02 01:57:53.000,954,"WebsiteVisited","8c7a8112-271d-44e0-acd9-abb702ba8a5d"
"csv/WebsiteVisited/212d7fe5-9dae-46d1-87ec-65053d2171da",2018-12-02 01:57:44.000,954,"WebsiteVisited","212d7fe5-9dae-46d1-87ec-65053d2171da"
"csv/WebsiteVisited/002ec6d7-d569-4c5b-a383-5f43291d8f89",2018-12-02 01:52:34.000,954,"WebsiteVisited","002ec6d7-d569-4c5b-a383-5f43291d8f89"
"csv/WebsiteVisited/a94cf6ea-5b51-4ac5-82b8-37395d239499",2018-12-01 21:38:11.000,954,"WebsiteVisited","a94cf6ea-5b51-4ac5-82b8-37395d239499"
