ProductKey,OrderDateKey,DueDateKey,ShipDateKey,ResellerKey,EmployeeKey,PromotionKey,CurrencyKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,RevisionNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmount,Freight,CarrierTrackingNumber,CustomerPONumber,OrderDate,DueDate,ShipDate,OrderDateKey_ORIGINALE,OrderDate_ORIGINALE
242,20120101,20120210,20120205,479,291,1,19,6,SO46940,49,1,1,780.8182,780.8182,0.0,0.0,722.2568,722.2568,780.8182,62.4655,19.5205,6ADC-4363-B3,PO18705126181,2012-01-01 00:00:00.000,2012-02-10 00:00:00.000,2012-02-05 00:00:00.000,20120129,2012-01-29 00:00:00.000
360,20121101,20121210,20121205,75,281,1,100,4,SO50747,2,1,2,1229.4589,2458.9178,0.0,0.0,1105.81,2211.62,2458.9178,196.7134,61.4729,A59F-46DA-BE,PO5597196496,2012-11-01 00:00:00.000,2012-12-10 00:00:00.000,2012-12-05 00:00:00.000,20121128,2012-11-28 00:00:00.000
471,20131101,20131211,20131206,539,283,1,100,2,SO71894,4,1,6,38.1,228.6,0.0,0.0,23.749,142.494,228.6,18.288,5.715,8013-4FC0-B4,PO7685115663,2013-11-01 00:00:00.000,2013-12-11 00:00:00.000,2013-12-06 00:00:00.000,20131129,2013-11-29 00:00:00.000
461,20120301,20120411,20120406,221,287,1,100,4,SO47720,42,1,2,53.994,107.988,0.0,0.0,37.1209,74.2418,107.988,8.639,2.6997,30D0-4EF0-B1,PO7859164121,2012-03-01 00:00:00.000,2012-04-11 00:00:00.000,2012-04-06 00:00:00.000,20120330,2012-03-30 00:00:00.000
436,20130101,20130209,20130204,70,290,1,98,10,SO51811,1,1,1,356.898,356.898,0.0,0.0,360.9428,360.9428,356.898,28.5518,8.9225,1B4C-45BC-B2,PO8381113111,2013-01-01 00:00:00.000,2013-02-09 00:00:00.000,2013-02-04 00:00:00.000,20130128,2013-01-28 00:00:00.000
453,20120401,20120512,20120507,403,282,1,100,4,SO48080,36,1,5,35.994,179.97,0.0,0.0,24.7459,123.7295,179.97,14.3976,4.4993,4DC7-4772-87,PO7656157590,2012-04-01 00:00:00.000,2012-05-12 00:00:00.000,2012-05-07 00:00:00.000,20120430,2012-04-30 00:00:00.000
503,20130701,20130812,20130807,520,288,1,98,10,SO63241,6,1,2,200.052,400.104,0.0,0.0,199.8519,399.7038,400.104,32.0083,10.0026,2A80-4F60-8C,PO8642159891,2013-07-01 00:00:00.000,2013-08-12 00:00:00.000,2013-08-07 00:00:00.000,20130731,2013-07-31 00:00:00.000
233,20120401,20120512,20120507,2,289,1,100,1,SO47997,1,1,3,28.8404,86.5212,0.0,0.0,29.0807,87.2421,86.5212,6.9217,2.163,2B6D-4DAC-9A,PO14558139554,2012-04-01 00:00:00.000,2012-05-12 00:00:00.000,2012-05-07 00:00:00.000,20120430,2012-04-30 00:00:00.000
463,20131101,20131211,20131206,408,284,1,19,6,SO71808,4,1,1,14.694,14.694,0.0,0.0,9.1593,9.1593,14.694,1.1755,0.3674,2E63-4616-B1,PO14761198562,2013-11-01 00:00:00.000,2013-12-11 00:00:00.000,2013-12-06 00:00:00.000,20131129,2013-11-29 00:00:00.000
295,20130401,20130512,20130507,345,281,1,100,4,SO57128,1,1,4,818.7,3274.8,0.0,0.0,747.2002,2988.8008,3274.8,261.984,81.87,52E0-4277-80,PO6525176590,2013-04-01 00:00:00.000,2013-05-12 00:00:00.000,2013-05-07 00:00:00.000,20130430,2013-04-30 00:00:00.000
