area_de_intervencao,capacitacao,PK_CO,orgao
"Controle Social","Conselheiros",1,"Estado"
"Controle Social","Conselheiros",2,"Governo Federal"
"Controle Social","Conselheiros",3,"Municipio"
"Gestão do SUAS","Conselheiros",4,"Estado"
"Gestão do SUAS","Conselheiros",5,"Governo Federal"
"Gestão do SUAS","Conselheiros",6,"Municipio"
"Proteção Social Básica","Conselheiros",7,"Estado"
"Proteção Social Básica","Conselheiros",8,"Governo Federal"
"Proteção Social Básica","Conselheiros",9,"Municipio"
"Proteção Social Especial","Conselheiros",10,"Estado"
"Proteção Social Especial","Conselheiros",11,"Governo Federal"
"Proteção Social Especial","Conselheiros",12,"Municipio"
"Controle Social","Gestor",13,"Estado"
"Controle Social","Gestor",14,"Governo Federal"
"Controle Social","Gestor",15,"Municipio"
"Gestão do SUAS","Gestor",16,"Estado"
"Gestão do SUAS","Gestor",17,"Governo Federal"
"Gestão do SUAS","Gestor",18,"Municipio"
"Proteção Social Básica","Gestor",19,"Estado"
"Proteção Social Básica","Gestor",20,"Governo Federal"
"Proteção Social Básica","Gestor",21,"Municipio"
"Proteção Social Especial","Gestor",22,"Estado"
"Proteção Social Especial","Gestor",23,"Governo Federal"
"Proteção Social Especial","Gestor",24,"Municipio"
"Controle Social","Trabalhadores de nível médio",25,"Estado"
"Controle Social","Trabalhadores de nível médio",26,"Governo Federal"
"Controle Social","Trabalhadores de nível médio",27,"Municipio"
"Gestão do SUAS","Trabalhadores de nível médio",28,"Estado"
"Gestão do SUAS","Trabalhadores de nível médio",29,"Governo Federal"
"Gestão do SUAS","Trabalhadores de nível médio",30,"Municipio"
"Proteção Social Básica","Trabalhadores de nível médio",31,"Estado"
"Proteção Social Básica","Trabalhadores de nível médio",32,"Governo Federal"
"Proteção Social Básica","Trabalhadores de nível médio",33,"Municipio"
"Proteção Social Especial","Trabalhadores de nível médio",34,"Estado"
"Proteção Social Especial","Trabalhadores de nível médio",35,"Governo Federal"
"Proteção Social Especial","Trabalhadores de nível médio",36,"Municipio"
"Controle Social","Trabalhadores de nível superior",37,"Estado"
"Controle Social","Trabalhadores de nível superior",38,"Governo Federal"
"Controle Social","Trabalhadores de nível superior",39,"Municipio"
"Gestão do SUAS","Trabalhadores de nível superior",40,"Estado"
"Gestão do SUAS","Trabalhadores de nível superior",41,"Governo Federal"
"Gestão do SUAS","Trabalhadores de nível superior",42,"Municipio"
"Proteção Social Básica","Trabalhadores de nível superior",43,"Estado"
"Proteção Social Básica","Trabalhadores de nível superior",44,"Governo Federal"
"Proteção Social Básica","Trabalhadores de nível superior",45,"Municipio"
"Proteção Social Especial","Trabalhadores de nível superior",46,"Estado"
"Proteção Social Especial","Trabalhadores de nível superior",47,"Governo Federal"
"Proteção Social Especial","Trabalhadores de nível superior",48,"Municipio"
