Orders,Base,Lift,Jack,Tax,OrderKey
"ORD00001, ORD00009",44.55,,,,"ORD00001________, ORD00009________"
"ORD000010",8.3,,,,"ORD000010_______"
"ORD0000101",8.3,,,,"ORD0000101______"
"ORD0000103",8.3,,,,"ORD0000103______"
"ORD0000104",8.3,,,,"ORD0000104______"
"ORD0000105",8.3,,,,"ORD0000105______"
"ORD0000106",8.3,,,,"ORD0000106______"
"ORD0000107",8.3,,,,"ORD0000107______"
"ORD0000108, ORD0000112",15.600000000000001,,,,"ORD0000108______, ORD0000112______"
"ORD000011",7.3,,,,"ORD000011_______"
"ORD0000110",7.3,,,,"ORD0000110______"
"ORD0000113",7.3,,,,"ORD0000113______"
"ORD0000114, ORD0000117",29.060000000000002,,,,"ORD0000114______, ORD0000117______"
"ORD0000115",7.3,,,,"ORD0000115______"
"ORD0000120",5.2,,,,"ORD0000120______"
"ORD0000121",10.38,,,,"ORD0000121______"
"ORD0000122",24.42,,,,"ORD0000122______"
"ORD0000123",32.56,,,,"ORD0000123______"
"ORD0000125",12.96,,,,"ORD0000125______"
"ORD0000126",23.23,,,,"ORD0000126______"
"ORD0000127",10.37,,,,"ORD0000127______"
"ORD0000128",12.14,,,,"ORD0000128______"
"ORD0000130, ORD0000132",33.76,,,,"ORD0000130______, ORD0000132______"
"ORD0000133",13.68,,,,"ORD0000133______"
"ORD0000135",14.74,,,,"ORD0000135______"
"ORD0000136",8.06,,,,"ORD0000136______"
"ORD0000137",14.36,,,,"ORD0000137______"
"ORD0000138",9.12,,,,"ORD0000138______"
"ORD0000139",11.84,,,,"ORD0000139______"
"ORD000014",11.84,,,,"ORD000014_______"
"ORD0000140",11.57,,,,"ORD0000140______"
"ORD0000141",21.49,,,,"ORD0000141______"
"ORD0000145",6.37,,,,"ORD0000145______"
"ORD0000146",4.03,,,,"ORD0000146______"
"ORD0000147",9.25,,,,"ORD0000147______"
"ORD0000150",2.49,,,,"ORD0000150______"
"ORD0000151",21.31,,,,"ORD0000151______"
"ORD0000154",18.15,,,,"ORD0000154______"
"ORD0000156",19.58,,,,"ORD0000156______"
"ORD0000157",13.06,,,,"ORD0000157______"
"ORD0000158",16.66,,,,"ORD0000158______"
"ORD0000159",14.08,,,,"ORD0000159______"
"ORD000016",14.08,,,,"ORD000016_______"
"ORD0000160",18.89,,,,"ORD0000160______"
"ORD0000161",10.44,,,,"ORD0000161______"
"ORD0000162",14.8,,,,"ORD0000162______"
"ORD0000163",11.09,,,,"ORD0000163______"
"ORD0000164, ORD0000166",37.9,,,,"ORD0000164______, ORD0000166______"
"ORD0000167",18.14,,,,"ORD0000167______"
"ORD0000168",10.92,,,,"ORD0000168______"
"ORD0000169",1.14,,,,"ORD0000169______"
"ORD0000171",15.29,,,,"ORD0000171______"
"ORD0000172",8.17,,,,"ORD0000172______"
"ORD0000173",10.08,,,,"ORD0000173______"
"ORD0000174",23.56,,,,"ORD0000174______"
"ORD0000175",14.65,,,,"ORD0000175______"
"ORD0000178",5.9,,,,"ORD0000178______"
"ORD0000179",7.92,,,,"ORD0000179______"
"ORD0000181",9.76,,,,"ORD0000181______"
"ORD0000182",10.8,,,,"ORD0000182______"
"ORD0000183",37.23,,,,"ORD0000183______"
"ORD0000184",9.32,,,,"ORD0000184______"
"ORD0000185",25.97,,,,"ORD0000185______"
"ORD0000186",11.14,,,,"ORD0000186______"
"ORD0000187",9.15,,,,"ORD0000187______"
