id,Order Number,Company Name,Product,Date,Extended Price,Total Price,Value Above/Below Cost,Value vs. Cost Pct,OrderKey
49,"ORD00001","Kanoodle","Muffin - Mix - Mango Sour Cherry",2021-01-01 00:00:00.000,6.8,57.9,13.350000000000001,0.23056994818652854,"ORD00001________, ORD00009________"
91,"ORD00001","Kanoodle","Dr. Pepper - 355ml",2021-01-01 00:00:00.000,5.2,57.9,13.350000000000001,0.23056994818652854,"ORD00001________, ORD00009________"
564,"ORD00001","Kanoodle","Cranberries - Dry",2021-01-01 00:00:00.000,27,57.9,13.350000000000001,0.23056994818652854,"ORD00001________, ORD00009________"
967,"ORD00002","Rhybox","Southern Comfort",2021-01-01 00:00:00.000,15.4,15.4,7.57,0.49155844155844158,"ORD00002________"
16,"ORD00003","Talane","Lychee",2021-01-02 00:00:00.000,18,18,5.4600000000000009,0.3033333333333334,"ORD00003________"
68,"ORD00004","Buzzdog","Potato - Sweet",2021-01-02 00:00:00.000,24,120,115.28,0.96066666666666667,"ORD00004________"
449,"ORD00004","Buzzdog","Squeeze Bottle",2021-01-02 00:00:00.000,29.4,120,115.28,0.96066666666666667,"ORD00004________"
491,"ORD00004","Buzzdog","Cookies - Fortune",2021-01-02 00:00:00.000,15.6,120,115.28,0.96066666666666667,"ORD00004________"
497,"ORD00004","Buzzdog","Samosa - Veg",2021-01-02 00:00:00.000,51,120,115.28,0.96066666666666667,"ORD00004________"
561,"ORD00005","Feedbug","Pork Salted Bellies",2021-01-02 00:00:00.000,24,24,-5.5300000000000011,-0.23041666666666671,"ORD00005________"
589,"ORD00006","Lazzy","Towel Multifold",2021-01-02 00:00:00.000,28.8,28.8,24.35,0.84548611111111116,"ORD00006________"
713,"ORD00007","Eire","Orange - Canned, Mandarin",2021-01-02 00:00:00.000,34,34,19.66,0.57823529411764707,"ORD00007________"
970,"ORD00008","Devbug","Longos - Cheese Tortellini",2021-01-02 00:00:00.000,17.6,17.6,12.770000000000001,0.72556818181818183,"ORD00008________"
52,"ORD00009","Yotz","Bread Base - Goodhearth",2021-01-03 00:00:00.000,18.9,57.9,13.350000000000001,0.23056994818652854,"ORD00001________, ORD00009________"
97,"ORD000010","Yambee","Prunes - Pitted",2021-01-03 00:00:00.000,13.6,13.6,5.2999999999999989,0.38970588235294112,"ORD000010_______"
351,"ORD000011","Zoozzy","Coffee Guatemala Dark",2021-01-03 00:00:00.000,10,10,2.7,0.27,"ORD000011_______"
410,"ORD000012","Snaptags","Champagne - Brights, Dry",2021-01-03 00:00:00.000,13.2,35.2,15.857500000000002,0.45049715909090909,"ORD000012_______, ORD000013_______"
447,"ORD000013","Wordpedia","Snapple - Iced Tea Peach",2021-01-03 00:00:00.000,22,35.2,15.857500000000002,0.45049715909090909,"ORD000012_______, ORD000013_______"
655,"ORD000014","Gabcube","Crackers Cheez It",2021-01-03 00:00:00.000,31.2,31.2,19.36,0.62051282051282053,"ORD000014_______"
671,"ORD000015","Feedspan","Orange Roughy 6/8 Oz",2021-01-03 00:00:00.000,12,49.7,39.605000000000004,0.79688128772635813,"ORD000015_______, ORD000018_______"
117,"ORD000016","Fliptune","Wine - Manischewitz Concord",2021-01-04 00:00:00.000,1.8,1.8,-12.28,-6.822222222222222,"ORD000016_______"
194,"ORD000017","Zoomzone","Flour - Semolina",2021-01-04 00:00:00.000,23.2,23.2,22.63,0.97543103448275859,"ORD000017_______"
520,"ORD000018","Flipbug","Soup - Campbells Mushroom",2021-01-04 00:00:00.000,37.7,49.7,39.605000000000004,0.79688128772635813,"ORD000015_______, ORD000018_______"
610,"ORD000019","Topicblab","Vaccum Bag - 14x20",2021-01-04 00:00:00.000,7.8,7.8,5.2799999999999994,0.67692307692307685,"ORD000019_______"
768,"ORD000020","Rhynyx","Mushroom - Shitake, Dry",2021-01-04 00:00:00.000,16.5,16.5,8.67,0.5254545454545454,"ORD000020_______"
976,"ORD000021","Jabberbean","Mushroom - Lg - Cello",2021-01-04 00:00:00.000,25.2,25.2,13.225,0.52480158730158732,"ORD000021_______"
401,"ORD000022","Jetpulse","Wine - Tio Pepe Sherry Fino",2021-01-05 00:00:00.000,16.8,49.3,19.349999999999994,0.39249492900608512,"ORD000022_______, ORD000024_______"
453,"ORD000023","Mynte","Trueblue - Blueberry Cranberry",2021-01-05 00:00:00.000,4.4,4.4,-2.04,-0.46363636363636362,"ORD000023_______"
684,"ORD000024","Rhybox","Pop - Club Soda Can",2021-01-05 00:00:00.000,32.5,49.3,19.349999999999994,0.39249492900608512,"ORD000022_______, ORD000024_______"
241,"ORD000025","Edgetag","Cheese - Cheddar, Medium",2021-01-06 00:00:00.000,19.8,19.8,18.71,0.944949494949495,"ORD000025_______"
837,"ORD000026","Livetube","Cake - Dulce De Leche",2021-01-06 00:00:00.000,10.8,10.8,6.580000000000001,0.60925925925925928,"ORD000026_______"
131,"ORD000027","Buzzshare","Chicken - Base",2021-01-07 00:00:00.000,2.9,2.9,1.94,0.66896551724137931,"ORD000027_______"
284,"ORD000028","Fivechat","Milk 2% 500 Ml",2021-01-07 00:00:00.000,4.2,4.2,-9.89,-2.3547619047619048,"ORD000028_______"
320,"ORD000029","Riffpath","Bread - Italian Sesame Poly",2021-01-07 00:00:00.000,16.8,16.8,14.235000000000001,0.84732142857142856,"ORD000029_______"
365,"ORD000030","JumpXS","Shrimp - 16 - 20 Cooked, Peeled",2021-01-07 00:00:00.000,42,42,29.46,0.7014285714285714,"ORD000030_______"
451,"ORD000031","Wikizz","Cheese - Cheddarsliced",2021-01-07 00:00:00.000,12,12,5.6,0.46666666666666662,"ORD000031_______"
