device_fk,mountpoint_pk,mountpoint,identifier,filesystem,fstype_name,capacity,free_capacity,label,first_added,last_updated,free_cap_per,used_cap_per
5607,3266,"/var/lib/docker/overlay2/d6ca161616d8539eb30c89e0a222f47f577135c17de4116116ba533d62463ff9/merged","Mountpoint:/var/lib/docker/overlay2/d6ca161616d8539eb30c89e0a222f47f577135c17de4116116ba533d62463ff9/merged:5607","overlay","overlay",83515,"64364.00","",2018-02-14 14:48:04.473,2018-07-23 13:48:08.200,77,23
5607,3283,"/var/lib/docker/overlay2/0fa6036138dbc96c8f1ca72c73ecbe31fe902581d6ef96d5ce9661e42779d12f/merged","Mountpoint:/var/lib/docker/overlay2/0fa6036138dbc96c8f1ca72c73ecbe31fe902581d6ef96d5ce9661e42779d12f/merged:5607","overlay","overlay",83515,"64364.00","",2018-02-14 14:48:10.780,2018-07-23 13:48:20.840,77,23
5607,3286,"/var/lib/docker/overlay2/33f41bcfe35aa4e55d38b89c76ec02a1d8adaa425ad28c917d01b27d4084af3f/merged","Mountpoint:/var/lib/docker/overlay2/33f41bcfe35aa4e55d38b89c76ec02a1d8adaa425ad28c917d01b27d4084af3f/merged:5607","overlay","overlay",83515,"64364.00","",2018-02-14 14:48:09.703,2018-07-23 13:48:18.726,77,23
5607,3288,"/var/lib/docker/overlay2/9304d4a9b27ae5fc600295f8a545e56329e6302a5e007fb4e8b3bf8833bbb989/merged","Mountpoint:/var/lib/docker/overlay2/9304d4a9b27ae5fc600295f8a545e56329e6302a5e007fb4e8b3bf8833bbb989/merged:5607","overlay","overlay",83515,"64364.00","",2018-02-14 14:48:07.263,2018-07-23 13:48:14.860,77,23
5607,3289,"/var/lib/docker/overlay2/9677fe0d085fbea40cc7d59e7c03326467b3bbb523a456047d29bceb7c894582/merged","Mountpoint:/var/lib/docker/overlay2/9677fe0d085fbea40cc7d59e7c03326467b3bbb523a456047d29bceb7c894582/merged:5607","overlay","overlay",83515,"64364.00","",2018-02-14 14:48:08.453,2018-07-23 13:48:16.696,77,23
5607,3323,"/var/lib/docker/overlay2/87a844327be67d839ef4e6766ea974b63c63061842aea732a8f7ce44b0315f72/merged","Mountpoint:/var/lib/docker/overlay2/87a844327be67d839ef4e6766ea974b63c63061842aea732a8f7ce44b0315f72/merged:5607","overlay","overlay",83515,"64364.00","",2018-02-14 14:48:06.606,2018-07-23 13:48:13.516,77,23
5607,3331,"/var/lib/docker/overlay2/da2e794198bce91da3ff348e65085549ed8bad99f1214841bce3160a1cc26e64/merged","Mountpoint:/var/lib/docker/overlay2/da2e794198bce91da3ff348e65085549ed8bad99f1214841bce3160a1cc26e64/merged:5607","overlay","overlay",83515,"64364.00","",2018-02-14 14:48:06.696,2018-07-23 13:48:13.716,77,23
5607,3339,"/var/lib/docker/overlay2/50fb11b7eb7332fb39fc616af7a2dca4f6fe9d09dc2005a991e93a4352abd8e8/merged","Mountpoint:/var/lib/docker/overlay2/50fb11b7eb7332fb39fc616af7a2dca4f6fe9d09dc2005a991e93a4352abd8e8/merged:5607","overlay","overlay",83515,"64364.00","",2018-02-14 14:48:04.766,2018-07-23 13:48:08.853,77,23
5607,3340,"/var/lib/docker/overlay2/7154a3fcacd7bce02edd2a973dfce201b7e53d5803000d01b7efb3d278841386/merged","Mountpoint:/var/lib/docker/overlay2/7154a3fcacd7bce02edd2a973dfce201b7e53d5803000d01b7efb3d278841386/merged:5607","overlay","overlay",83515,"64364.00","",2018-02-14 14:48:05.823,2018-07-23 13:48:11.420,77,23
5607,3344,"/var/lib/docker/overlay2/ca17be57860b16802174a7931d038273c23ae1a511fbfd09c7f4e84c2e802ae4/merged","Mountpoint:/var/lib/docker/overlay2/ca17be57860b16802174a7931d038273c23ae1a511fbfd09c7f4e84c2e802ae4/merged:5607","overlay","overlay",83515,"64364.00","",2018-02-14 14:48:07.270,2018-07-23 13:48:14.870,77,23
