State ID,State Sales
"AK",702634.71
"AL",3472075.01
"AR",1849694.57
"AZ",2104419.01
"CA",8781876.37
"CT",1046220.78
"DC",86327.7
"DE",829615.24
"FL",9684694.07
"GA",4793831.48
"HI",435265.59
"IA",639121.54
"ID",805921
"IL",1731830.03
"IN",2058822.23
"KS",911355.45
"KY",2241640.73
"LA",2565552.74
"MA",2036997.35
"MD",2254213.18
"ME",823000.2
"MI",2783871.36
"MN",401450.91
"MO",2669050.79
"MS",1873004.9
"MT",488705.16
"NC",10846333.89
"ND",122273.02
"NE",340442.93
"NH",931158.37
"NJ",2803721.05
"NM",673465.36
"NV",1235954
"NY",5337520.38
"OH",5050897.3
"OK",2755858.48
"OR",1309067.47
"PA",6635895.74
"RI",383659.65
"SC",4663741.73
"SD",170835.21
"TN",5526280.51
"TX",12775794.67
"UT",599559.15
"VA",5820308.66
"VT",214870.35
"WA",3408887.98
"WI",305151.34
"WV",1363493.51
"CO",1046823.19
"WY",31516.77
