CORP_PERIOD_DT 1,PROGRAM_LINE_CD,PROGRAM_YR,WRITTEN_PREMIUM_AT1,EARNED_PREMIUM_AT,WRITTEN_PREMIUM_AT,EXPCTD_RPTD_LOSS_ALAE_AT,EXPCTD_ULTIM_LOSS_ALAE_AT,INDICATED_IBNR_AT,DIR_MODIFD_PRCNG_IBNR_AT,ACTRL_SEGMNT_IBNR_AT,NET_WRITTEN_PREMIUM_AMT,NET_EARNED_PREMIUM_AT,NET_RPTD_LOSS_ALAE_UNDIS_AT,NET_EXPCTD_RPTD_LOSS_ALAE_AT,NET_EXPCTD_ULTIM_LOSS_ALAE_AT,NET_INDICATED_IBNR_AT,NET_MODIFD_PRCNG_IBNR_AT,NET_ACTRL_SEGMNT_IBNR_AT,Difference Written Premium,Cumulative Sum 1 Column,Cumulative Sum 2 Column,CORP_PERIOD_DT 2
2018-12-07 00:00:00.000,11,1997,402344.0,402344.0,402344.0,436846.19,438114.98,1268.81,1268.81,1817.06,0.0,0.0,0.0,-812.26,-827.4,-15.12,-15.12,-7774.43,0,21765916751.24001,21765916751.24001,2018-12-07 00:00:00.000
2018-12-07 00:00:00.000,33,2010,37327049.07,37327049.07,37327049.07,26278242.59,26278242.59,0.0,0.0,422000.22,37327049.07,37327049.07,26264412.0,26278242.59,26278242.59,0.0,0.0,390269.56,0,21765916751.24001,21765916751.24001,2018-12-07 00:00:00.000
2017-12-08 00:00:00.000,N7,2011,8530958.0,8530958.0,8530958.0,5564149.14,5686503.49,122354.12,122354.12,540942.8,8344740.0,8344740.0,6234575.21,5451927.92,5574083.58,122155.39,122155.39,425137.45,0,10346322303.890003,10346322303.890003,2017-12-08 00:00:00.000
2017-12-08 00:00:00.000,59,2003,8793771.0,8793771.0,8793771.0,4695786.48,4695874.12,87.53,87.53,-5448.43,1288089.63,1288089.63,5434663.93,912952.75,912997.87,45.03,45.03,-2358.19,0,10346322303.890003,10346322303.890003,2017-12-08 00:00:00.000
2018-12-07 00:00:00.000,16,1999,822263.0,822263.0,822263.0,3078405.51,3078405.51,0.0,0.0,3018.48,822263.0,822263.0,5156255.78,3087524.01,3087524.01,0.0,0.0,2958.12,0,21765916751.24001,21765916751.24001,2018-12-07 00:00:00.000
2018-12-07 00:00:00.000,36,1997,900.0,900.0,900.0,1203.6,1235.56,31.93,31.93,-12.76,900.0,900.0,0.0,546.31,560.81,14.49,14.49,-371.46,0,21765916751.24001,21765916751.24001,2018-12-07 00:00:00.000
2017-12-08 00:00:00.000,59,2002,5659131.0,5659131.0,5659131.0,3021975.86,3021975.86,0.0,0.0,67880.31,843474.19,843474.19,94982.02,597854.6,597854.6,0.0,0.0,1082.43,0,10346322303.890003,10346322303.890003,2017-12-08 00:00:00.000
2017-12-08 00:00:00.000,3L,2016,7119107.0,6338184.66,7119107.0,1450185.66,3821925.61,2371739.82,3085209.37,498296.58,7119107.0,6338184.66,757832.28,1450185.66,3821925.61,2371739.82,3085209.37,468648.87,0,10346322303.890003,10346322303.890003,2017-12-08 00:00:00.000
2018-12-07 00:00:00.000,P2,1998,35509.0,35509.0,35509.0,99539.68,99539.68,0.0,0.0,212.6,35509.0,35509.0,0.0,100100.45,100100.45,0.0,0.0,179.6,0,21765916751.24001,21765916751.24001,2018-12-07 00:00:00.000
2018-12-07 00:00:00.000,24,1999,54992.0,54992.0,54992.0,34458.88,34469.54,10.55,10.55,11.92,11185.63,11185.63,0.0,8302.2,8304.6,2.33,2.33,8558.72,0,21765916751.24001,21765916751.24001,2018-12-07 00:00:00.000
