facet,tweetid
"#powerpoint",164
"#powerpoint",166
"#powerpoint",187
"#powerpoint",189
"#powerpoint",192
"#powerpoint",204
"#powerpoint",205
"#powerpoint",216
"#powerpoint",217
"#powerpoint",219
"#powerpoint",220
"#powerpoint",222
"#powerpoint",226
"#powerpoint",232
"#powerpoint",233
"#powerpoint",234
"#powerpoint",242
"#powerpoint",246
"#powerpoint",256
"#powerpoint",259
"#powerpoint",261
"#powerpoint",262
"#powerpoint",263
"#powerpoint",265
"#powerpoint",266
"#powerpoint",267
"#powerpoint",269
"#powerpoint",270
"#powerpoint",272
"#powerpoint",273
"#powerpoint",277
"#powerpoint",280
"#powerpoint",281
"#powerpoint",283
"#powerpoint",284
"#powerpoint",286
"#powerpoint",288
"#powerpoint",292
"#powerpoint",295
"#powerpoint",311
"#powerpoint",329
"#powerpoint",331
"#powerpoint",342
"#powerpoint",343
"#powerpoint",350
"#powerpoint",352
"#powerpoint",353
"#powerpoint",355
"#powerpoint",358
"#powerpoint",361
"#powerpoint",366
"#powerpoint",369
"#powerpoint",371
"#powerpoint",372
"#powerpoint",373
"#powerpoint",374
"#powerpoint",377
"#powerpoint",380
"#powerpoint",381
"#powerpoint",383
"#powerpoint",386
"#powerpoint",387
"#powerpoint",388
"#powerpoint",390
"#powerpoint",391
"#powerpoint",392
"#powerpoint",393
"#powerpoint",394
"#powerpoint",399
"#powerpoint",400
"#powerpoint",401
"#powerpoint",404
"#powerpoint",413
"#powerpoint",417
"#powerpoint",418
"#powerpoint",420
"#powerpoint",423
"#powerpoint",426
"#powerpoint",427
"#powerpoint",429
"#powerpoint",432
"#powerpoint",436
"#powerpoint",438
"#powerpoint",449
"#powerpoint",460
"#powerpoint",464
"#powerpoint",468
"#powerpoint",470
"#powerpoint",471
"#powerpoint",489
"#powerpoint",495
"#powerpoint",496
"#powerpoint",500
"#powerpoint",502
"#powerpoint",511
"#powerpoint",514
"#powerpoint",522
"#powerpoint",530
"#powerpoint",533
"#powerpoint",537
"#powerpoint",538
"#powerpoint",540
"#powerpoint",544
"#powerpoint",547
"#powerpoint",550
"#powerpoint",550
"#powerpoint",555
"#powerpoint",556
"#powerpoint",557
"#powerpoint",560
"#powerpoint",562
"#powerpoint",563
"#powerpoint",566
"#powerpoint",569
"#powerpoint",578
"#powerpoint",582
"#powerpoint",586
"#powerpoint",589
"#powerpoint",591
"#powerpoint",593
"#powerpoint",601
"#powerpoint",605
"#powerpoint",606
"#powerpoint",608
"#powerpoint",610
"#powerpoint",639
"#powerpoint",641
"#powerpoint",643
"#powerpoint",644
"#powerpoint",646
"#powerpoint",649
"#powerpoint",650
"#powerpoint",651
"#powerpoint",652
"#powerpoint",654
"#powerpoint",662
"#powerpoint",671
"#powerpoint",672
"#powerpoint",677
"#powerpoint",679
"#powerpoint",682
"#powerpoint",683
"#powerpoint",685
"#powerpoint",686
"#powerpoint",687
"#powerpoint",689
"#powerpoint",690
"#powerpoint",691
"#powerpoint",692
"#powerpoint",697
"#powerpoint",700
"#powerpoint",701
"#powerpoint",705
"#powerpoint",706
"#powerpoint",707
"#powerpoint",708
"#powerpoint",711
"#powerpoint",714
"#powerpoint",717
"#powerpoint",721
"#powerpoint",729
"#powerpoint",736
"#powerpoint",754
"#powerpoint",760
"#powerpoint",761
"#powerpoint",762
"#powerpoint",769
"#powerpoint",772
"#powerpoint",775
"#powerpoint",776
"#powerpoint",778
"#powerpoint",779
"#powerpoint",781
"#powerpoint",783
"#powerpoint",785
"#powerpoint",787
"#powerpoint",790
"#powerpoint",791
"#powerpoint",792
"#powerpoint",794
"#powerpoint",797
"#powerpoint",798
"#powerpoint",799
"#powerpoint",800
"#powerpoint",801
"#powerpoint",802
"#powerpoint",804
"#powerpoint",805
"#powerpoint",806
"#powerpoint",809
"#powerpoint",812
"#powerpoint",813
"#powerpoint",815
"#powerpoint",816
"#powerpoint",819
"#powerpoint",820
"#powerpoint",823
"#powerpoint",826
"#powerpoint",828
"#powerpoint",830
"#powerpoint",832
"#powerpoint",833
"#powerpoint",834
"#powerpoint",835
"#powerpoint",836
"#powerpoint",841
"#powerpoint",842
"#powerpoint",846
"#powerpoint",847
"#powerpoint",855
"#powerpoint",856
"#powerpoint",859
"#powerpoint",860
"#powerpoint",862
"#powerpoint",864
"#powerpoint",865
"#powerpoint",867
"#powerpoint",869
"#powerpoint",870
"#powerpoint",871
"#powerpoint",873
"#powerpoint",874
"#powerpoint",876
"#powerpoint",881
"#powerpoint",882
"#powerpoint",884
"#powerpoint",887
"#powerpoint",891
"#powerpoint",893
"#powerpoint",895
"#powerpoint",902
"#powerpoint",903
"#powerpoint",905
"#powerpoint",907
"#powerpoint",913
"#powerpoint",913
"#powerpoint",917
"#powerpoint",925
"#powerpoint",928
"#powerpoint",929
"#powerpoint",933
"#powerpoint",935
"#powerpoint",936
"#powerpoint",958
"#powerpoint",959
"#powerpoint",960
"#powerpoint",967
"#powerpoint",969
"#powerpoint",976
"#powerpoint",977
"#powerpoint",979
"#powerpoint",980
"#powerpoint",981
"#powerpoint",983
"#powerpoint",985
"#powerpoint",986
"#powerpoint",987
"#powerpoint",990
"#powerpoint",991
"#powerpoint",995
"#powerpoint",998
"#powerpoint",1000
"#powerpoint",1001
"#powerpoint",1003
"#powerpoint",1006
"#powerpoint",1007
"#powerpoint",1012
"#powerpoint",1015
"#powerpoint",1017
"#powerpoint",1018
"#powerpoint",1025
"#powerpoint",1027
"#powerpoint",1032
"#powerpoint",1033
"#powerpoint",1035
"#powerpoint",1037
"#powerpoint",1041
"#powerpoint",1045
"#powerpoint",1064
"#powerpoint",1084
"#powerpoint",1087
"#powerpoint",1096
"#powerpoint",1099
"#powerpoint",1101
"#powerpoint",1112
"#powerpoint",1113
"#powerpoint",1114
"#powerpoint",1116
"#powerpoint",1117
"#powerpoint",1123
"#powerpoint",1125
"#powerpoint",1134
"#powerpoint",1136
"#powerpoint",1139
"#powerpoint",1140
"#powerpoint",1143
"#powerpoint",1147
"#powerpoint",1148
"#powerpoint",1157
"#powerpoint",1158
"#powerpoint",1161
"#powerpoint",1162
"#powerpoint",1164
"#powerpoint",1165
"#powerpoint",1166
"#powerpoint",1168
"#powerpoint",1169
"#powerpoint",1170
"#powerpoint",1173
"#powerpoint",1174
"#powerpoint",1175
"#powerpoint",1176
"#powerpoint",1185
"#powerpoint",1195
"#powerpoint",1203
"#powerpoint",1210
"#powerpoint",1212
"#powerpoint",1220
"#powerpoint",1223
"#powerpoint",1227
"#powerpoint",1229
"#powerpoint",1230
"#powerpoint",1238
"#powerpoint",1247
"#powerpoint",1249
"#powerpoint",1250
"#powerpoint",1251
"#powerpoint",1252
"#powerpoint",1253
"#powerpoint",1255
"#powerpoint",1256
"#powerpoint",1260
"#powerpoint",1262
"#powerpoint",1263
"#powerpoint",1266
"#powerpoint",1271
"#powerpoint",1273
"#powerpoint",1281
"#powerpoint",1282
"#powerpoint",1286
"#powerpoint",1289
"#powerpoint",1295
"#powerpoint",1296
"#powerpoint",1297
