Year,Rank,IndexTypeId,variable,value
2016,74,3,DimLocation.LocationId,52.0
2015,141,7,DimLocation.LocationId,91.0
2017,47,8,DimLocation.LocationId,2.0
2019,17,8,DimLocation.LocationId,10.0
2019,150,4,DimLocation.LocationId,154.0
2014,45,8,DimLocation.LocationId,44.0
2014,56,1,DimLocation.LocationId,55.0
2019,203,7,DimLocation.LocationId,81.0
2018,84,2,DimLocation.LocationId,122.0
2015,21,2,DimLocation.LocationId,18.0
2020,148,1,DimLocation.LocationId,226.0
2016,37,5,DimLocation.LocationId,113.0
2021,10,3,DimLocation.LocationId,22.0
2020,72,7,DimLocation.LocationId,27.0
2014,20,6,DimLocation.LocationId,19.0
2016,141,1,DimLocation.LocationId,146.0
2018,32,8,DimLocation.LocationId,194.0
2019,127,8,DimLocation.LocationId,52.0
2016,19,8,DimLocation.LocationId,151.0
2021,9,1,DimLocation.LocationId,96.0
2021,182,1,DimLocation.LocationId,49.0
2018,53,5,DimLocation.LocationId,125.0
2014,9,4,DimLocation.LocationId,8.0
2015,39,4,DimLocation.LocationId,16.0
2015,49,3,DimLocation.LocationId,114.0
2018,102,4,DimLocation.LocationId,52.0
2017,76,8,DimLocation.LocationId,179.0
2020,165,9,DimLocation.LocationId,79.0
2020,65,2,DimLocation.LocationId,179.0
2020,102,3,DimLocation.LocationId,50.0
2017,125,4,DimLocation.LocationId,140.0
2018,148,7,DimLocation.LocationId,80.0
2019,96,6,DimLocation.LocationId,216.0
2018,38,3,DimLocation.LocationId,23.0
2014,81,8,DimLocation.LocationId,80.0
2017,73,4,DimLocation.LocationId,9.0
2019,154,8,DimLocation.LocationId,57.0
2019,107,1,DimLocation.LocationId,131.0
2021,72,5,DimLocation.LocationId,213.0
2017,86,4,DimLocation.LocationId,49.0
2020,158,2,DimLocation.LocationId,65.0
2020,187,8,DimLocation.LocationId,86.0
2020,133,8,DimLocation.LocationId,225.0
2021,198,4,DimLocation.LocationId,136.0
2021,144,7,DimLocation.LocationId,35.0
2019,83,9,DimLocation.LocationId,215.0
2019,106,3,DimLocation.LocationId,45.0
2017,145,5,DimLocation.LocationId,58.0
2014,76,1,DimLocation.LocationId,75.0
2014,36,5,DimLocation.LocationId,35.0
2017,123,1,DimLocation.LocationId,76.0
2019,219,6,DimLocation.LocationId,145.0
2014,88,5,DimLocation.LocationId,87.0
2019,135,6,DimLocation.LocationId,56.0
2020,90,5,DimLocation.LocationId,181.0
2015,53,3,DimLocation.LocationId,32.0
2016,65,8,DimLocation.LocationId,47.0
2017,149,3,DimLocation.LocationId,86.0
2020,117,2,DimLocation.LocationId,127.0
