DateKey,FullDateAlternateKey,Day Number Of Week,English Day Name Of Week,Spanish Day Name Of Week,French Day Name Of Week,Day Number Of Month,Day Number Of Year,Week Number Of Year,English Month Name,Spanish Month Name,French Month Name,Month Number Of Year,Calendar Quarter,Calendar Year,Calendar Semester,Fiscal Quarter,Fiscal Year,Fiscal Semester,Month Year,2 Digit Month Number,2 Digit Month Number SW
20050701,2005-07-01 00:00:00.000,6,"Friday","Viernes","Vendredi",1,182,27,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050702,2005-07-02 00:00:00.000,7,"Saturday","Sábado","Samedi",2,183,27,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050703,2005-07-03 00:00:00.000,1,"Sunday","Domingo","Dimanche",3,184,28,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050704,2005-07-04 00:00:00.000,2,"Monday","Lunes","Lundi",4,185,28,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050705,2005-07-05 00:00:00.000,3,"Tuesday","Martes","Mardi",5,186,28,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050706,2005-07-06 00:00:00.000,4,"Wednesday","Miércoles","Mercredi",6,187,28,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050707,2005-07-07 00:00:00.000,5,"Thursday","Jueves","Jeudi",7,188,28,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050708,2005-07-08 00:00:00.000,6,"Friday","Viernes","Vendredi",8,189,28,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050709,2005-07-09 00:00:00.000,7,"Saturday","Sábado","Samedi",9,190,28,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050710,2005-07-10 00:00:00.000,1,"Sunday","Domingo","Dimanche",10,191,29,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
20050711,2005-07-11 00:00:00.000,2,"Monday","Lunes","Lundi",11,192,29,"July","Julio","Juillet",7,3,2005,2,1,2006,1,"07-2005","07","07"
