Date published by DHSC,UK Cumulative count of deaths in all settings,UK Daily count of deaths in all settings
10,1,1
10,2,1
11,2,0
11,3,1
11,7,4
11,7,0
11,9,2
11,10,1
11,28,18
12,43,15
12,65,22
12,81,16
12,115,34
12,158,43
12,194,36
12,250,56
13,285,35
13,359,74
13,508,149
13,695,187
13,878,183
13,1162,284
13,1456,294
14,1670,214
14,2044,374
14,2426,382
14,3096,670
14,3748,652
14,4462,714
14,5222,760
15,5866,644
15,6434,568
15,7472,1038
15,8506,1034
15,9616,1110
15,10768,1152
15,11608,840
16,12294,686
16,13038,744
16,14085,1047
16,14927,842
16,15956,1029
16,16892,936
16,18007,1115
17,18505,498
17,19064,559
17,20237,1173
17,21074,837
17,21801,727
17,22807,1006
17,23650,843
18,24070,420
18,24408,338
18,25319,911
18,26114,765
18,26788,674
18,27528,740
18,28149,621
19,28464,315
19,28752,288
19,29446,694
19,30098,652
19,30638,540
19,31265,627
19,31611,346
20,31879,269
20,32090,211
20,32720,630
20,33216,496
20,33644,428
20,34028,384
20,34508,480
21,34678,170
21,34838,160
21,35386,548
21,35755,369
21,36093,338
21,36451,358
21,36734,283
22,37175,441
22,37297,122
22,37433,136
22,37876,443
22,38292,416
22,38665,373
22,38895,230
23,39010,115
23,39121,111
23,39447,326
23,39812,365
23,39989,177
23,40347,358
23,40554,207
24,40631,77
24,40686,55
24,40975,289
24,41225,250
24,41377,152
24,41581,204
24,41764,183
25,41800,36
25,41838,38
25,42074,236
25,42258,184
25,42395,137
25,42568,173
25,42698,130
26,42741,43
26,42756,15
26,42927,171
26,43081,154
26,43230,149
26,43414,186
26,43514,100
27,43550,36
27,43575,25
27,43730,155
27,43906,176
27,43995,89
27,44131,137
27,44198,67
28,44220,22
28,44236,16
28,44391,155
28,44517,126
28,44602,85
28,44650,48
28,44798,148
29,44819,21
29,44830,11
29,44968,138
29,45053,85
29,45119,66
