Daily number of positive cases (old methodology),Cumulative number of positive cases (old methodology),Pillar,Nation,Date of reporting,Date of activity,DateDate,7 Day Rolling Average deaths
,,"Pillar 3","UK","21/03/2020","20/03/2020",2020-03-21 00:00:00.000,
,,"Pillar 3","UK","22/03/2020","21/03/2020",2020-03-22 00:00:00.000,
,,"Pillar 3","UK","23/03/2020","22/03/2020",2020-03-23 00:00:00.000,
,,"Pillar 3","UK","24/03/2020","23/03/2020",2020-03-24 00:00:00.000,
,,"Pillar 3","UK","25/03/2020","24/03/2020",2020-03-25 00:00:00.000,
,,"Pillar 3","UK","26/03/2020","25/03/2020",2020-03-26 00:00:00.000,
,,"Pillar 3","UK","27/03/2020","26/03/2020",2020-03-27 00:00:00.000,
,,"Pillar 3","UK","28/03/2020","27/03/2020",2020-03-28 00:00:00.000,
,,"Pillar 3","UK","29/03/2020","28/03/2020",2020-03-29 00:00:00.000,
,,"Pillar 3","UK","30/03/2020","29/03/2020",2020-03-30 00:00:00.000,
,,"Pillar 3","UK","31/03/2020","30/03/2020",2020-03-31 00:00:00.000,
,,"Pillar 3","UK","01/04/2020","31/03/2020",2020-01-04 00:00:00.000,
,,"Pillar 3","UK","02/04/2020","01/04/2020",2020-02-04 00:00:00.000,
,,"Pillar 3","UK","03/04/2020","02/04/2020",2020-03-04 00:00:00.000,
,,"Pillar 3","UK","04/04/2020","03/04/2020",2020-04-04 00:00:00.000,
,,"Pillar 3","UK","05/04/2020","04/04/2020",2020-05-04 00:00:00.000,
,,"Pillar 3","UK","06/04/2020","05/04/2020",2020-06-04 00:00:00.000,
,,"Pillar 3","UK","07/04/2020","06/04/2020",2020-07-04 00:00:00.000,
,,"Pillar 3","UK","08/04/2020","07/04/2020",2020-08-04 00:00:00.000,
,,"Pillar 3","UK","09/04/2020","08/04/2020",2020-09-04 00:00:00.000,
,,"Pillar 3","UK","10/04/2020","09/04/2020",2020-10-04 00:00:00.000,
,,"Pillar 3","UK","11/04/2020","10/04/2020",2020-11-04 00:00:00.000,
,,"Pillar 3","UK","12/04/2020","11/04/2020",2020-12-04 00:00:00.000,
,,"Pillar 3","UK","13/04/2020","12/04/2020",2020-04-13 00:00:00.000,
,,"Pillar 3","UK","14/04/2020","13/04/2020",2020-04-14 00:00:00.000,
,,"Pillar 3","UK","15/04/2020","14/04/2020",2020-04-15 00:00:00.000,
,,"Pillar 3","UK","16/04/2020","15/04/2020",2020-04-16 00:00:00.000,
,,"Pillar 3","UK","17/04/2020","16/04/2020",2020-04-17 00:00:00.000,
,,"Pillar 3","UK","18/04/2020","17/04/2020",2020-04-18 00:00:00.000,
,,"Pillar 3","UK","19/04/2020","18/04/2020",2020-04-19 00:00:00.000,
,,"Pillar 3","UK","20/04/2020","19/04/2020",2020-04-20 00:00:00.000,
,,"Pillar 3","UK","21/04/2020","20/04/2020",2020-04-21 00:00:00.000,
,,"Pillar 3","UK","22/04/2020","21/04/2020",2020-04-22 00:00:00.000,
,,"Pillar 3","UK","23/04/2020","22/04/2020",2020-04-23 00:00:00.000,
,,"Pillar 3","UK","24/04/2020","23/04/2020",2020-04-24 00:00:00.000,
,,"Pillar 3","UK","25/04/2020","24/04/2020",2020-04-25 00:00:00.000,
,,"Pillar 3","UK","26/04/2020","25/04/2020",2020-04-26 00:00:00.000,
,,"Pillar 3","UK","27/04/2020","26/04/2020",2020-04-27 00:00:00.000,
,,"Pillar 3","UK","28/04/2020","27/04/2020",2020-04-28 00:00:00.000,
,,"Pillar 3","UK","29/04/2020","28/04/2020",2020-04-29 00:00:00.000,
,,"Pillar 3","UK","30/04/2020","29/04/2020",2020-04-30 00:00:00.000,
,,"Pillar 3","UK","01/05/2020","30/04/2020",2020-01-05 00:00:00.000,
,,"Pillar 3","UK","02/05/2020","01/05/2020",2020-02-05 00:00:00.000,
,,"Pillar 3","UK","03/05/2020","02/05/2020",2020-03-05 00:00:00.000,
,,"Pillar 3","UK","04/05/2020","03/05/2020",2020-04-05 00:00:00.000,
,,"Pillar 3","UK","05/05/2020","04/05/2020",2020-05-05 00:00:00.000,
,,"Pillar 3","UK","06/05/2020","05/05/2020",2020-06-05 00:00:00.000,
,,"Pillar 3","UK","07/05/2020","06/05/2020",2020-07-05 00:00:00.000,
,,"Pillar 3","UK","08/05/2020","07/05/2020",2020-08-05 00:00:00.000,
,,"Pillar 3","UK","09/05/2020","08/05/2020",2020-09-05 00:00:00.000,
,,"Pillar 3","UK","10/05/2020","09/05/2020",2020-10-05 00:00:00.000,
,,"Pillar 3","UK","11/05/2020","10/05/2020",2020-11-05 00:00:00.000,
