Date,Year,QuarterOfYear,MonthOfYear,DayOfMonth,DateInt,MonthName,MonthInCalendar,QuarterInCalendar,DayInWeek,DayOfWeekName,WeekEnding
2020-07-01 00:00:00.000,"2020","3","7","1","20200701","July","Jul 2020","Q3 2020","3","Wednesday",2020-07-04 00:00:00.000
2020-07-02 00:00:00.000,"2020","3","7","2","20200702","July","Jul 2020","Q3 2020","4","Thursday",2020-07-04 00:00:00.000
2020-07-03 00:00:00.000,"2020","3","7","3","20200703","July","Jul 2020","Q3 2020","5","Friday",2020-07-04 00:00:00.000
2020-07-04 00:00:00.000,"2020","3","7","4","20200704","July","Jul 2020","Q3 2020","6","Saturday",2020-07-04 00:00:00.000
2020-07-05 00:00:00.000,"2020","3","7","5","20200705","July","Jul 2020","Q3 2020","0","Sunday",2020-07-11 00:00:00.000
2020-07-06 00:00:00.000,"2020","3","7","6","20200706","July","Jul 2020","Q3 2020","1","Monday",2020-07-11 00:00:00.000
2020-07-07 00:00:00.000,"2020","3","7","7","20200707","July","Jul 2020","Q3 2020","2","Tuesday",2020-07-11 00:00:00.000
2020-07-08 00:00:00.000,"2020","3","7","8","20200708","July","Jul 2020","Q3 2020","3","Wednesday",2020-07-11 00:00:00.000
2020-07-09 00:00:00.000,"2020","3","7","9","20200709","July","Jul 2020","Q3 2020","4","Thursday",2020-07-11 00:00:00.000
2020-07-10 00:00:00.000,"2020","3","7","10","20200710","July","Jul 2020","Q3 2020","5","Friday",2020-07-11 00:00:00.000
2020-07-11 00:00:00.000,"2020","3","7","11","20200711","July","Jul 2020","Q3 2020","6","Saturday",2020-07-11 00:00:00.000
2020-07-12 00:00:00.000,"2020","3","7","12","20200712","July","Jul 2020","Q3 2020","0","Sunday",2020-07-18 00:00:00.000
2020-07-13 00:00:00.000,"2020","3","7","13","20200713","July","Jul 2020","Q3 2020","1","Monday",2020-07-18 00:00:00.000
2020-07-14 00:00:00.000,"2020","3","7","14","20200714","July","Jul 2020","Q3 2020","2","Tuesday",2020-07-18 00:00:00.000
2020-07-15 00:00:00.000,"2020","3","7","15","20200715","July","Jul 2020","Q3 2020","3","Wednesday",2020-07-18 00:00:00.000
2020-07-16 00:00:00.000,"2020","3","7","16","20200716","July","Jul 2020","Q3 2020","4","Thursday",2020-07-18 00:00:00.000
2020-07-17 00:00:00.000,"2020","3","7","17","20200717","July","Jul 2020","Q3 2020","5","Friday",2020-07-18 00:00:00.000
2020-07-18 00:00:00.000,"2020","3","7","18","20200718","July","Jul 2020","Q3 2020","6","Saturday",2020-07-18 00:00:00.000
2020-07-19 00:00:00.000,"2020","3","7","19","20200719","July","Jul 2020","Q3 2020","0","Sunday",2020-07-25 00:00:00.000
2020-07-20 00:00:00.000,"2020","3","7","20","20200720","July","Jul 2020","Q3 2020","1","Monday",2020-07-25 00:00:00.000
2020-07-21 00:00:00.000,"2020","3","7","21","20200721","July","Jul 2020","Q3 2020","2","Tuesday",2020-07-25 00:00:00.000
