Transaction Type,Date,Name,Amount,Balance
"Bill",2023-12-02 00:00:00.000,"Patton Hardware Supplies",13695,
"Bill",2023-12-15 00:00:00.000,"C.U. Electric",532,
"Bill",2023-12-20 00:00:00.000,"Patton Hardware Supplies",5064,
"Bill",2023-12-23 00:00:00.000,"Cal Telephone",623,
"Bill",2023-12-28 00:00:00.000,"Bayshore Water",205,
"Bill",2024-01-01 00:00:00.000,"Custom Kitchens of Bayshore",435,
"Bill",2024-01-03 00:00:00.000,"East Bayshore Auto Mall",532.97,
"Bill",2024-01-10 00:00:00.000,"Sergeant Insurance",712.56,
"Bill",2024-01-31 00:00:00.000,"Vu Contracting",2050,
"Bill",2024-02-03 00:00:00.000,"East Bayshore Auto Mall",532.97,
"Bill",2024-03-01 00:00:00.000,"Kershaw Computer Services",714,
"Bill",2024-03-03 00:00:00.000,"East Bayshore Auto Mall",532.97,
"Bill",2024-04-03 00:00:00.000,"East Bayshore Auto Mall",532.97,
"Bill",2024-04-10 00:00:00.000,"Sergeant Insurance",712.56,
"Bill",2024-05-03 00:00:00.000,"East Bayshore Auto Mall",532.97,
"Bill",2024-06-03 00:00:00.000,"East Bayshore Auto Mall",532.97,
"Bill",2024-06-16 00:00:00.000,"Sergeant Insurance",4050,
"Bill",2024-07-03 00:00:00.000,"East Bayshore Auto Mall",532.97,
"Bill",2024-07-10 00:00:00.000,"Sergeant Insurance",712.56,
"Bill",2024-07-15 00:00:00.000,"City of East Bayshore",225,
"Bill",2024-07-15 00:00:00.000,"Perry Windows & Doors",144.75,
"Bill",2024-07-15 00:00:00.000,"Thomas Kitchen & Bath",2080,
"Bill",2024-07-15 00:00:00.000,"Timberloft Lumber",234,
"Bill",2024-08-03 00:00:00.000,"East Bayshore Auto Mall",532.97,
"Bill",2024-08-15 00:00:00.000,"Larson Flooring",429.87,
"Bill",2024-08-26 00:00:00.000,"Middlefield Drywall",1500,
"Bill",2024-09-03 00:00:00.000,"East Bayshore Auto Mall",532.97,
"Bill",2024-10-02 00:00:00.000,"Perry Windows & Doors",1287,
"Bill",2024-10-03 00:00:00.000,"East Bayshore Auto Mall",532.97,
"Bill",2024-10-10 00:00:00.000,"Sergeant Insurance",712.56,
"Bill",2024-11-03 00:00:00.000,"East Bayshore Auto Mall",532.97,
"Bill",2024-12-03 00:00:00.000,"East Bayshore Auto Mall",532.97,
"Bill",2024-12-10 00:00:00.000,"Sergeant Insurance",4050,
"Bill",2025-01-02 00:00:00.000,"A Cheung Limited",1500,
"Bill",2025-01-03 00:00:00.000,"East Bayshore Auto Mall",532.97,
"Bill",2025-01-04 00:00:00.000,"Thomas Kitchen & Bath",23.84,
