Country,Date,Disease,ID,Month,Update,Year,Cases,Death,Pathogens,Vaccination,Lethality,Transmission_Medium,Minimum_Incubation,Maximum_Incubation,Host_for_Parasite,Source,Age_Group,Symptoms,Disease_Scientific_Name
"US",2020-03-01 00:00:00.000,"COVID-19",8316,3,"Yes",2020,1,0,"Virus",0,"Normal, Brutal","person to person blood bodily fluids, person to person cough sneeze aerosol,  mosquito bite, person to person stools of infected person, contaminated food, contaminated water, livestock animal blood body fluids","7","14","non confirmed","zootonic","all","respiratory symptoms, fever, cough, shortness of breath and breathing difficulties. In more severe cases, infection can cause pneumonia, severe acute respiratory syndrome, kidney failure and even death.","2019-nCoV"
"US",2020-03-01 00:00:00.000,"COVID-19",8317,3,"Yes",2020,1,0,"Virus",0,"Normal, Brutal","person to person blood bodily fluids, person to person cough sneeze aerosol,  mosquito bite, person to person stools of infected person, contaminated food, contaminated water, livestock animal blood body fluids","7","14","non confirmed","zootonic","all","respiratory symptoms, fever, cough, shortness of breath and breathing difficulties. In more severe cases, infection can cause pneumonia, severe acute respiratory syndrome, kidney failure and even death.","2019-nCoV"
"US",2020-03-01 00:00:00.000,"COVID-19",8318,3,"Yes",2020,1,0,"Virus",0,"Normal, Brutal","person to person blood bodily fluids, person to person cough sneeze aerosol,  mosquito bite, person to person stools of infected person, contaminated food, contaminated water, livestock animal blood body fluids","7","14","non confirmed","zootonic","all","respiratory symptoms, fever, cough, shortness of breath and breathing difficulties. In more severe cases, infection can cause pneumonia, severe acute respiratory syndrome, kidney failure and even death.","2019-nCoV"
"US",2020-03-01 00:00:00.000,"COVID-19",8319,3,"Yes",2020,1,0,"Virus",0,"Normal, Brutal","person to person blood bodily fluids, person to person cough sneeze aerosol,  mosquito bite, person to person stools of infected person, contaminated food, contaminated water, livestock animal blood body fluids","7","14","non confirmed","zootonic","all","respiratory symptoms, fever, cough, shortness of breath and breathing difficulties. In more severe cases, infection can cause pneumonia, severe acute respiratory syndrome, kidney failure and even death.","2019-nCoV"
"US",2020-03-01 00:00:00.000,"COVID-19",8320,3,"Yes",2020,1,0,"Virus",0,"Normal, Brutal","person to person blood bodily fluids, person to person cough sneeze aerosol,  mosquito bite, person to person stools of infected person, contaminated food, contaminated water, livestock animal blood body fluids","7","14","non confirmed","zootonic","all","respiratory symptoms, fever, cough, shortness of breath and breathing difficulties. In more severe cases, infection can cause pneumonia, severe acute respiratory syndrome, kidney failure and even death.","2019-nCoV"
"US",2020-03-01 00:00:00.000,"COVID-19",8321,3,"Yes",2020,1,0,"Virus",0,"Normal, Brutal","person to person blood bodily fluids, person to person cough sneeze aerosol,  mosquito bite, person to person stools of infected person, contaminated food, contaminated water, livestock animal blood body fluids","7","14","non confirmed","zootonic","all","respiratory symptoms, fever, cough, shortness of breath and breathing difficulties. In more severe cases, infection can cause pneumonia, severe acute respiratory syndrome, kidney failure and even death.","2019-nCoV"
"US",2020-03-01 00:00:00.000,"COVID-19",8322,3,"Yes",2020,1,0,"Virus",0,"Normal, Brutal","person to person blood bodily fluids, person to person cough sneeze aerosol,  mosquito bite, person to person stools of infected person, contaminated food, contaminated water, livestock animal blood body fluids","7","14","non confirmed","zootonic","all","respiratory symptoms, fever, cough, shortness of breath and breathing difficulties. In more severe cases, infection can cause pneumonia, severe acute respiratory syndrome, kidney failure and even death.","2019-nCoV"
"US",2020-03-01 00:00:00.000,"COVID-19",8323,3,"Yes",2020,1,0,"Virus",0,"Normal, Brutal","person to person blood bodily fluids, person to person cough sneeze aerosol,  mosquito bite, person to person stools of infected person, contaminated food, contaminated water, livestock animal blood body fluids","7","14","non confirmed","zootonic","all","respiratory symptoms, fever, cough, shortness of breath and breathing difficulties. In more severe cases, infection can cause pneumonia, severe acute respiratory syndrome, kidney failure and even death.","2019-nCoV"
"US",2020-03-01 00:00:00.000,"COVID-19",8324,3,"Yes",2020,1,0,"Virus",0,"Normal, Brutal","person to person blood bodily fluids, person to person cough sneeze aerosol,  mosquito bite, person to person stools of infected person, contaminated food, contaminated water, livestock animal blood body fluids","7","14","non confirmed","zootonic","all","respiratory symptoms, fever, cough, shortness of breath and breathing difficulties. In more severe cases, infection can cause pneumonia, severe acute respiratory syndrome, kidney failure and even death.","2019-nCoV"
"US",2020-03-02 00:00:00.000,"COVID-19",8451,3,"Yes",2020,1,0,"Virus",0,"Normal, Brutal","person to person blood bodily fluids, person to person cough sneeze aerosol,  mosquito bite, person to person stools of infected person, contaminated food, contaminated water, livestock animal blood body fluids","7","14","non confirmed","zootonic","all","respiratory symptoms, fever, cough, shortness of breath and breathing difficulties. In more severe cases, infection can cause pneumonia, severe acute respiratory syndrome, kidney failure and even death.","2019-nCoV"
