Column1,Country,Date,Disease,ID,Month,Update,Year,Cases,Death,Pathogens,Disease_Scientific_Name,Vaccination,Lethality,Transmission_Medium,Minimum_Incubation,Maximum_Incubation,Host_for_Parasite,Source,Age_Group,Symptoms,days,outbreak_cluster,cfr
3621,"Kuwait",2003-05-31 00:00:00.000,"SARS",4435,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6143 days 00:00:00.000000000",0,0
3591,"Kuwait",2003-05-30 00:00:00.000,"SARS",4405,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6144 days 00:00:00.000000000",0,0
3561,"Kuwait",2003-05-29 00:00:00.000,"SARS",4375,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6145 days 00:00:00.000000000",0,0
3530,"Kuwait",2003-05-28 00:00:00.000,"SARS",4344,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6146 days 00:00:00.000000000",0,0
3499,"Kuwait",2003-05-27 00:00:00.000,"SARS",4313,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6147 days 00:00:00.000000000",0,0
3469,"Kuwait",2003-05-26 00:00:00.000,"SARS",4283,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6148 days 00:00:00.000000000",0,0
3439,"Kuwait",2003-05-24 00:00:00.000,"SARS",4253,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6150 days 00:00:00.000000000",0,0
3409,"Kuwait",2003-05-23 00:00:00.000,"SARS",4223,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6151 days 00:00:00.000000000",0,0
3379,"Kuwait",2003-05-22 00:00:00.000,"SARS",4193,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6152 days 00:00:00.000000000",0,0
3348,"Kuwait",2003-05-21 00:00:00.000,"SARS",4162,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6153 days 00:00:00.000000000",0,0
3318,"Kuwait",2003-05-20 00:00:00.000,"SARS",4132,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6154 days 00:00:00.000000000",0,0
3288,"Kuwait",2003-05-19 00:00:00.000,"SARS",4102,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6155 days 00:00:00.000000000",0,0
3258,"Kuwait",2003-05-17 00:00:00.000,"SARS",4072,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6157 days 00:00:00.000000000",0,0
3228,"Kuwait",2003-05-16 00:00:00.000,"SARS",4042,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6158 days 00:00:00.000000000",0,0
3197,"Kuwait",2003-05-15 00:00:00.000,"SARS",4011,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6159 days 00:00:00.000000000",0,0
3166,"Kuwait",2003-05-14 00:00:00.000,"SARS",3980,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6160 days 00:00:00.000000000",0,0
3135,"Kuwait",2003-05-13 00:00:00.000,"SARS",3949,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6161 days 00:00:00.000000000",0,0
3103,"Kuwait",2003-05-12 00:00:00.000,"SARS",3917,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6162 days 00:00:00.000000000",0,0
3071,"Kuwait",2003-05-10 00:00:00.000,"SARS",3885,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6164 days 00:00:00.000000000",0,0
3039,"Kuwait",2003-05-09 00:00:00.000,"SARS",3853,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6165 days 00:00:00.000000000",0,0
3007,"Kuwait",2003-05-08 00:00:00.000,"SARS",3821,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6166 days 00:00:00.000000000",0,0
2975,"Kuwait",2003-05-07 00:00:00.000,"SARS",3789,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6167 days 00:00:00.000000000",0,0
2944,"Kuwait",2003-05-06 00:00:00.000,"SARS",3758,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6168 days 00:00:00.000000000",0,0
2913,"Kuwait",2003-05-05 00:00:00.000,"SARS",3727,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6169 days 00:00:00.000000000",0,0
2884,"Kuwait",2003-05-03 00:00:00.000,"SARS",3698,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6171 days 00:00:00.000000000",0,0
2855,"Kuwait",2003-05-02 00:00:00.000,"SARS",3669,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6172 days 00:00:00.000000000",0,0
2827,"Kuwait",2003-05-01 00:00:00.000,"SARS",3641,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6173 days 00:00:00.000000000",0,0
3624,"New Zealand",2003-05-31 00:00:00.000,"SARS",4438,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6143 days 00:00:00.000000000",0,0
3594,"New Zealand",2003-05-30 00:00:00.000,"SARS",4408,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6144 days 00:00:00.000000000",0,0
3564,"New Zealand",2003-05-29 00:00:00.000,"SARS",4378,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6145 days 00:00:00.000000000",0,0
3533,"New Zealand",2003-05-28 00:00:00.000,"SARS",4347,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6146 days 00:00:00.000000000",0,0
3502,"New Zealand",2003-05-27 00:00:00.000,"SARS",4316,5,"Yes",2003,1,0,"Virus","SARs",0,"Normal, Brutal","person to person cough sneeze aerosol",2,7,"animal, livestock","zootonic","all","high fever (temperature greater than 100.4Â°F [>38.0Â°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia.","6147 days 00:00:00.000000000",0,0
