Customer ID,Customer name,Country,Region,"Region, Country","Customer, Country"
1038,"Adipiscing Elit Aliquam Corp.","Australia","NT","NT, Australia","Adipiscing Elit Aliquam Corp., Australia"
1052,"Euismod Ltd","New Zealand","NI","NI, New Zealand","Euismod Ltd, New Zealand"
1054,"Est Congue Associates","United States","NE","NE, United States","Est Congue Associates, United States"
1059,"Mauris PC","United Kingdom","CTR","CTR, United Kingdom","Mauris PC, United Kingdom"
1077,"Phasellus Inc.","United Kingdom","HPH","HPH, United Kingdom","Phasellus Inc., United Kingdom"
1092,"In Inc.","Australia","WA","WA, Australia","In Inc., Australia"
1104,"Duis LLC","United States","GA","GA, United States","Duis LLC, United States"
1125,"Scelerisque Neque Nullam Industries","United Kingdom","IOW","IOW, United Kingdom","Scelerisque Neque Nullam Industries, United Kingdom"
1126,"Condimentum Eget Volutpat Ltd","United Kingdom","BFD","BFD, United Kingdom","Condimentum Eget Volutpat Ltd, United Kingdom"
1130,"Auctor Velit Eget Incorporated","New Zealand","NI","NI, New Zealand","Auctor Velit Eget Incorporated, New Zealand"
1137,"Enim Etiam Gravida Inc.","United States","ID","ID, United States","Enim Etiam Gravida Inc., United States"
1138,"Amet Dapibus Id LLP","United States","UT","UT, United States","Amet Dapibus Id LLP, United States"
1148,"Donec Egestas Aliquam Incorporated","New Zealand","NI","NI, New Zealand","Donec Egestas Aliquam Incorporated, New Zealand"
1158,"Lorem Ipsum Dolor Corp.","United Kingdom","NOR","NOR, United Kingdom","Lorem Ipsum Dolor Corp., United Kingdom"
1166,"Elit Associates","New Zealand","NI","NI, New Zealand","Elit Associates, New Zealand"
1176,"Fringilla Inc.","United Kingdom","GWT","GWT, United Kingdom","Fringilla Inc., United Kingdom"
1183,"Ornare Facilisis Ltd","Australia","NSW","NSW, Australia","Ornare Facilisis Ltd, Australia"
1184,"Nonummy Ultricies Ltd","United Kingdom","ARM","ARM, United Kingdom","Nonummy Ultricies Ltd, United Kingdom"
1187,"Diam PC","Australia","VIC","VIC, Australia","Diam PC, Australia"
1190,"Mi Limited","United States","KY","KY, United States","Mi Limited, United States"
1191,"Augue Ac PC","Australia","QLD","QLD, Australia","Augue Ac PC, Australia"
1219,"Massa Integer Vitae Limited","New Zealand","NI","NI, New Zealand","Massa Integer Vitae Limited, New Zealand"
1226,"Lectus Consulting","New Zealand","NI","NI, New Zealand","Lectus Consulting, New Zealand"
1235,"Turpis Nec Corporation","United Kingdom","SRK","SRK, United Kingdom","Turpis Nec Corporation, United Kingdom"
1251,"Eu Eros Nam Associates","United Kingdom","TYR","TYR, United Kingdom","Eu Eros Nam Associates, United Kingdom"
1257,"Nunc Risus Varius Corp.","New Zealand","SI","SI, New Zealand","Nunc Risus Varius Corp., New Zealand"
1259,"Enim Inc.","Australia","QLD","QLD, Australia","Enim Inc., Australia"
1269,"Vulputate Ullamcorper Associates","Australia","QLD","QLD, Australia","Vulputate Ullamcorper Associates, Australia"
1281,"Nibh Lacinia Orci LLC","United Kingdom","ESX","ESX, United Kingdom","Nibh Lacinia Orci LLC, United Kingdom"
1329,"Maecenas Mi Incorporated","New Zealand","SI","SI, New Zealand","Maecenas Mi Incorporated, New Zealand"
1331,"Molestie Tortor Nibh LLC","United States","GA","GA, United States","Molestie Tortor Nibh LLC, United States"
1375,"Interdum Feugiat Sed Industries","United Kingdom","HPH","HPH, United Kingdom","Interdum Feugiat Sed Industries, United Kingdom"
1386,"Tincidunt Limited","United States","WY","WY, United States","Tincidunt Limited, United States"
1392,"Luctus Curabitur Egestas PC","United Kingdom","MSY","MSY, United Kingdom","Luctus Curabitur Egestas PC, United Kingdom"
1395,"Dapibus Corp.","Australia","VIC","VIC, Australia","Dapibus Corp., Australia"
1412,"Risus In Associates","United States","MN","MN, United States","Risus In Associates, United States"
1432,"Per Associates","Australia","NT","NT, Australia","Per Associates, Australia"
1441,"Ante Lectus Convallis Consulting","United States","KY","KY, United States","Ante Lectus Convallis Consulting, United States"
1443,"Ligula Donec Luctus Company","Australia","WA","WA, Australia","Ligula Donec Luctus Company, Australia"
1447,"Felis Ullamcorper Consulting","New Zealand","NI","NI, New Zealand","Felis Ullamcorper Consulting, New Zealand"
1454,"Tellus Consulting","Australia","NSW","NSW, Australia","Tellus Consulting, Australia"
1455,"Pharetra Industries","Australia","WA","WA, Australia","Pharetra Industries, Australia"
