SalesTerritoryKey,Sales Territory Group,Sales Territory Country,Sales Territory Region,Sales Territory URL
1,"North America","United States","Northwest","http://www.crwflags.com/fotw/images/u/us.gif"
2,"North America","United States","Northeast","http://www.crwflags.com/fotw/images/u/us.gif"
3,"North America","United States","Central","http://www.crwflags.com/fotw/images/u/us.gif"
4,"North America","United States","Southwest","http://www.crwflags.com/fotw/images/u/us.gif"
5,"North America","United States","Southeast","http://www.crwflags.com/fotw/images/u/us.gif"
6,"North America","Canada","Canada","http://www.crwflags.com/fotw/images/c/ca.gif"
7,"Europe","France","France","http://www.crwflags.com/fotw/images/f/fr.gif"
8,"Europe","Germany","Germany","http://www.crwflags.com/fotw/images/d/de.gif"
9,"Pacific","Australia","Australia","http://www.crwflags.com/fotw/images/a/au.gif"
10,"Europe","United Kingdom","United Kingdom","http://www.crwflags.com/fotw/images/g/gb.gif"
