OrganizationKey,Organization,Percentage of Ownership,Parent Organization,Organization Currency,OrgSortIndex
1,"AdventureWorks Cycle","1","","US Dollar",1
10,"Pacific Operations",".75","AdventureWorks Cycle","Australian Dollar",2
9,"European Operations","1","AdventureWorks Cycle","EURO",3
2,"North America Operations","1","AdventureWorks Cycle","US Dollar",4
11,"France",".50","European Operations","EURO",5
12,"Germany",".25","European Operations","EURO",6
8,"Canadian Division",".75","North America Operations","Canadian Dollar",7
14,"USA Operations","1","North America Operations","US Dollar",8
13,"Australia",".50","Pacific Operations","Australian Dollar",9
3,"Northeast Division","1","USA Operations","US Dollar",10
4,"Northwest Division","1","USA Operations","US Dollar",11
5,"Central Division","1","USA Operations","US Dollar",12
6,"Southeast Division","1","USA Operations","US Dollar",13
7,"Southwest Division","1","USA Operations","US Dollar",14
