Category,Web URL
"Blasters","https://images-na.ssl-images-amazon.com/images/I/71zZLhe3oSL._AC_UL160_.jpg"
"Collectables","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8O6EZ3xChp8Ef_WZ4hgLA82LLoqURO-23eBdwOXgqP9MGRaZk"
"Construction","https://target.scene7.com/is/image/Target/GUEST_84bd4778-a5e0-4795-969d-670f5761cca1?wid=325&hei=325&qlt=80&fmt=webp"
"Dress Up","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmV8eWEKrvmKZnC3FNY32jE5Q_Ui3Q17VHOcrguchrlDhDckqT"
"Mini Dolls","https://target.scene7.com/is/image/Target/GUEST_635435c5-40d8-4679-897e-d110cab3cb8e?wid=325&hei=325&qlt=80&fmt=webp"
"PreSchool","https://i5.walmartimages.com/asr/a169d8ba-9b39-4910-87be-111d964d83fe_1.96fc998f638e4d08de3f4ffe4c06cdd0.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff"
"Ride On's","https://i5.walmartimages.com/asr/bf836c25-ffa7-4fc0-8888-5897309f9b34_2.a23dc50b2b79378bb317785411768546.jpeg?odnWidth=200&odnHeight=200&odnBg=ffffff"
"Seasonal","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ508HIeNucx24oVirarQXX7u9hb5ErhWmvSRoGHGa88xu9a10HdA"
"Tech Toys","https://m.media-amazon.com/images/S/gladiator-image-upload-prod/5/ATVPDKIKX0DER/819754b42a04ec84c77149dedc7e64b6._AC_SR218,200_SX200_SY200_.jpg"
"Vehicles","https://m.media-amazon.com/images/I/61JUqaMIufL._AC_UL480_FMwebp_QL65_.jpg"
