Date,Year,Week_No,Day Name,Year.1,Month,Month Name,Quarter,Week of Year,Start of Week,End of Month,UPPERCASE
2018-07-01 00:00:00.000,"2018","27","Sunday",2018,7,"July",3,27,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,"JUL"
2018-07-02 00:00:00.000,"2018","27","Monday",2018,7,"July",3,27,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,"JUL"
2018-07-03 00:00:00.000,"2018","27","Tuesday",2018,7,"July",3,27,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,"JUL"
2018-07-04 00:00:00.000,"2018","27","Wednesday",2018,7,"July",3,27,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,"JUL"
2018-07-05 00:00:00.000,"2018","27","Thursday",2018,7,"July",3,27,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,"JUL"
2018-07-06 00:00:00.000,"2018","27","Friday",2018,7,"July",3,27,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,"JUL"
2018-07-07 00:00:00.000,"2018","27","Saturday",2018,7,"July",3,27,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,"JUL"
2018-07-08 00:00:00.000,"2018","28","Sunday",2018,7,"July",3,28,2018-07-08 00:00:00.000,2018-07-31 00:00:00.000,"JUL"
2018-07-09 00:00:00.000,"2018","28","Monday",2018,7,"July",3,28,2018-07-08 00:00:00.000,2018-07-31 00:00:00.000,"JUL"
2018-07-10 00:00:00.000,"2018","28","Tuesday",2018,7,"July",3,28,2018-07-08 00:00:00.000,2018-07-31 00:00:00.000,"JUL"
2018-07-11 00:00:00.000,"2018","28","Wednesday",2018,7,"July",3,28,2018-07-08 00:00:00.000,2018-07-31 00:00:00.000,"JUL"
2018-07-12 00:00:00.000,"2018","28","Thursday",2018,7,"July",3,28,2018-07-08 00:00:00.000,2018-07-31 00:00:00.000,"JUL"
2018-07-13 00:00:00.000,"2018","28","Friday",2018,7,"July",3,28,2018-07-08 00:00:00.000,2018-07-31 00:00:00.000,"JUL"
2018-07-14 00:00:00.000,"2018","28","Saturday",2018,7,"July",3,28,2018-07-08 00:00:00.000,2018-07-31 00:00:00.000,"JUL"
2018-07-15 00:00:00.000,"2018","29","Sunday",2018,7,"July",3,29,2018-07-15 00:00:00.000,2018-07-31 00:00:00.000,"JUL"
