Date,Year,Week_No,Day Name,Year.1,Month,Month Name,Quarter,Week of Year,Start of Week,End of Month,UPPERCASE,Day Inx,YM Key,Last Sale Date
2018-07-01 00:00:00.000,"2018","27","Sunday",2018,7,"July","Q3",27,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,"JUL",223,"201807",0
2018-07-02 00:00:00.000,"2018","27","Monday",2018,7,"July","Q3",27,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,"JUL",224,"201807",0
2018-07-03 00:00:00.000,"2018","27","Tuesday",2018,7,"July","Q3",27,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,"JUL",225,"201807",0
2018-07-04 00:00:00.000,"2018","27","Wednesday",2018,7,"July","Q3",27,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,"JUL",226,"201807",0
2018-07-05 00:00:00.000,"2018","27","Thursday",2018,7,"July","Q3",27,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,"JUL",227,"201807",0
2018-07-06 00:00:00.000,"2018","27","Friday",2018,7,"July","Q3",27,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,"JUL",228,"201807",0
2018-07-07 00:00:00.000,"2018","27","Saturday",2018,7,"July","Q3",27,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,"JUL",229,"201807",0
2018-07-08 00:00:00.000,"2018","28","Sunday",2018,7,"July","Q3",28,2018-07-08 00:00:00.000,2018-07-31 00:00:00.000,"JUL",230,"201807",0
2018-07-09 00:00:00.000,"2018","28","Monday",2018,7,"July","Q3",28,2018-07-08 00:00:00.000,2018-07-31 00:00:00.000,"JUL",231,"201807",0
2018-07-10 00:00:00.000,"2018","28","Tuesday",2018,7,"July","Q3",28,2018-07-08 00:00:00.000,2018-07-31 00:00:00.000,"JUL",232,"201807",0
2018-07-11 00:00:00.000,"2018","28","Wednesday",2018,7,"July","Q3",28,2018-07-08 00:00:00.000,2018-07-31 00:00:00.000,"JUL",233,"201807",0
2018-07-12 00:00:00.000,"2018","28","Thursday",2018,7,"July","Q3",28,2018-07-08 00:00:00.000,2018-07-31 00:00:00.000,"JUL",234,"201807",0
2018-07-13 00:00:00.000,"2018","28","Friday",2018,7,"July","Q3",28,2018-07-08 00:00:00.000,2018-07-31 00:00:00.000,"JUL",235,"201807",0
2018-07-14 00:00:00.000,"2018","28","Saturday",2018,7,"July","Q3",28,2018-07-08 00:00:00.000,2018-07-31 00:00:00.000,"JUL",236,"201807",0
2018-07-15 00:00:00.000,"2018","29","Sunday",2018,7,"July","Q3",29,2018-07-15 00:00:00.000,2018-07-31 00:00:00.000,"JUL",237,"201807",0
2018-07-16 00:00:00.000,"2018","29","Monday",2018,7,"July","Q3",29,2018-07-15 00:00:00.000,2018-07-31 00:00:00.000,"JUL",238,"201807",0
2018-07-17 00:00:00.000,"2018","29","Tuesday",2018,7,"July","Q3",29,2018-07-15 00:00:00.000,2018-07-31 00:00:00.000,"JUL",239,"201807",0
2018-07-18 00:00:00.000,"2018","29","Wednesday",2018,7,"July","Q3",29,2018-07-15 00:00:00.000,2018-07-31 00:00:00.000,"JUL",240,"201807",0
2018-07-19 00:00:00.000,"2018","29","Thursday",2018,7,"July","Q3",29,2018-07-15 00:00:00.000,2018-07-31 00:00:00.000,"JUL",241,"201807",0
2018-07-20 00:00:00.000,"2018","29","Friday",2018,7,"July","Q3",29,2018-07-15 00:00:00.000,2018-07-31 00:00:00.000,"JUL",242,"201807",0
2018-07-21 00:00:00.000,"2018","29","Saturday",2018,7,"July","Q3",29,2018-07-15 00:00:00.000,2018-07-31 00:00:00.000,"JUL",243,"201807",0
2018-07-22 00:00:00.000,"2018","30","Sunday",2018,7,"July","Q3",30,2018-07-22 00:00:00.000,2018-07-31 00:00:00.000,"JUL",244,"201807",0
2018-07-23 00:00:00.000,"2018","30","Monday",2018,7,"July","Q3",30,2018-07-22 00:00:00.000,2018-07-31 00:00:00.000,"JUL",245,"201807",0
2018-07-24 00:00:00.000,"2018","30","Tuesday",2018,7,"July","Q3",30,2018-07-22 00:00:00.000,2018-07-31 00:00:00.000,"JUL",246,"201807",0
2018-07-25 00:00:00.000,"2018","30","Wednesday",2018,7,"July","Q3",30,2018-07-22 00:00:00.000,2018-07-31 00:00:00.000,"JUL",247,"201807",0
2018-07-26 00:00:00.000,"2018","30","Thursday",2018,7,"July","Q3",30,2018-07-22 00:00:00.000,2018-07-31 00:00:00.000,"JUL",248,"201807",0
2018-07-27 00:00:00.000,"2018","30","Friday",2018,7,"July","Q3",30,2018-07-22 00:00:00.000,2018-07-31 00:00:00.000,"JUL",249,"201807",0
2018-07-28 00:00:00.000,"2018","30","Saturday",2018,7,"July","Q3",30,2018-07-22 00:00:00.000,2018-07-31 00:00:00.000,"JUL",250,"201807",0
2018-07-29 00:00:00.000,"2018","31","Sunday",2018,7,"July","Q3",31,2018-07-29 00:00:00.000,2018-07-31 00:00:00.000,"JUL",251,"201807",0
2018-07-30 00:00:00.000,"2018","31","Monday",2018,7,"July","Q3",31,2018-07-29 00:00:00.000,2018-07-31 00:00:00.000,"JUL",252,"201807",0
2018-07-31 00:00:00.000,"2018","31","Tuesday",2018,7,"July","Q3",31,2018-07-29 00:00:00.000,2018-07-31 00:00:00.000,"JUL",253,"201807",0
2018-08-01 00:00:00.000,"2018","31","Wednesday",2018,8,"August","Q3",31,2018-07-29 00:00:00.000,2018-08-31 00:00:00.000,"AUG",254,"201808",0
2018-08-02 00:00:00.000,"2018","31","Thursday",2018,8,"August","Q3",31,2018-07-29 00:00:00.000,2018-08-31 00:00:00.000,"AUG",255,"201808",0
2018-08-03 00:00:00.000,"2018","31","Friday",2018,8,"August","Q3",31,2018-07-29 00:00:00.000,2018-08-31 00:00:00.000,"AUG",256,"201808",0
2018-08-04 00:00:00.000,"2018","31","Saturday",2018,8,"August","Q3",31,2018-07-29 00:00:00.000,2018-08-31 00:00:00.000,"AUG",257,"201808",0
2018-08-05 00:00:00.000,"2018","32","Sunday",2018,8,"August","Q3",32,2018-08-05 00:00:00.000,2018-08-31 00:00:00.000,"AUG",258,"201808",0
2018-08-06 00:00:00.000,"2018","32","Monday",2018,8,"August","Q3",32,2018-08-05 00:00:00.000,2018-08-31 00:00:00.000,"AUG",259,"201808",0
