Date,Year Number,Year,Year Quarter Number,Year Quarter,Year Month Number,Year Month,Month Number,Month,Day of Week Number,Day of Week,Working Day
2005-01-03 00:00:00.000,2005,"CY 2005",20051,"Q1-2005",200501,"January 2005",1,"January",2,"Monday","WorkDay"
2005-01-10 00:00:00.000,2005,"CY 2005",20051,"Q1-2005",200501,"January 2005",1,"January",2,"Monday","WorkDay"
2005-01-17 00:00:00.000,2005,"CY 2005",20051,"Q1-2005",200501,"January 2005",1,"January",2,"Monday","WorkDay"
2005-01-24 00:00:00.000,2005,"CY 2005",20051,"Q1-2005",200501,"January 2005",1,"January",2,"Monday","WorkDay"
2005-01-31 00:00:00.000,2005,"CY 2005",20051,"Q1-2005",200501,"January 2005",1,"January",2,"Monday","WorkDay"
2005-02-07 00:00:00.000,2005,"CY 2005",20051,"Q1-2005",200502,"February 2005",2,"February",2,"Monday","WorkDay"
2005-02-14 00:00:00.000,2005,"CY 2005",20051,"Q1-2005",200502,"February 2005",2,"February",2,"Monday","WorkDay"
2005-02-21 00:00:00.000,2005,"CY 2005",20051,"Q1-2005",200502,"February 2005",2,"February",2,"Monday","WorkDay"
2005-02-28 00:00:00.000,2005,"CY 2005",20051,"Q1-2005",200502,"February 2005",2,"February",2,"Monday","WorkDay"
2005-03-07 00:00:00.000,2005,"CY 2005",20051,"Q1-2005",200503,"March 2005",3,"March",2,"Monday","WorkDay"
2005-03-14 00:00:00.000,2005,"CY 2005",20051,"Q1-2005",200503,"March 2005",3,"March",2,"Monday","WorkDay"
2005-03-21 00:00:00.000,2005,"CY 2005",20051,"Q1-2005",200503,"March 2005",3,"March",2,"Monday","WorkDay"
2005-03-28 00:00:00.000,2005,"CY 2005",20051,"Q1-2005",200503,"March 2005",3,"March",2,"Monday","WorkDay"
2005-04-04 00:00:00.000,2005,"CY 2005",20052,"Q2-2005",200504,"April 2005",4,"April",2,"Monday","WorkDay"
2005-04-11 00:00:00.000,2005,"CY 2005",20052,"Q2-2005",200504,"April 2005",4,"April",2,"Monday","WorkDay"
2005-04-18 00:00:00.000,2005,"CY 2005",20052,"Q2-2005",200504,"April 2005",4,"April",2,"Monday","WorkDay"
2005-04-25 00:00:00.000,2005,"CY 2005",20052,"Q2-2005",200504,"April 2005",4,"April",2,"Monday","WorkDay"
2005-05-02 00:00:00.000,2005,"CY 2005",20052,"Q2-2005",200505,"May 2005",5,"May",2,"Monday","WorkDay"
2005-05-09 00:00:00.000,2005,"CY 2005",20052,"Q2-2005",200505,"May 2005",5,"May",2,"Monday","WorkDay"
2005-05-16 00:00:00.000,2005,"CY 2005",20052,"Q2-2005",200505,"May 2005",5,"May",2,"Monday","WorkDay"
2005-05-23 00:00:00.000,2005,"CY 2005",20052,"Q2-2005",200505,"May 2005",5,"May",2,"Monday","WorkDay"
2005-05-30 00:00:00.000,2005,"CY 2005",20052,"Q2-2005",200505,"May 2005",5,"May",2,"Monday","WorkDay"
2005-06-06 00:00:00.000,2005,"CY 2005",20052,"Q2-2005",200506,"June 2005",6,"June",2,"Monday","WorkDay"
2005-06-13 00:00:00.000,2005,"CY 2005",20052,"Q2-2005",200506,"June 2005",6,"June",2,"Monday","WorkDay"
2005-06-20 00:00:00.000,2005,"CY 2005",20052,"Q2-2005",200506,"June 2005",6,"June",2,"Monday","WorkDay"
2005-06-27 00:00:00.000,2005,"CY 2005",20052,"Q2-2005",200506,"June 2005",6,"June",2,"Monday","WorkDay"
2005-07-04 00:00:00.000,2005,"CY 2005",20053,"Q3-2005",200507,"July 2005",7,"July",2,"Monday","WorkDay"
2005-07-11 00:00:00.000,2005,"CY 2005",20053,"Q3-2005",200507,"July 2005",7,"July",2,"Monday","WorkDay"
2005-07-18 00:00:00.000,2005,"CY 2005",20053,"Q3-2005",200507,"July 2005",7,"July",2,"Monday","WorkDay"
2005-07-25 00:00:00.000,2005,"CY 2005",20053,"Q3-2005",200507,"July 2005",7,"July",2,"Monday","WorkDay"
2005-08-01 00:00:00.000,2005,"CY 2005",20053,"Q3-2005",200508,"August 2005",8,"August",2,"Monday","WorkDay"
2005-08-08 00:00:00.000,2005,"CY 2005",20053,"Q3-2005",200508,"August 2005",8,"August",2,"Monday","WorkDay"
2005-08-15 00:00:00.000,2005,"CY 2005",20053,"Q3-2005",200508,"August 2005",8,"August",2,"Monday","WorkDay"
2005-08-22 00:00:00.000,2005,"CY 2005",20053,"Q3-2005",200508,"August 2005",8,"August",2,"Monday","WorkDay"
2005-08-29 00:00:00.000,2005,"CY 2005",20053,"Q3-2005",200508,"August 2005",8,"August",2,"Monday","WorkDay"
2005-09-05 00:00:00.000,2005,"CY 2005",20053,"Q3-2005",200509,"September 2005",9,"September",2,"Monday","WorkDay"
2005-09-12 00:00:00.000,2005,"CY 2005",20053,"Q3-2005",200509,"September 2005",9,"September",2,"Monday","WorkDay"
2005-09-19 00:00:00.000,2005,"CY 2005",20053,"Q3-2005",200509,"September 2005",9,"September",2,"Monday","WorkDay"
2005-09-26 00:00:00.000,2005,"CY 2005",20053,"Q3-2005",200509,"September 2005",9,"September",2,"Monday","WorkDay"
2005-10-03 00:00:00.000,2005,"CY 2005",20054,"Q4-2005",200510,"October 2005",10,"October",2,"Monday","WorkDay"
2005-10-10 00:00:00.000,2005,"CY 2005",20054,"Q4-2005",200510,"October 2005",10,"October",2,"Monday","WorkDay"
2005-10-17 00:00:00.000,2005,"CY 2005",20054,"Q4-2005",200510,"October 2005",10,"October",2,"Monday","WorkDay"
2005-10-24 00:00:00.000,2005,"CY 2005",20054,"Q4-2005",200510,"October 2005",10,"October",2,"Monday","WorkDay"
2005-10-31 00:00:00.000,2005,"CY 2005",20054,"Q4-2005",200510,"October 2005",10,"October",2,"Monday","WorkDay"
