Date,Year,QuarterNumber,MonthNumber,DayOfMonthNumber,DayOfWeekNumber,DayOfWeek,DateInt,Month,MonthYear,MonthYearNumber,Quarter,QuarterYear,QuarterYearNumber,WeekEnding,RelativeDay,RelativeYear,RelativeMonth,RelativeWeek,ISOYear,ISOWeek,ISOWeekInt,ISOWeekInCalendar
2020-07-01 00:00:00.000,2020,3,7,1,2,"Wednesday",20200701,"July","Jul 2020",202007,"Q 3","Q3 2020",20203,2020-07-05 00:00:00.000,-194,-1,-6,-28,2020,27,202027,"2020-W27"
2020-07-02 00:00:00.000,2020,3,7,2,3,"Thursday",20200702,"July","Jul 2020",202007,"Q 3","Q3 2020",20203,2020-07-05 00:00:00.000,-193,-1,-6,-28,2020,27,202027,"2020-W27"
2020-07-03 00:00:00.000,2020,3,7,3,4,"Friday",20200703,"July","Jul 2020",202007,"Q 3","Q3 2020",20203,2020-07-05 00:00:00.000,-192,-1,-6,-28,2020,27,202027,"2020-W27"
2020-07-04 00:00:00.000,2020,3,7,4,5,"Saturday",20200704,"July","Jul 2020",202007,"Q 3","Q3 2020",20203,2020-07-05 00:00:00.000,-191,-1,-6,-28,2020,27,202027,"2020-W27"
2020-07-05 00:00:00.000,2020,3,7,5,6,"Sunday",20200705,"July","Jul 2020",202007,"Q 3","Q3 2020",20203,2020-07-05 00:00:00.000,-190,-1,-6,-28,2020,27,202027,"2020-W27"
2020-07-06 00:00:00.000,2020,3,7,6,0,"Monday",20200706,"July","Jul 2020",202007,"Q 3","Q3 2020",20203,2020-07-12 00:00:00.000,-189,-1,-6,-27,2020,28,202028,"2020-W28"
2020-07-07 00:00:00.000,2020,3,7,7,1,"Tuesday",20200707,"July","Jul 2020",202007,"Q 3","Q3 2020",20203,2020-07-12 00:00:00.000,-188,-1,-6,-27,2020,28,202028,"2020-W28"
2020-07-08 00:00:00.000,2020,3,7,8,2,"Wednesday",20200708,"July","Jul 2020",202007,"Q 3","Q3 2020",20203,2020-07-12 00:00:00.000,-187,-1,-6,-27,2020,28,202028,"2020-W28"
2020-07-09 00:00:00.000,2020,3,7,9,3,"Thursday",20200709,"July","Jul 2020",202007,"Q 3","Q3 2020",20203,2020-07-12 00:00:00.000,-186,-1,-6,-27,2020,28,202028,"2020-W28"
2020-07-10 00:00:00.000,2020,3,7,10,4,"Friday",20200710,"July","Jul 2020",202007,"Q 3","Q3 2020",20203,2020-07-12 00:00:00.000,-185,-1,-6,-27,2020,28,202028,"2020-W28"
2020-07-11 00:00:00.000,2020,3,7,11,5,"Saturday",20200711,"July","Jul 2020",202007,"Q 3","Q3 2020",20203,2020-07-12 00:00:00.000,-184,-1,-6,-27,2020,28,202028,"2020-W28"
2020-07-12 00:00:00.000,2020,3,7,12,6,"Sunday",20200712,"July","Jul 2020",202007,"Q 3","Q3 2020",20203,2020-07-12 00:00:00.000,-183,-1,-6,-27,2020,28,202028,"2020-W28"
2020-07-13 00:00:00.000,2020,3,7,13,0,"Monday",20200713,"July","Jul 2020",202007,"Q 3","Q3 2020",20203,2020-07-19 00:00:00.000,-182,-1,-6,-26,2020,29,202029,"2020-W29"
2020-07-14 00:00:00.000,2020,3,7,14,1,"Tuesday",20200714,"July","Jul 2020",202007,"Q 3","Q3 2020",20203,2020-07-19 00:00:00.000,-181,-1,-6,-26,2020,29,202029,"2020-W29"
2020-07-15 00:00:00.000,2020,3,7,15,2,"Wednesday",20200715,"July","Jul 2020",202007,"Q 3","Q3 2020",20203,2020-07-19 00:00:00.000,-180,-1,-6,-26,2020,29,202029,"2020-W29"
2020-07-16 00:00:00.000,2020,3,7,16,3,"Thursday",20200716,"July","Jul 2020",202007,"Q 3","Q3 2020",20203,2020-07-19 00:00:00.000,-179,-1,-6,-26,2020,29,202029,"2020-W29"
