Date,Year,Quarter of Year,Month of Year,Day of Month,Date International,Month Name,Month & Year,Quarter & Year,Day in Week,Day Name,WeekEnding,Week Number,Month Year Sort,Quarter Year Sort,Short Year,Financial Year,Quarter
2019-07-01 00:00:00.000,"2019",3,7,1,20190701,"July","Jul 2019","Q3 2019",0,"Monday",2019-07-07 00:00:00.000,27,20190700,20190300,"19","FY20","Q3"
2019-07-02 00:00:00.000,"2019",3,7,2,20190702,"July","Jul 2019","Q3 2019",1,"Tuesday",2019-07-07 00:00:00.000,27,20190700,20190300,"19","FY20","Q3"
2019-07-03 00:00:00.000,"2019",3,7,3,20190703,"July","Jul 2019","Q3 2019",2,"Wednesday",2019-07-07 00:00:00.000,27,20190700,20190300,"19","FY20","Q3"
2019-07-04 00:00:00.000,"2019",3,7,4,20190704,"July","Jul 2019","Q3 2019",3,"Thursday",2019-07-07 00:00:00.000,27,20190700,20190300,"19","FY20","Q3"
2019-07-05 00:00:00.000,"2019",3,7,5,20190705,"July","Jul 2019","Q3 2019",4,"Friday",2019-07-07 00:00:00.000,27,20190700,20190300,"19","FY20","Q3"
2019-07-06 00:00:00.000,"2019",3,7,6,20190706,"July","Jul 2019","Q3 2019",5,"Saturday",2019-07-07 00:00:00.000,27,20190700,20190300,"19","FY20","Q3"
2019-07-07 00:00:00.000,"2019",3,7,7,20190707,"July","Jul 2019","Q3 2019",6,"Sunday",2019-07-07 00:00:00.000,27,20190700,20190300,"19","FY20","Q3"
2019-07-08 00:00:00.000,"2019",3,7,8,20190708,"July","Jul 2019","Q3 2019",0,"Monday",2019-07-14 00:00:00.000,28,20190700,20190300,"19","FY20","Q3"
2019-07-09 00:00:00.000,"2019",3,7,9,20190709,"July","Jul 2019","Q3 2019",1,"Tuesday",2019-07-14 00:00:00.000,28,20190700,20190300,"19","FY20","Q3"
2019-07-10 00:00:00.000,"2019",3,7,10,20190710,"July","Jul 2019","Q3 2019",2,"Wednesday",2019-07-14 00:00:00.000,28,20190700,20190300,"19","FY20","Q3"
2019-07-11 00:00:00.000,"2019",3,7,11,20190711,"July","Jul 2019","Q3 2019",3,"Thursday",2019-07-14 00:00:00.000,28,20190700,20190300,"19","FY20","Q3"
2019-07-12 00:00:00.000,"2019",3,7,12,20190712,"July","Jul 2019","Q3 2019",4,"Friday",2019-07-14 00:00:00.000,28,20190700,20190300,"19","FY20","Q3"
2019-07-13 00:00:00.000,"2019",3,7,13,20190713,"July","Jul 2019","Q3 2019",5,"Saturday",2019-07-14 00:00:00.000,28,20190700,20190300,"19","FY20","Q3"
2019-07-14 00:00:00.000,"2019",3,7,14,20190714,"July","Jul 2019","Q3 2019",6,"Sunday",2019-07-14 00:00:00.000,28,20190700,20190300,"19","FY20","Q3"
2019-07-15 00:00:00.000,"2019",3,7,15,20190715,"July","Jul 2019","Q3 2019",0,"Monday",2019-07-21 00:00:00.000,29,20190700,20190300,"19","FY20","Q3"
2019-07-16 00:00:00.000,"2019",3,7,16,20190716,"July","Jul 2019","Q3 2019",1,"Tuesday",2019-07-21 00:00:00.000,29,20190700,20190300,"19","FY20","Q3"
2019-07-17 00:00:00.000,"2019",3,7,17,20190717,"July","Jul 2019","Q3 2019",2,"Wednesday",2019-07-21 00:00:00.000,29,20190700,20190300,"19","FY20","Q3"
2019-07-18 00:00:00.000,"2019",3,7,18,20190718,"July","Jul 2019","Q3 2019",3,"Thursday",2019-07-21 00:00:00.000,29,20190700,20190300,"19","FY20","Q3"
2019-07-19 00:00:00.000,"2019",3,7,19,20190719,"July","Jul 2019","Q3 2019",4,"Friday",2019-07-21 00:00:00.000,29,20190700,20190300,"19","FY20","Q3"
2019-07-20 00:00:00.000,"2019",3,7,20,20190720,"July","Jul 2019","Q3 2019",5,"Saturday",2019-07-21 00:00:00.000,29,20190700,20190300,"19","FY20","Q3"
2019-07-21 00:00:00.000,"2019",3,7,21,20190721,"July","Jul 2019","Q3 2019",6,"Sunday",2019-07-21 00:00:00.000,29,20190700,20190300,"19","FY20","Q3"
2019-07-22 00:00:00.000,"2019",3,7,22,20190722,"July","Jul 2019","Q3 2019",0,"Monday",2019-07-28 00:00:00.000,30,20190700,20190300,"19","FY20","Q3"
2019-07-23 00:00:00.000,"2019",3,7,23,20190723,"July","Jul 2019","Q3 2019",1,"Tuesday",2019-07-28 00:00:00.000,30,20190700,20190300,"19","FY20","Q3"
2019-07-24 00:00:00.000,"2019",3,7,24,20190724,"July","Jul 2019","Q3 2019",2,"Wednesday",2019-07-28 00:00:00.000,30,20190700,20190300,"19","FY20","Q3"
2019-07-25 00:00:00.000,"2019",3,7,25,20190725,"July","Jul 2019","Q3 2019",3,"Thursday",2019-07-28 00:00:00.000,30,20190700,20190300,"19","FY20","Q3"
2019-07-26 00:00:00.000,"2019",3,7,26,20190726,"July","Jul 2019","Q3 2019",4,"Friday",2019-07-28 00:00:00.000,30,20190700,20190300,"19","FY20","Q3"
2019-07-27 00:00:00.000,"2019",3,7,27,20190727,"July","Jul 2019","Q3 2019",5,"Saturday",2019-07-28 00:00:00.000,30,20190700,20190300,"19","FY20","Q3"
2019-07-28 00:00:00.000,"2019",3,7,28,20190728,"July","Jul 2019","Q3 2019",6,"Sunday",2019-07-28 00:00:00.000,30,20190700,20190300,"19","FY20","Q3"
2019-07-29 00:00:00.000,"2019",3,7,29,20190729,"July","Jul 2019","Q3 2019",0,"Monday",2019-08-04 00:00:00.000,31,20190700,20190300,"19","FY20","Q3"
2019-07-30 00:00:00.000,"2019",3,7,30,20190730,"July","Jul 2019","Q3 2019",1,"Tuesday",2019-08-04 00:00:00.000,31,20190700,20190300,"19","FY20","Q3"
2019-07-31 00:00:00.000,"2019",3,7,31,20190731,"July","Jul 2019","Q3 2019",2,"Wednesday",2019-08-04 00:00:00.000,31,20190700,20190300,"19","FY20","Q3"
2020-07-01 00:00:00.000,"2020",3,7,1,20200701,"July","Jul 2020","Q3 2020",2,"Wednesday",2020-07-05 00:00:00.000,27,20200700,20200300,"20","FY21","Q3"
2020-07-02 00:00:00.000,"2020",3,7,2,20200702,"July","Jul 2020","Q3 2020",3,"Thursday",2020-07-05 00:00:00.000,27,20200700,20200300,"20","FY21","Q3"
2020-07-03 00:00:00.000,"2020",3,7,3,20200703,"July","Jul 2020","Q3 2020",4,"Friday",2020-07-05 00:00:00.000,27,20200700,20200300,"20","FY21","Q3"
2020-07-04 00:00:00.000,"2020",3,7,4,20200704,"July","Jul 2020","Q3 2020",5,"Saturday",2020-07-05 00:00:00.000,27,20200700,20200300,"20","FY21","Q3"
