ProductKey,Color,List Price,Weight,Days To Manufacture,ProductAlternateKey,Weight Unit,Size Unit,Product Name,Cost,Finished Good,Safety Stock Level,Reorder Point,Size,Size Range,Product Line,Dealer Price,Class,Style,Product Model,Product Description,Start Date,End Date,Status,Product Subcategory,Product Category
1,"NA",,,0,"AR-5381","","","Adjustable Race",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
2,"NA",,,0,"BA-8327","","","Bearing Ball",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
12,"NA",,,0,"CR-9981","","","Crown Race",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
14,"NA",,,0,"DC-8732","","","Decal 1",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
15,"NA",,,0,"DC-9824","","","Decal 2",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
22,"NA",,,0,"FW-1000","","","Flat Washer 1",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
23,"NA",,,0,"FW-1200","","","Flat Washer 6",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
24,"NA",,,0,"FW-1400","","","Flat Washer 2",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
25,"NA",,,0,"FW-3400","","","Flat Washer 9",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
26,"NA",,,0,"FW-3800","","","Flat Washer 4",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
27,"NA",,,0,"FW-5160","","","Flat Washer 3",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
28,"NA",,,0,"FW-5800","","","Flat Washer 8",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
29,"NA",,,0,"FW-7160","","","Flat Washer 5",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
30,"NA",,,0,"FW-9160","","","Flat Washer 7",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
38,"NA",,,0,"HJ-1213","","","Thin-Jam Hex Nut 9",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
39,"NA",,,0,"HJ-1220","","","Thin-Jam Hex Nut 10",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
40,"NA",,,0,"HJ-1420","","","Thin-Jam Hex Nut 1",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
41,"NA",,,0,"HJ-1428","","","Thin-Jam Hex Nut 2",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
42,"NA",,,0,"HJ-3410","","","Thin-Jam Hex Nut 15",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
43,"NA",,,0,"HJ-3416","","","Thin-Jam Hex Nut 16",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
44,"NA",,,0,"HJ-3816","","","Thin-Jam Hex Nut 5",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
45,"NA",,,0,"HJ-3824","","","Thin-Jam Hex Nut 6",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
46,"NA",,,0,"HJ-5161","","","Thin-Jam Hex Nut 3",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
47,"NA",,,0,"HJ-5162","","","Thin-Jam Hex Nut 4",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
48,"NA",,,0,"HJ-5811","","","Thin-Jam Hex Nut 13",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
49,"NA",,,0,"HJ-5818","","","Thin-Jam Hex Nut 14",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
50,"NA",,,0,"HJ-7161","","","Thin-Jam Hex Nut 7",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
51,"NA",,,0,"HJ-7162","","","Thin-Jam Hex Nut 8",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
52,"NA",,,0,"HJ-9080","","","Thin-Jam Hex Nut 12",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
53,"NA",,,0,"HJ-9161","","","Thin-Jam Hex Nut 11",,False,1000,750,"","NA","",,"","","","",2003-07-01 00:00:00.000,,"Current","",""
