season,match_key,match_date,team,innings,overs_played,runs_made,allocated_overs,rr
"2008","20080418KKR",2008-04-18 00:00:00.000,"Kolkata Knight Riders",1,19.6,222,20,11.1
"2008","20080419CSK",2008-04-19 00:00:00.000,"Chennai Super Kings",1,19.6,240,20,12
"2008","20080419DD",2008-04-19 00:00:00.000,"Rajasthan Royals",1,19.6,129,20,6.45
"2008","20080420RCB",2008-04-20 00:00:00.000,"Mumbai Indians",1,19.6,165,20,8.25
"2008","20080423CSK",2008-04-23 00:00:00.000,"Chennai Super Kings",1,19.6,208,20,10.4
"2008","20080425KXP",2008-04-25 00:00:00.000,"Kings XI Punjab",1,19.6,182,20,9.1
"2008","20080427DC",2008-04-27 00:00:00.000,"Mumbai Indians",1,19.6,154,20,7.7
"2008","20080427KXP",2008-04-27 00:00:00.000,"Delhi Daredevils",1,19.6,158,20,7.9
"2008","20080428CSK",2008-04-28 00:00:00.000,"Chennai Super Kings",1,19.6,178,20,8.9
"2008","20080430DD",2008-04-30 00:00:00.000,"Delhi Daredevils",1,19.6,191,20,9.55
"2008","20080501KXP",2008-05-01 00:00:00.000,"Deccan Chargers",1,19.6,164,20,8.2
"2008","20080502DD",2008-05-02 00:00:00.000,"Chennai Super Kings",1,19.6,169,20,8.45
"2008","20080503KXP",2008-05-03 00:00:00.000,"Kings XI Punjab",1,19.6,178,20,8.9
"2008","20080503RCB",2008-05-03 00:00:00.000,"Royal Challengers Bangalore",1,19.6,156,20,7.8
"2008","20080504MI",2008-05-04 00:00:00.000,"Mumbai Indians",1,19.6,162,20,8.1
"2008","20080506DC",2008-05-06 00:00:00.000,"Chennai Super Kings",1,19.6,144,20,7.2
"2008","20080508CSK",2008-05-08 00:00:00.000,"Delhi Daredevils",1,19.6,187,20,9.35
"2008","20080510CSK",2008-05-10 00:00:00.000,"Chennai Super Kings",1,19.6,181,20,9.05
"2008","20080511KKR",2008-05-11 00:00:00.000,"Kolkata Knight Riders",1,19.6,204,20,10.2
"2008","20080511RR",2008-05-11 00:00:00.000,"Delhi Daredevils",1,19.6,156,20,7.8
"2008","20080513KKR",2008-05-13 00:00:00.000,"Kolkata Knight Riders",1,19.6,133,20,6.65
