OrderID,Date,PaymentID,GuarantyID,ClientID,DiscountID,ProductID,AmountProducts,TotalPrice,TotalPriceDiscount,EndGaranty
28912,2019-11-17 00:00:00.000,54,32502,79641988,11396,44423,87,,,2020-01-25 00:00:00.000
29473,2020-02-22 00:00:00.000,14,16200,1786440928,25246,47059,49,,,2020-04-01 00:00:00.000
59785,2020-06-13 00:00:00.000,6,23171,241653007,49219,42749,44,,,2020-10-14 00:00:00.000
42483,2020-02-10 00:00:00.000,33,61336,1699445977,16994,63312,75,,,2020-04-23 00:00:00.000
44389,2019-11-01 00:00:00.000,54,12923,797745964,12749,35190,6,,,2019-11-12 00:00:00.000
9348,2020-07-09 00:00:00.000,183,60459,225178418,31936,57548,28,,,2020-09-11 00:00:00.000
25262,2020-01-30 00:00:00.000,75,70845,984572277,35052,1344,76,,,2020-02-04 00:00:00.000
19344,2020-04-25 00:00:00.000,44,43164,1359152381,46831,22795,115,,,2020-06-11 00:00:00.000
31107,2019-12-20 00:00:00.000,197,60249,186578942,54461,39372,21,,,2020-05-11 00:00:00.000
23836,2019-10-24 00:00:00.000,61,79092,1912712949,1309,55549,70,,,2020-02-02 00:00:00.000
16468,2020-01-15 00:00:00.000,76,780,1243461621,47792,8142,96,,,2020-05-14 00:00:00.000
48265,2019-10-30 00:00:00.000,83,88225,612592277,44214,27509,57,,,2019-11-28 00:00:00.000
64781,2020-07-16 00:00:00.000,183,15973,264168535,73769,40368,32,,,2020-08-02 00:00:00.000
35961,2020-03-12 00:00:00.000,31,899,1123464384,42253,14959,8,,,2020-08-01 00:00:00.000
40425,2020-08-21 00:00:00.000,62,41852,1535086452,19379,19105,106,,,2020-11-04 00:00:00.000
12829,2020-02-08 00:00:00.000,55,61572,345844580,20144,42515,11,,,2020-03-03 00:00:00.000
14001,2020-04-17 00:00:00.000,56,72333,1120950207,58300,45397,17,,,2020-09-14 00:00:00.000
23335,2019-10-06 00:00:00.000,14,72403,1845607786,15320,33558,30,,,2019-12-06 00:00:00.000
48841,2020-07-09 00:00:00.000,198,84513,1956483104,23837,19293,45,,,2020-11-18 00:00:00.000
13161,2020-08-27 00:00:00.000,78,52431,2013437193,26652,43328,105,,,2021-01-03 00:00:00.000
37224,2019-11-11 00:00:00.000,35,35418,1658861724,61933,58012,51,,,2019-12-16 00:00:00.000
49838,2019-09-11 00:00:00.000,69,2524,981543734,39917,43846,19,,,2020-01-17 00:00:00.000
47988,2019-10-23 00:00:00.000,202,64243,1742182159,53399,57685,26,,,2020-02-01 00:00:00.000
37381,2020-04-07 00:00:00.000,82,4933,2101910796,47743,56312,26,,,2020-04-19 00:00:00.000
51760,2019-09-18 00:00:00.000,3,38704,358119652,4613,12819,17,,,2019-12-27 00:00:00.000
2353,2020-03-27 00:00:00.000,89,89696,1273089811,1747,40926,96,,,2020-06-19 00:00:00.000
28039,2019-10-14 00:00:00.000,197,37187,1937867342,18046,35783,28,,,2019-12-01 00:00:00.000
49586,2019-09-22 00:00:00.000,188,60604,1366073650,74081,49616,118,,,2019-12-05 00:00:00.000
43566,2020-01-21 00:00:00.000,193,6869,418155419,27472,35190,49,,,2020-01-23 00:00:00.000
20144,2020-05-10 00:00:00.000,90,51718,1730386797,13004,15693,85,,,2020-09-19 00:00:00.000
42218,2019-09-07 00:00:00.000,12,55674,1698806168,588,34032,50,,,2019-12-03 00:00:00.000
56892,2019-09-15 00:00:00.000,13,17519,2042271898,45454,40991,63,,,2020-02-04 00:00:00.000
66360,2020-07-06 00:00:00.000,5,22746,613516223,52099,26079,61,,,2020-09-22 00:00:00.000
50446,2020-04-20 00:00:00.000,13,49533,1661009633,50445,9106,2,,,2020-05-23 00:00:00.000
44031,2020-02-02 00:00:00.000,77,48905,878141815,39009,61368,25,,,2020-05-26 00:00:00.000
36052,2019-11-17 00:00:00.000,188,63522,204989599,55496,12347,10,,,2020-01-16 00:00:00.000
49777,2020-07-09 00:00:00.000,6,1547,1150450982,66540,14298,5,,,2020-07-16 00:00:00.000
17066,2020-03-25 00:00:00.000,15,28240,1997383894,58059,36727,105,,,2020-07-03 00:00:00.000
66275,2019-09-10 00:00:00.000,8,64713,1552510180,13682,2244,91,,,2019-09-18 00:00:00.000
49626,2020-05-23 00:00:00.000,39,53077,871482313,18344,8706,52,,,2020-07-18 00:00:00.000
39361,2020-06-04 00:00:00.000,50,32502,934972393,39207,40710,87,,,2020-08-12 00:00:00.000
1833,2019-12-22 00:00:00.000,68,64023,1209968926,22092,13868,33,,,2020-02-19 00:00:00.000
26540,2019-11-13 00:00:00.000,65,16749,994464710,59227,546,30,,,2020-01-28 00:00:00.000
44604,2020-02-16 00:00:00.000,32,73242,351391339,36399,17776,50,,,2020-04-08 00:00:00.000
63491,2019-09-13 00:00:00.000,189,23358,649203609,70798,39732,101,,,2019-09-15 00:00:00.000
69634,2020-04-13 00:00:00.000,55,86248,853840922,10123,33322,12,,,2020-06-03 00:00:00.000
60699,2020-05-03 00:00:00.000,71,17092,1398290797,25909,8722,75,,,2020-05-24 00:00:00.000
61906,2020-04-05 00:00:00.000,37,45687,818221237,13230,32134,31,,,2020-07-24 00:00:00.000
58128,2020-06-30 00:00:00.000,45,62645,1059177236,73358,59892,119,,,2020-07-20 00:00:00.000
39757,2020-02-10 00:00:00.000,192,46358,445300628,60259,13280,64,,,2020-05-27 00:00:00.000
55248,2020-04-09 00:00:00.000,90,71040,1598133015,26856,17816,92,,,2020-07-08 00:00:00.000
8335,2020-03-18 00:00:00.000,49,35365,1023390091,48363,6844,58,,,2020-04-29 00:00:00.000
5897,2019-12-27 00:00:00.000,34,75488,557047365,22108,61604,70,,,2020-01-12 00:00:00.000
57520,2019-12-20 00:00:00.000,15,16335,969078305,1784,24749,70,,,2020-02-29 00:00:00.000
15534,2020-02-09 00:00:00.000,57,20055,1252683927,27586,8422,83,,,2020-04-22 00:00:00.000
13944,2020-08-04 00:00:00.000,185,5493,1718553035,13810,14886,45,,,2020-10-27 00:00:00.000
54230,2019-12-09 00:00:00.000,200,53031,2118841899,9569,60469,60,,,2020-03-14 00:00:00.000
41831,2019-10-14 00:00:00.000,68,45279,682718386,54478,63977,107,,,2019-10-15 00:00:00.000
31145,2020-06-21 00:00:00.000,28,25564,61140535,15565,45478,64,,,2020-11-07 00:00:00.000
47178,2020-01-06 00:00:00.000,209,71368,1250722509,5123,4312,94,,,2020-02-09 00:00:00.000
56573,2019-12-21 00:00:00.000,68,81108,374177597,74374,17991,97,,,2020-02-13 00:00:00.000
6777,2019-09-16 00:00:00.000,184,38980,874988646,23084,4734,6,,,2019-11-13 00:00:00.000
2072,2020-04-27 00:00:00.000,28,37079,1779937858,17742,32724,99,,,2020-06-22 00:00:00.000
49010,2020-02-13 00:00:00.000,82,31624,2145519951,1235,10037,69,,,2020-05-20 00:00:00.000
29553,2020-08-25 00:00:00.000,84,36775,586539732,66154,8719,31,,,2020-10-09 00:00:00.000
36940,2020-02-16 00:00:00.000,203,4668,1785133981,61073,15493,6,,,2020-06-06 00:00:00.000
41684,2019-09-27 00:00:00.000,192,83100,1314911838,44034,50827,92,,,2020-01-12 00:00:00.000
50247,2020-04-06 00:00:00.000,48,75892,326181552,51333,56037,10,,,2020-08-01 00:00:00.000
43734,2020-05-14 00:00:00.000,72,4696,1834775149,61818,1244,117,,,2020-05-17 00:00:00.000
11499,2019-11-10 00:00:00.000,19,79281,289747193,52647,52410,10,,,2020-03-26 00:00:00.000
24661,2020-04-08 00:00:00.000,85,84881,113876218,48853,62423,69,,,2020-04-10 00:00:00.000
66214,2020-05-07 00:00:00.000,200,46810,1512428045,5431,55531,39,,,2020-06-25 00:00:00.000
52749,2020-05-28 00:00:00.000,32,53999,1665135761,23771,35923,75,,,2020-07-20 00:00:00.000
6733,2020-07-03 00:00:00.000,15,85683,1900968581,59203,6653,70,,,2020-09-28 00:00:00.000
60258,2020-07-02 00:00:00.000,73,10888,1242687312,63290,56153,27,,,2020-10-02 00:00:00.000
66855,2020-02-09 00:00:00.000,184,37237,423909733,31689,22166,1,,,2020-06-17 00:00:00.000
47208,2020-08-22 00:00:00.000,200,73610,1134754800,2728,2295,51,,,2020-11-11 00:00:00.000
20717,2020-01-22 00:00:00.000,14,15383,1983734609,37951,216,84,,,2020-04-02 00:00:00.000
59365,2020-08-02 00:00:00.000,64,12214,96657552,55801,45713,79,,,2020-12-29 00:00:00.000
52316,2019-12-28 00:00:00.000,45,50975,1561285049,74450,48481,99,,,2020-05-08 00:00:00.000
58311,2020-01-13 00:00:00.000,55,46753,748658806,5523,38525,10,,,2020-02-09 00:00:00.000
69127,2020-04-09 00:00:00.000,13,34578,30289327,22057,49722,76,,,2020-08-23 00:00:00.000
15320,2020-01-14 00:00:00.000,192,83621,1274120112,48540,20914,117,,,2020-04-12 00:00:00.000
7353,2019-11-11 00:00:00.000,21,29317,2139726244,24533,35112,72,,,2020-01-31 00:00:00.000
58221,2020-03-14 00:00:00.000,82,25566,2047209849,32751,50172,12,,,2020-05-13 00:00:00.000
