Date,Year,QuarterOfYear,MonthOfYear,DayOfMonth,DateInt,MonthName,MonthInCalendar,QuarterInCalendar,DayInWeek,DayOfWeekName,WeekEnding,Week Number,MonthnYear,QuarternYear,ShortYear,FY
2013-07-08 00:00:00.000,"2013",3,7,8,20130708,"July","Jul 2013","Q3 2013",0,"Monday",2013-07-14 00:00:00.000,28,20130700,20130300,"13","FY14"
2013-07-09 00:00:00.000,"2013",3,7,9,20130709,"July","Jul 2013","Q3 2013",1,"Tuesday",2013-07-14 00:00:00.000,28,20130700,20130300,"13","FY14"
2013-07-10 00:00:00.000,"2013",3,7,10,20130710,"July","Jul 2013","Q3 2013",2,"Wednesday",2013-07-14 00:00:00.000,28,20130700,20130300,"13","FY14"
2013-07-11 00:00:00.000,"2013",3,7,11,20130711,"July","Jul 2013","Q3 2013",3,"Thursday",2013-07-14 00:00:00.000,28,20130700,20130300,"13","FY14"
2013-07-12 00:00:00.000,"2013",3,7,12,20130712,"July","Jul 2013","Q3 2013",4,"Friday",2013-07-14 00:00:00.000,28,20130700,20130300,"13","FY14"
2013-07-13 00:00:00.000,"2013",3,7,13,20130713,"July","Jul 2013","Q3 2013",5,"Saturday",2013-07-14 00:00:00.000,28,20130700,20130300,"13","FY14"
2013-07-14 00:00:00.000,"2013",3,7,14,20130714,"July","Jul 2013","Q3 2013",6,"Sunday",2013-07-14 00:00:00.000,28,20130700,20130300,"13","FY14"
2014-07-07 00:00:00.000,"2014",3,7,7,20140707,"July","Jul 2014","Q3 2014",0,"Monday",2014-07-13 00:00:00.000,28,20140700,20140300,"14","FY15"
2014-07-08 00:00:00.000,"2014",3,7,8,20140708,"July","Jul 2014","Q3 2014",1,"Tuesday",2014-07-13 00:00:00.000,28,20140700,20140300,"14","FY15"
2014-07-09 00:00:00.000,"2014",3,7,9,20140709,"July","Jul 2014","Q3 2014",2,"Wednesday",2014-07-13 00:00:00.000,28,20140700,20140300,"14","FY15"
2014-07-10 00:00:00.000,"2014",3,7,10,20140710,"July","Jul 2014","Q3 2014",3,"Thursday",2014-07-13 00:00:00.000,28,20140700,20140300,"14","FY15"
2014-07-11 00:00:00.000,"2014",3,7,11,20140711,"July","Jul 2014","Q3 2014",4,"Friday",2014-07-13 00:00:00.000,28,20140700,20140300,"14","FY15"
2014-07-12 00:00:00.000,"2014",3,7,12,20140712,"July","Jul 2014","Q3 2014",5,"Saturday",2014-07-13 00:00:00.000,28,20140700,20140300,"14","FY15"
