CorrectAnswer,Difficulty,Options,Points,PowerPlatformArea,QAGUID,Question,References,Used?,RoundID,QuestionNumber,Submited By GUID,Submitted By Name,QuizGUID
"Family, health, sports, and entertainment","Easy","
Family, weather, sports, and entertainment

Family, health, sports, and business tips

Family, health, sports, and entertainment",,"Artificial Inteligence","2e1be66d-2aa9-ea11-a812-000d3a59fefc","What four categories of conversation does Talking points track in Dynamics 365 Sales Insights for sellers?","",True,"bfbf4e31-4c84-ea11-a811-000d3a37ef1b",6,"e86f7893-39a9-ea11-a812-000d3a59f7a1","#PPPQ","15878e40-38b8-ea11-a812-000d3a37ef1b"
"Machine Learning","Easy","Machine Learning

Language Learning

Vision Capabilities

Knowledge Understanding",,"Artificial Inteligence","301be66d-2aa9-ea11-a812-000d3a59fefc","Which AI tool is used to enhance lead-scoring?","",True,"bfbf4e31-4c84-ea11-a811-000d3a37ef1b",2,"e86f7893-39a9-ea11-a812-000d3a59f7a1","#PPPQ","15878e40-38b8-ea11-a812-000d3a37ef1b"
"Nothing","Intermediate","Gather data

Train the model

Publish the model
A prebuilt model is ready to be used.

Nothing",,"Artificial Inteligence","321be66d-2aa9-ea11-a812-000d3a59fefc","What do you need to do before you can use a prebuilt AI Builder model?","",True,"bfbf4e31-4c84-ea11-a811-000d3a37ef1b",4,"e86f7893-39a9-ea11-a812-000d3a59f7a1","#PPPQ","15878e40-38b8-ea11-a812-000d3a37ef1b"
"False","Easy","True / False",1,"Dynamics 365","341be66d-2aa9-ea11-a812-000d3a59fefc","Are Dynamics 365 Customer Insights and Dynamics 365 Customer Service Insights the same product?","",True,"9feb3b29-3d84-ea11-a811-000d3a37ef1b",2,"4111de6e-9a99-ea11-a813-000d3a59fefc","Dani Kahil","15878e40-38b8-ea11-a812-000d3a37ef1b"
"2001","N/A","N/A",,"Pop Quiz","361be66d-2aa9-ea11-a812-000d3a59fefc","In what year did Mr Clippy no longer come as a default setting??","",True,"d6fad83d-4c84-ea11-a811-000d3a37ef1b",1,"e86f7893-39a9-ea11-a812-000d3a59f7a1","#PPPQ","15878e40-38b8-ea11-a812-000d3a37ef1b"
"Micro-Soft","N/A","N/A",,"Pop Quiz","381be66d-2aa9-ea11-a812-000d3a59fefc","What was the original name for 'Microsoft'??","",True,"d6fad83d-4c84-ea11-a811-000d3a37ef1b",2,"e86f7893-39a9-ea11-a812-000d3a59f7a1","#PPPQ","15878e40-38b8-ea11-a812-000d3a37ef1b"
"1975","N/A","N/A",,"Pop Quiz","3a1be66d-2aa9-ea11-a812-000d3a59fefc","What year was Microsoft founded??","",True,"d6fad83d-4c84-ea11-a811-000d3a37ef1b",3,"e86f7893-39a9-ea11-a812-000d3a59f7a1","#PPPQ","15878e40-38b8-ea11-a812-000d3a37ef1b"
"Windows XP","N/A","Windows 7
Windows XP
PowerPoint
Windows 8.1
Edge
Internet Explorer",,"Pop Quiz","3c1be66d-2aa9-ea11-a812-000d3a59fefc","‘Whistler’ was the code name for which Microsoft project??","https://www.artsy.net/article/artsy-editorial-life-death-microsoft-clippy-paper-clip-loved-hate",True,"d6fad83d-4c84-ea11-a811-000d3a37ef1b",4,"e86f7893-39a9-ea11-a812-000d3a59f7a1","#PPPQ","15878e40-38b8-ea11-a812-000d3a37ef1b"
"M&M’s","N/A","M&M's
Life Savers
Hersheys
Pop Tarts
Twinkies",,"Pop Quiz","3e1be66d-2aa9-ea11-a812-000d3a59fefc","What sweet/candy/lolly is traditionally used at Microsoft to celebrate work anniversaries??","https://www.artsy.net/article/artsy-editorial-life-death-microsoft-clippy-paper-clip-loved-hate",True,"d6fad83d-4c84-ea11-a811-000d3a37ef1b",5,"e86f7893-39a9-ea11-a812-000d3a59f7a1","#PPPQ","15878e40-38b8-ea11-a812-000d3a37ef1b"
"DirectX Box","N/A","N/A",,"Pop Quiz","401be66d-2aa9-ea11-a812-000d3a59fefc","Microsoft are the creators of the Xbox Games Console but what is the name ‘Xbox’ an abbreviation of??","https://wallstreetinsanity.com/40-facts-you-didnt-know-about-microsoft/",True,"d6fad83d-4c84-ea11-a811-000d3a37ef1b",6,"e86f7893-39a9-ea11-a812-000d3a59f7a1","#PPPQ","15878e40-38b8-ea11-a812-000d3a37ef1b"
"2007","N/A","N/A",,"Pop Quiz","421be66d-2aa9-ea11-a812-000d3a59fefc","In what year did Mr Clippy cease to exist??","https://wallstreetinsanity.com/40-facts-you-didnt-know-about-microsoft/",True,"d6fad83d-4c84-ea11-a811-000d3a37ef1b",7,"e86f7893-39a9-ea11-a812-000d3a59f7a1","#PPPQ","15878e40-38b8-ea11-a812-000d3a37ef1b"
"Alt-Shift-D","N/A","Alt-Shift-D
None - thats rididuclous
Ctrl-D
Alt-Ctrl-N
Alt-Shift-0",,"Pop Quiz","441be66d-2aa9-ea11-a812-000d3a59fefc","What is the keyboard shortcut to place the date automatically into Microsoft Word??","",True,"d6fad83d-4c84-ea11-a811-000d3a37ef1b",8,"e86f7893-39a9-ea11-a812-000d3a59f7a1","#PPPQ","15878e40-38b8-ea11-a812-000d3a37ef1b"
"JavaScript, Liquid","Intermediate","A. C#
B. JavaScript
C. Liquid
D. Cobol 
E. Ruby",1,"Power Apps","461be66d-2aa9-ea11-a812-000d3a59fefc","Which technologies/Programming Languages can be used for customizing PowerApps Portals?","https://www.engineeredcode.com/blog/powerapps-portals-liquid-and-javascript-better-together",True,"275496eb-4b84-ea11-a811-000d3a37ef1b",2,"ec6f7893-39a9-ea11-a812-000d3a59f7a1","Victor Dantas","15878e40-38b8-ea11-a812-000d3a37ef1b"
