id,Order Number,Company Name,Product,Date,Extended Price
49,"ORD00001","Kanoodle","Muffin - Mix - Mango Sour Cherry",2021-01-01 00:00:00.000,6.8
91,"ORD00001","Kanoodle","Dr. Pepper - 355ml",2021-01-01 00:00:00.000,5.2
564,"ORD00001","Kanoodle","Cranberries - Dry",2021-01-01 00:00:00.000,27
967,"ORD00002","Rhybox","Southern Comfort",2021-01-01 00:00:00.000,15.4
16,"ORD00003","Talane","Lychee",2021-01-02 00:00:00.000,18
68,"ORD00004","Buzzdog","Potato - Sweet",2021-01-02 00:00:00.000,24
449,"ORD00004","Buzzdog","Squeeze Bottle",2021-01-02 00:00:00.000,29.4
491,"ORD00004","Buzzdog","Cookies - Fortune",2021-01-02 00:00:00.000,15.6
497,"ORD00004","Buzzdog","Samosa - Veg",2021-01-02 00:00:00.000,51
561,"ORD00005","Feedbug","Pork Salted Bellies",2021-01-02 00:00:00.000,24
589,"ORD00006","Lazzy","Towel Multifold",2021-01-02 00:00:00.000,28.8
713,"ORD00007","Eire","Orange - Canned, Mandarin",2021-01-02 00:00:00.000,34
970,"ORD00008","Devbug","Longos - Cheese Tortellini",2021-01-02 00:00:00.000,17.6
52,"ORD00009","Yotz","Bread Base - Goodhearth",2021-01-03 00:00:00.000,18.9
97,"ORD000010","Yambee","Prunes - Pitted",2021-01-03 00:00:00.000,13.6
351,"ORD000011","Zoozzy","Coffee Guatemala Dark",2021-01-03 00:00:00.000,10
410,"ORD000012","Snaptags","Champagne - Brights, Dry",2021-01-03 00:00:00.000,13.2
447,"ORD000013","Wordpedia","Snapple - Iced Tea Peach",2021-01-03 00:00:00.000,22
655,"ORD000014","Gabcube","Crackers Cheez It",2021-01-03 00:00:00.000,31.2
671,"ORD000015","Feedspan","Orange Roughy 6/8 Oz",2021-01-03 00:00:00.000,12
117,"ORD000016","Fliptune","Wine - Manischewitz Concord",2021-01-04 00:00:00.000,1.8
194,"ORD000017","Zoomzone","Flour - Semolina",2021-01-04 00:00:00.000,23.2
520,"ORD000018","Flipbug","Soup - Campbells Mushroom",2021-01-04 00:00:00.000,37.7
610,"ORD000019","Topicblab","Vaccum Bag - 14x20",2021-01-04 00:00:00.000,7.8
768,"ORD000020","Rhynyx","Mushroom - Shitake, Dry",2021-01-04 00:00:00.000,16.5
976,"ORD000021","Jabberbean","Mushroom - Lg - Cello",2021-01-04 00:00:00.000,25.2
401,"ORD000022","Jetpulse","Wine - Tio Pepe Sherry Fino",2021-01-05 00:00:00.000,16.8
