AccountGroupID,AccountID,Account group,Account
1,1,"Revenue","Product revenue"
1,2,"Revenue","Service and other revenue"
2,3,"COGS","Product cost"
2,4,"COGS","Service and other costs"
3,5,"Gross profit","Gross profit"
4,6,"Operating expenses","Research and development"
4,7,"Operating expenses","Sales and marketing"
4,8,"Operating expenses","General and administrative"
4,9,"Operating expenses","Restructuring"
5,10,"Operating income","Operating income"
6,11,"Income before income taxes","Other income, net"
7,12,"Net income","Provision for income taxes"
