chance_of_playing_this_round,%player_code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,%player_type_id,first_name,%player_id,news,news_added,player_price,second_name,selected_by_percent,status,%team_id,%team_code,web_name,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,position_name,position_name_short,Player name,photo_url,transfers_in_event,transfers_out_event,chance_of_playing_next_round,PP90,PPMM,VAPM,PPG,total_points,total_minutes
,437626,0,0,-2,2,2,"Nuno",466,"",,4.3,"Varela Tavares",0.004,"a",1,3,"Tavares",,,,"Defender","DEF","Nuno Varela Tavares","https://resources.premierleague.com/premierleague/photos/players/110x140/p437626.png",129,856,,4.5072697899838454,0.55813953488372092,0.093023255813953473,2.4,31,619
,225321,0,0,6,-6,1,"Aaron",559,"",,5.1,"Ramsdale",0.19899999999999998,"a",1,3,"Ramsdale",,,,"Goalkeeper","GKP","Aaron Ramsdale","https://resources.premierleague.com/premierleague/photos/players/110x140/p225321.png",11949,31546,,5.0265957446808507,0.98039215686274517,0.58823529411764708,5,105,1880
,220682,0,0,-1,1,1,"Arthur",572,"",,3.9,"Okonkwo",0.0069999999999999993,"a",1,3,"Okonkwo",,,,"Goalkeeper","GKP","Arthur Okonkwo","https://resources.premierleague.com/premierleague/photos/players/110x140/p220682.png",5423,1015,,,0,-0.51282051282051289,0,0,0
,450544,0,0,0,0,3,"Charlie",664,"",,4.5,"Patino",0,"a",1,3,"Patino",,,,"Midfielder","MID","Charlie Patino","https://resources.premierleague.com/premierleague/photos/players/110x140/p450544.png",99,62,,,0,-0.44444444444444442,0,0,0
,503301,0,0,0,0,3,"Omari",692,"",,4.5,"Hutchinson",0,"a",1,3,"Hutchinson",,,,"Midfielder","MID","Omari Hutchinson","https://resources.premierleague.com/premierleague/photos/players/110x140/p503301.png",17,12,,,0,-0.44444444444444442,0,0,0
,498046,0,0,0,0,3,"Salah-Eddine",693,"",,4.5,"Oulad M'hand",0,"a",1,3,"Oulad M'hand",,,,"Midfielder","MID","Salah-Eddine Oulad M'hand","https://resources.premierleague.com/premierleague/photos/players/110x140/p498046.png",15,11,,,0,-0.44444444444444442,0,0,0
,444880,0,0,0,0,4,"Mika",694,"",,4.5,"Biereth",0.001,"a",1,3,"Biereth",,,,"Forward","FWD","Mika Biereth","https://resources.premierleague.com/premierleague/photos/players/110x140/p444880.png",1017,558,,,0,-0.44444444444444442,0,0,0
,490887,0,0,0,0,2,"Zach",705,"",,4,"Awe",0,"a",1,3,"Awe",,,,"Defender","DEF","Zach Awe","https://resources.premierleague.com/premierleague/photos/players/110x140/p490887.png",158,56,,,0,-0.5,0,0,0
,123354,0,0,-1,1,2,"Kortney",36,"",,4.4,"Hause",0.002,"a",2,7,"Hause",,,,"Defender","DEF","Kortney Hause","https://resources.premierleague.com/premierleague/photos/players/110x140/p123354.png",97,217,,4.5340050377833752,0.65909090909090906,0.2045454545454545,2.9,20,397
,248164,0,0,0,0,1,"Viljami",596,"",,4,"Sinisalo",0.001,"a",2,7,"Sinisalo",,,,"Goalkeeper","GKP","Viljami Sinisalo","https://resources.premierleague.com/premierleague/photos/players/110x140/p248164.png",101,86,,,0,-0.5,0,0,0
,515597,0,0,0,0,2,"Lamare",610,"",,4,"Bogarde",0.001,"a",2,7,"Bogarde",,,,"Defender","DEF","Lamare Bogarde","https://resources.premierleague.com/premierleague/photos/players/110x140/p515597.png",77,136,,,0,-0.5,0,0,0
,490094,0,0,0,0,3,"Tim",638,"",,4.5,"Iroegbunam",0,"a",2,7,"Iroegbunam",,,,"Midfielder","MID","Tim Iroegbunam","https://resources.premierleague.com/premierleague/photos/players/110x140/p490094.png",24,10,,,0,-0.44444444444444442,0,0,0
,536110,0,0,0,0,2,"Josh",670,"",,4,"Feeney",0,"a",2,7,"Feeney",,,,"Defender","DEF","Josh Feeney","https://resources.premierleague.com/premierleague/photos/players/110x140/p536110.png",43,30,,,0,-0.5,0,0,0
