_createdonbehalfby_value,statuscode,modifiedon,nadb_riskratingmethodologyid,importsequencenumber,versionnumber,_modifiedby_value,_createdby_value,_organizationid_value,timezoneruleversionnumber,utcconversiontimezonecode,overriddencreatedon,nadb_methodologycode,nadb_name,createdon,_modifiedonbehalfby_value,statecode
"",1,2020-02-21 15:48:44.000,"04c0009c-c154-ea11-a813-000d3a4e6589",102,12004902,"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","485254b6-aef7-41ed-995e-fa22317007e7",,,,"6","Availability based infraestructure Projects",2020-02-21 15:48:44.000,"",0
"",1,2020-02-21 15:48:44.000,"06c0009c-c154-ea11-a813-000d3a4e6589",102,12004903,"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","485254b6-aef7-41ed-995e-fa22317007e7",,,,"1","Clean Energy (Solar and  Wind)",2020-02-21 15:48:44.000,"",0
"",1,2020-02-21 15:48:44.000,"08c0009c-c154-ea11-a813-000d3a4e6589",102,12004904,"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","485254b6-aef7-41ed-995e-fa22317007e7",,,,"10","Corporate Loans",2020-02-21 15:48:44.000,"",0
"",1,2020-02-21 15:48:44.000,"0ac0009c-c154-ea11-a813-000d3a4e6589",102,12004905,"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","485254b6-aef7-41ed-995e-fa22317007e7",,,,"2","Mexican Municipalities",2020-02-21 15:48:44.000,"",0
"",1,2020-02-21 15:48:44.000,"0cc0009c-c154-ea11-a813-000d3a4e6589",102,12004906,"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","485254b6-aef7-41ed-995e-fa22317007e7",,,,"3","Mexican Water Utilities",2020-02-21 15:48:44.000,"",0
"",1,2020-02-21 15:48:44.000,"0ec0009c-c154-ea11-a813-000d3a4e6589",102,12004907,"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","485254b6-aef7-41ed-995e-fa22317007e7",,,,"8","PPP's in Operation",2020-02-21 15:48:44.000,"",0
"",1,2020-02-21 15:48:44.000,"10c0009c-c154-ea11-a813-000d3a4e6589",102,12004908,"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","485254b6-aef7-41ed-995e-fa22317007e7",,,,"7","Projects under Construction",2020-02-21 15:48:44.000,"",0
"",1,2020-02-21 15:48:44.000,"12c0009c-c154-ea11-a813-000d3a4e6589",102,12004909,"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","485254b6-aef7-41ed-995e-fa22317007e7",,,,"9","Projects with Specific Source of Payment",2020-02-21 15:48:44.000,"",0
"",1,2020-02-21 15:48:45.000,"14c0009c-c154-ea11-a813-000d3a4e6589",102,12004910,"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","485254b6-aef7-41ed-995e-fa22317007e7",,,,"5","Revolving Lines of Credit",2020-02-21 15:48:45.000,"",0
"",1,2020-02-21 15:48:45.000,"16c0009c-c154-ea11-a813-000d3a4e6589",102,12004911,"c7205e36-d6ee-42c5-8733-e670621cd834","c7205e36-d6ee-42c5-8733-e670621cd834","485254b6-aef7-41ed-995e-fa22317007e7",,,,"4","US Revenue Bonds",2020-02-21 15:48:45.000,"",0
