Support Ticket ID,variable,value
57628,Customer ID,10024341
104145,Customer ID,10041604
69841,Customer ID,10029563
25156,Customer ID,10010756
121502,Customer ID,10044396
34213,Customer ID,10014595
2035,Customer ID,10000874
97667,Customer ID,10040568
14795,Customer ID,10006374
72719,Customer ID,10030812
1568,Customer ID,10000684
103417,Customer ID,10041488
60660,Customer ID,10025658
73791,Customer ID,10031274
121625,Customer ID,10044414
51567,Customer ID,10021823
98519,Customer ID,10040707
91260,Customer ID,10038879
13565,Customer ID,10005868
23654,Customer ID,10010163
46471,Customer ID,10019617
73871,Customer ID,10031311
8263,Customer ID,10003601
89404,Customer ID,10038069
53121,Customer ID,10022458
27072,Customer ID,10011600
67702,Customer ID,10028602
60812,Customer ID,10025717
60043,Customer ID,10025391
99184,Customer ID,10040819
41511,Customer ID,10017629
32495,Customer ID,10013839
74600,Customer ID,10031621
3352,Customer ID,10001476
120400,Customer ID,10044213
27530,Customer ID,10011798
110012,Customer ID,10042542
20157,Customer ID,10008707
82354,Customer ID,10034993
104436,Customer ID,10041650
109417,Customer ID,10042447
120232,Customer ID,10044187
57441,Customer ID,10024270
49309,Customer ID,10020837
107889,Customer ID,10042199
65465,Customer ID,10027680
70936,Customer ID,10030042
73313,Customer ID,10031064
99419,Customer ID,10040852
26517,Customer ID,10011352
45702,Customer ID,10019324
62588,Customer ID,10026441
8409,Customer ID,10003653
120000,Customer ID,10044148
59841,Customer ID,10025295
94097,Customer ID,10039996
124323,Customer ID,10044851
12911,Customer ID,10005586
64699,Customer ID,10027315
58102,Customer ID,10024556
46864,Customer ID,10019770
60763,Customer ID,10025705
63070,Customer ID,10026649
65827,Customer ID,10027833
53602,Customer ID,10022673
121857,Customer ID,10044451
95072,Customer ID,10040154
3104,Customer ID,10001375
98997,Customer ID,10040788
53799,Customer ID,10022741
70733,Customer ID,10029949
17252,Customer ID,10007511
52892,Customer ID,10022376
69861,Customer ID,10029570
125305,Customer ID,10044999
102952,Customer ID,10041414
64738,Customer ID,10027330
124196,Customer ID,10044831
95818,Customer ID,10040281
90205,Customer ID,10038413
57814,Customer ID,10024432
24286,Customer ID,10010419
92426,Customer ID,10039365
60441,Customer ID,10025560
116043,Customer ID,10043524
73296,Customer ID,10031059
36741,Customer ID,10015635
121688,Customer ID,10044426
41499,Customer ID,10017624
123650,Customer ID,10044744
9310,Customer ID,10004035
125113,Customer ID,10044969
82137,Customer ID,10034895
106600,Customer ID,10041984
39804,Customer ID,10016913
32186,Customer ID,10013719
16625,Customer ID,10007226
104083,Customer ID,10041594
5110,Customer ID,10002197
120856,Customer ID,10044286
57628,Date Created,2018-08-01 00:00:00.000
104145,Date Created,2018-11-12 00:00:00.000
69841,Date Created,2018-08-14 00:00:00.000
25156,Date Created,2018-05-25 00:00:00.000
121502,Date Created,2018-10-02 00:00:00.000
34213,Date Created,2018-05-07 00:00:00.000
2035,Date Created,2018-07-14 00:00:00.000
97667,Date Created,2018-08-29 00:00:00.000
14795,Date Created,2018-11-30 00:00:00.000
72719,Date Created,2018-11-18 00:00:00.000
1568,Date Created,2018-07-30 00:00:00.000
103417,Date Created,2018-09-14 00:00:00.000
60660,Date Created,2018-11-10 00:00:00.000
73791,Date Created,2018-05-22 00:00:00.000
121625,Date Created,2018-09-29 00:00:00.000
51567,Date Created,2018-08-28 00:00:00.000
98519,Date Created,2018-10-31 00:00:00.000
91260,Date Created,2018-10-27 00:00:00.000
