ClinicalOutcome_ID,Facility_ID,MORT_AMI_Baseline,MORT_AMI_Perform,MORT_HF_Baseline,MORT_HF_Perform,MORT_PN_Baseline,MORT_PN_Perform,COMP_HIP_KNEE_Baseline,COMP_HIP_KNEE_Perform,OverallPerform
1847,450617,0.8778579831123352,0.8894389867782592,0.8986030220985411,0.8989089727401733,0.870199978351593,0.8413199782371521,0.0280729997903108,0.0312809981405735,0.665237
1791,390052,0.8646770119667053,0.8778839707374572,0.878504991531372,0.8779289722442627,0.8380240201950073,0.8217499852180481,0.0400590002536773,0.0239579994231462,0.65038
1129,260062,0.8684560060501098,0.8841879963874816,0.885450005531311,0.8832169771194458,0.8502200245857238,0.8507050275802612,0.0322710014879703,0.021000999957323,0.659777
602,170068,0.8617569804191589,0.8713099956512451,0.88857501745224,0.8986240029335022,0.8072389960289001,0.8270990252494812,0.0304930005222558,0.0241669993847608,0.6553
1842,450668,0.853613018989563,0.8720359802246093,0.8758119940757751,0.8780909776687622,0.8334220051765441,0.808239996433258,0.0311479996889829,0.0288740005344152,0.64681
765,110105,0.8617569804191589,0.8778839707374572,0.8872309923171997,0.8856080174446106,0.840624988079071,0.8364920020103453,0.0332579985260963,0.0310360006988048,0.657755
1160,240088,0.8617569804191589,0.8778839707374572,0.8723000288009644,0.8711159825325012,0.8618659973144531,0.8494120240211486,0.0343599990010261,0.0208829995244741,0.654823
1522,330197,0.8554679751396179,0.8763899803161621,0.8895760178565979,0.8900139927864074,0.8792610168457031,0.8671309947967529,0.0381020009517669,0.020313000306487,0.663462
1279,280134,0.8617569804191589,0.8859930038452148,0.880025029182434,0.8843079805374146,0.836217999458313,0.8421369791030883,0.0304310005158185,0.0297209993004798,0.660539
1112,260097,0.8596410155296325,0.8778839707374572,0.8729950189590454,0.9098920226097106,0.7998030185699462,0.8485490083694458,0.039521001279354,0.022724000737071,0.664762
2177,520013,0.870652973651886,0.8807119727134703,0.880948007106781,0.8584470152854919,0.8293759822845459,0.8435270190238952,0.0370000004768371,0.0235779993236064,0.651566
1773,380025,0.8642899990081787,0.8817139863967896,0.85793399810791,0.88543701171875,0.8561279773712158,0.8557230234146118,0.0255830008536577,0.0266169998794794,0.662372
1569,360152,0.8673499822616577,0.8808259963989257,0.8676739931106567,0.8956480026245117,0.8601710200309753,0.8556209802627563,0.0270579997450113,0.0224479995667934,0.663635
441,60100,0.8664379715919494,0.8741469979286193,0.8990520238876342,0.889208972454071,0.8667359948158264,0.8688870072364807,0.0327900014817714,0.0288169998675584,0.665265
1933,450379,0.8617569804191589,0.8834090232849121,0.8892599940299987,0.899183988571167,0.8688539862632751,0.881564974784851,0.039377998560667,0.0309849996119737,0.673785
972,140213,0.8771809935569763,0.8606389760971069,0.9047690033912658,0.9041299819946288,0.8512549996376036,0.8601099848747253,0.037076000124216,0.0219190008938312,0.661699
1122,260091,0.8631110191345214,0.8775969743728637,0.9000489711761473,0.8972539901733398,0.8153560161590576,0.837556004524231,0.0321529991924762,0.0259889997541904,0.659599
47,100131,0.8771569728851318,0.8781650066375732,0.8893349766731262,0.9056900143623352,0.8632349967956543,0.8793439865112304,0.0310340002179145,0.0256939996033906,0.672223
1621,340144,0.854092001914978,0.8778839707374572,0.8924109935760498,0.8835269808769226,0.858161985874176,0.8487169742584229,0.0313969999551773,0.0283160004764795,0.659611
123,60064,0.8574699759483337,0.8785409927368164,0.8614789843559265,0.8838250041007994,0.8678749799728394,0.8610770106315612,0.0298379994928836,0.0215799994766712,0.661255
