Date,High,Low,Open,Close,Volume,Adj Close,Year,Highest,Lowest,TotalVolume,WeekDay
2004-08-25 00:00:00.000,149.837,122.375,149.837,123.494,136928,67.234,2004,167.35,119.82,869717312,4
2004-08-26 00:00:00.000,124.625,121.912,124,122.375,40443200,66.6248,2004,167.35,119.82,869717312,5
2004-08-27 00:00:00.000,122.8,119.82,122.8,120.332,30646000,65.5125,2004,167.35,119.82,869717312,6
2004-08-30 00:00:00.000,123.75,120.625,121.238,123.345,24465208,67.1529,2004,167.35,119.82,869717312,2
2004-08-31 00:00:00.000,123.75,122,123.312,123.512,21194656,67.2438,2004,167.35,119.82,869717312,3
2004-09-01 00:00:00.000,124.375,122.95,123.75,123.488,19935544,67.2307,2004,167.35,119.82,869717312,4
2004-09-02 00:00:00.000,125.575,123.25,123.738,124.207,21356352,67.6222,2004,167.35,119.82,869717312,5
2004-09-03 00:00:00.000,137.5,123.795,125.75,124.732,9869856,67.908,2004,167.35,119.82,869717312,6
2004-09-06 00:00:00.000,129.988,124.113,129.988,124.357,9038672,67.7038,2004,167.35,119.82,869717312,2
2004-09-07 00:00:00.000,129.375,124.375,129.375,124.45,5772232,67.7545,2004,167.35,119.82,869717312,3
2004-09-08 00:00:00.000,125.1,123.887,124.5,124.213,6593984,67.6254,2004,167.35,119.82,869717312,4
2004-09-09 00:00:00.000,124.738,122.308,124.625,122.495,7947184,66.6901,2004,167.35,119.82,869717312,5
2004-09-10 00:00:00.000,123.75,122,123.75,123.6,6415072,67.2917,2004,167.35,119.82,869717312,6
2004-09-13 00:00:00.000,126.938,123.875,123.875,125.438,20904912,68.2924,2004,167.35,119.82,869717312,2
2004-09-14 00:00:00.000,127.35,125.37,125.625,126.957,15335472,69.1194,2004,167.35,119.82,869717312,3
2004-09-15 00:00:00.000,127.5,125.15,127.25,125.762,11988288,68.4688,2004,167.35,119.82,869717312,4
2004-09-16 00:00:00.000,126.875,125.312,125.875,126.058,7358224,68.6299,2004,167.35,119.82,869717312,5
2004-09-17 00:00:00.000,128.738,126.287,126.5,128.062,14627896,69.721,2004,167.35,119.82,869717312,6
2004-09-20 00:00:00.000,129.613,127.52,129.05,127.863,8552224,69.6126,2004,167.35,119.82,869717312,2
2004-09-21 00:00:00.000,131.062,127.75,128.107,130.725,13897080,71.1708,2004,167.35,119.82,869717312,3
2004-09-22 00:00:00.000,132,129.637,131.05,131.508,15371584,71.5971,2004,167.35,119.82,869717312,4
2004-09-23 00:00:00.000,131.125,128.375,131,128.783,15819680,70.1135,2004,167.35,119.82,869717312,5
2004-09-24 00:00:00.000,130,128.25,128.637,128.6,8083208,70.0139,2004,167.35,119.82,869717312,6
2004-09-27 00:00:00.000,129.062,126.875,128.438,127.595,8229512,69.4667,2004,167.35,119.82,869717312,2
2004-09-28 00:00:00.000,128.425,126.562,127,126.945,6339416,69.1128,2004,167.35,119.82,869717312,3
2004-09-29 00:00:00.000,129.125,127.02,127.408,128.875,11737176,70.1636,2004,167.35,119.82,869717312,4
2004-09-30 00:00:00.000,130.113,127.582,129.45,128.387,12521432,69.8979,2004,167.35,119.82,869717312,5
2004-10-01 00:00:00.000,132.057,128.295,128.625,130.962,10968888,71.2998,2004,167.35,119.82,869717312,6
2004-10-04 00:00:00.000,135.125,131.807,132.125,134.562,15129824,73.2598,2004,167.35,119.82,869717312,2
2004-10-05 00:00:00.000,136.125,134.438,135.038,135.087,14341288,73.5456,2004,167.35,119.82,869717312,3
2004-10-06 00:00:00.000,137.85,134.383,135.125,135.2,17670664,73.6071,2004,167.35,119.82,869717312,4
2004-10-07 00:00:00.000,137.5,135.375,135.375,137.137,10080128,74.6617,2004,167.35,119.82,869717312,5
2004-10-08 00:00:00.000,138.875,136.875,137.25,137.258,8558920,74.7275,2004,167.35,119.82,869717312,6
2004-10-11 00:00:00.000,138.938,135.625,137.5,136.163,9332056,74.1314,2004,167.35,119.82,869717312,2
2004-10-12 00:00:00.000,139.375,134.708,138.75,135.557,15600512,73.8015,2004,167.35,119.82,869717312,3
2004-10-14 00:00:00.000,140.5,136.008,137.875,139.525,19225984,75.9618,2004,167.35,119.82,869717312,5
2004-10-15 00:00:00.000,142.625,139.658,140.212,140.75,17799744,76.6287,2004,167.35,119.82,869717312,6
2004-10-18 00:00:00.000,142.75,140.658,141.75,142.158,13693344,77.3953,2004,167.35,119.82,869717312,2
2004-10-19 00:00:00.000,143.587,142.012,142.52,142.9,11767128,77.7992,2004,167.35,119.82,869717312,3
2004-10-20 00:00:00.000,143.738,141.125,143.1,141.658,7206832,77.123,2004,167.35,119.82,869717312,4
2004-10-21 00:00:00.000,142.375,140.25,142.158,140.695,6413520,76.5988,2004,167.35,119.82,869717312,5
2004-10-25 00:00:00.000,140.875,138.845,140.625,139.67,9390272,76.0407,2004,167.35,119.82,869717312,2
2004-10-26 00:00:00.000,142.62,139.45,139.45,142.15,6932760,77.3909,2004,167.35,119.82,869717312,3
2004-10-27 00:00:00.000,143.5,141.9,142.783,142.488,7837656,77.575,2004,167.35,119.82,869717312,4
2004-10-28 00:00:00.000,146.85,143.125,143.125,145.745,18591416,81.0547,2004,167.35,119.82,869717312,5
2004-10-29 00:00:00.000,145.995,143.145,145.995,144.533,8661776,80.3807,2004,167.35,119.82,869717312,6
