Year,2018,2017,2016,2015,2014
Equity Share Capital,191,197,197,195.87,195.87
Total Share Capital,191,197,197,195.87,195.87
Reserves and Surplus,84937,86017,70875,50438.89,48998.89
Total Reserves and Surplus,84937,86017,70875,50438.89,48998.89
Total Shareholders Funds,85128,86214,71072,50634.76,49194.76
Minority Interest,402,366,355,1127.76,707.99
Long Term Borrowings,54,71,83,114.27,127.26
Deferred Tax Liabilities [Net],1170,919,805,342.96,308.8
Other Long Term Liabilities,1688,1131,1172,825.02,743.07
Long Term Provisions,26,39,40,297.87,385.59
Total Non-Current Liabilities,2938,2160,2100,1580.12,1564.72
Short Term Borrowings,181,200,113,185.56,127.09
Trade Payables,5094,4905,7541,8830.93,5536.02
Other Current Liabilities,12313,9341,7800,3646.59,3621.24
Short Term Provisions,240,66,115,7655.16,6385.96
Total Current Liabilities,17828,14512,15569,20318.24,15670.31
Total Capital And Liabilities,106296,103252,89096,73660.88,67137.78
Tangible Assets,10216,10057,9971,9376.12,7034.81
Intangible Assets,12,47,134,168.83,240.74
Capital Work-In-Progress,1278,1541,1670,2766.37,3168.48
Fixed Assets,11506,11645,11775,12311.32,10444.03
Non-Current Investments,301,344,343,169.18,2275.27
Deferred Tax Assets [Net],3449,2828,2908,593.94,420.06
Long Term Loans And Advances,1975,9,2472,9154.92,7286.62
Other Non-Current Assets,6096,6513,6716,525.3,1545.33
Total Non-Current Assets,25072,22936,25883,24847.88,24240.09
Current Investments,35707,41636,22479,1492.6,1158.47
Inventories,26,21,16,16.07,15.21
Trade Receivables,24943,22617,24073,20437.94,18230.4
Cash And Cash Equivalents,7161,4149,6788,18556.04,14441.84
Short Term Loans And Advances,3205,2909,2743,4146.45,4310.8
OtherCurrentAssets,10182,8984,7114,4163.9,4740.97
Total Current Assets,81224,80316,63213,48813,42897.69
Total Assets,106296,103252,89096,73660.88,67137.78
Contingent Liabilities,9682,7811,0,6148.47,2862.86
Bonus Equity Share Capital,151.15,155.9,155.9,155.9,155.9
Non-Current Investments Quoted Market Value,168,132,101,3.91,0
Non-Current Investments Unquoted Book Value,117,212,242,169.18,2275.27
Current Investments Quoted Market Value,25217,21999,20254,0,7.58
Current Investments Unquoted Book Value,10490,19637,2225,1492.6,1151.5
