VERSION,YEAR,MONTH,Day,Date,TOTAL SALES
FORECAST,2020,12,1,2020-12-01 00:00:00.000,80
BUD,2020,2,1,2020-02-01 00:00:00.000,20
FORECAST,2020,3,1,2020-03-01 00:00:00.000,30
FORECAST,2020,7,1,2020-07-01 00:00:00.000,10
BUD,2020,5,1,2020-05-01 00:00:00.000,50
FORECAST,2020,8,1,2020-08-01 00:00:00.000,75
BUD,2020,10,1,2020-10-01 00:00:00.000,60
BUD,2020,1,1,2020-01-01 00:00:00.000,10
PY ACT,2019,9,1,2019-09-01 00:00:00.000,60
BUD,2020,6,1,2020-06-01 00:00:00.000,50
PY ACT,2019,10,1,2019-10-01 00:00:00.000,70
FORECAST,2020,11,1,2020-11-01 00:00:00.000,80
PY ACT,2019,1,1,2019-01-01 00:00:00.000,15
PY ACT,2019,5,1,2019-05-01 00:00:00.000,20
FORECAST,2020,6,1,2020-06-01 00:00:00.000,10
BUD,2020,4,1,2020-04-01 00:00:00.000,40
BUD,2020,8,1,2020-08-01 00:00:00.000,50
PY ACT,2019,6,1,2019-06-01 00:00:00.000,30
PY ACT,2019,12,1,2019-12-01 00:00:00.000,90
PY ACT,2019,2,1,2019-02-01 00:00:00.000,10
FORECAST,2020,1,1,2020-01-01 00:00:00.000,10
PY ACT,2019,3,1,2019-03-01 00:00:00.000,20
FORECAST,2020,10,1,2020-10-01 00:00:00.000,45
PY ACT,2019,4,1,2019-04-01 00:00:00.000,30
FORECAST,2020,9,1,2020-09-01 00:00:00.000,75
BUD,2020,12,1,2020-12-01 00:00:00.000,100
FORECAST,2020,4,1,2020-04-01 00:00:00.000,40
PY ACT,2019,11,1,2019-11-01 00:00:00.000,80
BUD,2020,11,1,2020-11-01 00:00:00.000,100
BUD,2020,7,1,2020-07-01 00:00:00.000,50
FORECAST,2020,2,1,2020-02-01 00:00:00.000,20
PY ACT,2019,7,1,2019-07-01 00:00:00.000,40
BUD,2020,9,1,2020-09-01 00:00:00.000,50
PY ACT,2019,8,1,2019-08-01 00:00:00.000,50
BUD,2020,3,1,2020-03-01 00:00:00.000,30
FORECAST,2020,5,1,2020-05-01 00:00:00.000,50
