Date,DateAsInteger,Year,Month,Quarter
2020-07-01 00:00:00.000,"20200701",2020,7,3
2020-07-02 00:00:00.000,"20200702",2020,7,3
2020-07-03 00:00:00.000,"20200703",2020,7,3
2020-07-04 00:00:00.000,"20200704",2020,7,3
2020-07-05 00:00:00.000,"20200705",2020,7,3
2020-07-06 00:00:00.000,"20200706",2020,7,3
2020-07-07 00:00:00.000,"20200707",2020,7,3
2020-07-08 00:00:00.000,"20200708",2020,7,3
2020-07-09 00:00:00.000,"20200709",2020,7,3
2020-07-10 00:00:00.000,"20200710",2020,7,3
2020-07-11 00:00:00.000,"20200711",2020,7,3
2020-07-12 00:00:00.000,"20200712",2020,7,3
2020-07-13 00:00:00.000,"20200713",2020,7,3
2020-07-14 00:00:00.000,"20200714",2020,7,3
2020-07-15 00:00:00.000,"20200715",2020,7,3
2020-07-16 00:00:00.000,"20200716",2020,7,3
2020-07-17 00:00:00.000,"20200717",2020,7,3
2020-07-18 00:00:00.000,"20200718",2020,7,3
2020-07-19 00:00:00.000,"20200719",2020,7,3
2020-07-20 00:00:00.000,"20200720",2020,7,3
2020-07-21 00:00:00.000,"20200721",2020,7,3
2020-07-22 00:00:00.000,"20200722",2020,7,3
2020-07-23 00:00:00.000,"20200723",2020,7,3
2020-07-24 00:00:00.000,"20200724",2020,7,3
2020-07-25 00:00:00.000,"20200725",2020,7,3
2020-07-26 00:00:00.000,"20200726",2020,7,3
2020-07-27 00:00:00.000,"20200727",2020,7,3
2020-07-28 00:00:00.000,"20200728",2020,7,3
2020-07-29 00:00:00.000,"20200729",2020,7,3
2020-07-30 00:00:00.000,"20200730",2020,7,3
2020-07-31 00:00:00.000,"20200731",2020,7,3
2020-08-01 00:00:00.000,"20200801",2020,8,3
2020-08-02 00:00:00.000,"20200802",2020,8,3
2020-08-03 00:00:00.000,"20200803",2020,8,3
2020-08-04 00:00:00.000,"20200804",2020,8,3
2020-08-05 00:00:00.000,"20200805",2020,8,3
2020-08-06 00:00:00.000,"20200806",2020,8,3
2020-08-07 00:00:00.000,"20200807",2020,8,3
2020-08-08 00:00:00.000,"20200808",2020,8,3
2020-08-09 00:00:00.000,"20200809",2020,8,3
2020-08-10 00:00:00.000,"20200810",2020,8,3
2020-08-11 00:00:00.000,"20200811",2020,8,3
2020-08-12 00:00:00.000,"20200812",2020,8,3
2020-08-13 00:00:00.000,"20200813",2020,8,3
2020-08-14 00:00:00.000,"20200814",2020,8,3
2020-08-15 00:00:00.000,"20200815",2020,8,3
2020-08-16 00:00:00.000,"20200816",2020,8,3
2020-08-17 00:00:00.000,"20200817",2020,8,3
2020-08-18 00:00:00.000,"20200818",2020,8,3
2020-08-19 00:00:00.000,"20200819",2020,8,3
2020-08-20 00:00:00.000,"20200820",2020,8,3
2020-08-21 00:00:00.000,"20200821",2020,8,3
2020-08-22 00:00:00.000,"20200822",2020,8,3
2020-08-23 00:00:00.000,"20200823",2020,8,3
2020-08-24 00:00:00.000,"20200824",2020,8,3
2020-08-25 00:00:00.000,"20200825",2020,8,3
2020-08-26 00:00:00.000,"20200826",2020,8,3
2020-08-27 00:00:00.000,"20200827",2020,8,3
2020-08-28 00:00:00.000,"20200828",2020,8,3
2020-08-29 00:00:00.000,"20200829",2020,8,3
2020-08-30 00:00:00.000,"20200830",2020,8,3
2020-08-31 00:00:00.000,"20200831",2020,8,3
2020-09-01 00:00:00.000,"20200901",2020,9,3
2020-09-02 00:00:00.000,"20200902",2020,9,3
2020-09-03 00:00:00.000,"20200903",2020,9,3
2020-09-04 00:00:00.000,"20200904",2020,9,3
2020-09-05 00:00:00.000,"20200905",2020,9,3
2020-09-06 00:00:00.000,"20200906",2020,9,3
2020-09-07 00:00:00.000,"20200907",2020,9,3
2020-09-08 00:00:00.000,"20200908",2020,9,3
2020-09-09 00:00:00.000,"20200909",2020,9,3
2020-09-10 00:00:00.000,"20200910",2020,9,3
2020-09-11 00:00:00.000,"20200911",2020,9,3
2020-09-12 00:00:00.000,"20200912",2020,9,3
2020-09-13 00:00:00.000,"20200913",2020,9,3
2020-09-14 00:00:00.000,"20200914",2020,9,3
2020-09-15 00:00:00.000,"20200915",2020,9,3
2020-09-16 00:00:00.000,"20200916",2020,9,3
2020-09-17 00:00:00.000,"20200917",2020,9,3
2020-09-18 00:00:00.000,"20200918",2020,9,3
2020-09-19 00:00:00.000,"20200919",2020,9,3
2020-09-20 00:00:00.000,"20200920",2020,9,3
2020-09-21 00:00:00.000,"20200921",2020,9,3
2020-09-22 00:00:00.000,"20200922",2020,9,3
2020-09-23 00:00:00.000,"20200923",2020,9,3
2020-09-24 00:00:00.000,"20200924",2020,9,3
2020-09-25 00:00:00.000,"20200925",2020,9,3
2020-09-26 00:00:00.000,"20200926",2020,9,3
2020-09-27 00:00:00.000,"20200927",2020,9,3
2020-09-28 00:00:00.000,"20200928",2020,9,3
2020-09-29 00:00:00.000,"20200929",2020,9,3
2020-09-30 00:00:00.000,"20200930",2020,9,3
2021-07-01 00:00:00.000,"20210701",2021,7,3
2021-07-02 00:00:00.000,"20210702",2021,7,3
2021-07-03 00:00:00.000,"20210703",2021,7,3
2021-07-04 00:00:00.000,"20210704",2021,7,3
2021-07-05 00:00:00.000,"20210705",2021,7,3
2021-07-06 00:00:00.000,"20210706",2021,7,3
2021-07-07 00:00:00.000,"20210707",2021,7,3
2021-07-08 00:00:00.000,"20210708",2021,7,3
2021-07-09 00:00:00.000,"20210709",2021,7,3
2021-07-10 00:00:00.000,"20210710",2021,7,3
2021-07-11 00:00:00.000,"20210711",2021,7,3
2021-07-12 00:00:00.000,"20210712",2021,7,3
2021-07-13 00:00:00.000,"20210713",2021,7,3
2021-07-14 00:00:00.000,"20210714",2021,7,3
2021-07-15 00:00:00.000,"20210715",2021,7,3
2021-07-16 00:00:00.000,"20210716",2021,7,3
2021-07-17 00:00:00.000,"20210717",2021,7,3
2021-07-18 00:00:00.000,"20210718",2021,7,3
2021-07-19 00:00:00.000,"20210719",2021,7,3
2021-07-20 00:00:00.000,"20210720",2021,7,3
2021-07-21 00:00:00.000,"20210721",2021,7,3
2021-07-22 00:00:00.000,"20210722",2021,7,3
2021-07-23 00:00:00.000,"20210723",2021,7,3
2021-07-24 00:00:00.000,"20210724",2021,7,3
2021-07-25 00:00:00.000,"20210725",2021,7,3
2021-07-26 00:00:00.000,"20210726",2021,7,3
2021-07-27 00:00:00.000,"20210727",2021,7,3
2021-07-28 00:00:00.000,"20210728",2021,7,3
2021-07-29 00:00:00.000,"20210729",2021,7,3
2021-07-30 00:00:00.000,"20210730",2021,7,3
2021-07-31 00:00:00.000,"20210731",2021,7,3
2021-08-01 00:00:00.000,"20210801",2021,8,3
2021-08-02 00:00:00.000,"20210802",2021,8,3
2021-08-03 00:00:00.000,"20210803",2021,8,3
2021-08-04 00:00:00.000,"20210804",2021,8,3
2021-08-05 00:00:00.000,"20210805",2021,8,3
2021-08-06 00:00:00.000,"20210806",2021,8,3
2021-08-07 00:00:00.000,"20210807",2021,8,3
2021-08-08 00:00:00.000,"20210808",2021,8,3
2021-08-09 00:00:00.000,"20210809",2021,8,3
2021-08-10 00:00:00.000,"20210810",2021,8,3
2021-08-11 00:00:00.000,"20210811",2021,8,3
2021-08-12 00:00:00.000,"20210812",2021,8,3
2021-08-13 00:00:00.000,"20210813",2021,8,3
2021-08-14 00:00:00.000,"20210814",2021,8,3
2021-08-15 00:00:00.000,"20210815",2021,8,3
2021-08-16 00:00:00.000,"20210816",2021,8,3
2021-08-17 00:00:00.000,"20210817",2021,8,3
2021-08-18 00:00:00.000,"20210818",2021,8,3
2021-08-19 00:00:00.000,"20210819",2021,8,3
2021-08-20 00:00:00.000,"20210820",2021,8,3
2021-08-21 00:00:00.000,"20210821",2021,8,3
2021-08-22 00:00:00.000,"20210822",2021,8,3
2021-08-23 00:00:00.000,"20210823",2021,8,3
2021-08-24 00:00:00.000,"20210824",2021,8,3
2021-08-25 00:00:00.000,"20210825",2021,8,3
2021-08-26 00:00:00.000,"20210826",2021,8,3
2021-08-27 00:00:00.000,"20210827",2021,8,3
2021-08-28 00:00:00.000,"20210828",2021,8,3
2021-08-29 00:00:00.000,"20210829",2021,8,3
2021-08-30 00:00:00.000,"20210830",2021,8,3
2021-08-31 00:00:00.000,"20210831",2021,8,3
2021-09-01 00:00:00.000,"20210901",2021,9,3
2021-09-02 00:00:00.000,"20210902",2021,9,3
2021-09-03 00:00:00.000,"20210903",2021,9,3
2021-09-04 00:00:00.000,"20210904",2021,9,3
2021-09-05 00:00:00.000,"20210905",2021,9,3
2021-09-06 00:00:00.000,"20210906",2021,9,3
2021-09-07 00:00:00.000,"20210907",2021,9,3
2021-09-08 00:00:00.000,"20210908",2021,9,3
