Product_ID,Model,Family,Image_Link
1,"iPad Pro (11-inch) (2nd generation)","iPad","https://static.fnac-static.com/multimedia/Images/PT/NR/91/fe/4e/5176977/1505-1.jpg"
2,"iPad Pro (12.9-inch) (4th generation)","iPad","https://static.fnac-static.com/multimedia/Images/PT/NR/91/fe/4e/5176977/1505-1.jpg"
3,"Magic Keyboard for iPad","Apple Keyboard","https://static.fnac-static.com/multimedia/Images/PT/NR/82/1a/73/7543426/1540-1.jpg"
4,"MacBook Air (Retina, 13-inch, 2020)","MacBook Air","https://static.fnac-static.com/multimedia/Images/PT/NR/2b/f4/5b/6026283/1505-1.jpg"
5,"iPhone SE (2nd generation)","iPhone","https://static.fnac-static.com/multimedia/Images/PT/NR/21/ed/73/7597345/1540-1.jpg"
6,"MacBook Pro (13-inch, 2020, Four Thunderbolt 3 ports)","MacBook Pro","https://static.fnac-static.com/multimedia/Images/PT/NR/e0/d0/63/6541536/1505-1.jpg"
7,"MacBook Pro (13-inch, 2020, Two Thunderbolt 3 ports)","MacBook Pro","https://static.fnac-static.com/multimedia/Images/PT/NR/e0/d0/63/6541536/1505-1.jpg"
8,"iMac (Retina 5K, 27-inch, 2020)","iMac","https://static.fnac-static.com/multimedia/Images/PT/NR/41/c9/60/6342977/1540-1.jpg"
9,"Apple Watch Series 6","Apple Watch","https://static.fnac-static.com/multimedia/Images/PT/NR/d2/fc/73/7601362/1540-1.jpg"
10,"Apple Watch Hermès Series 6","Apple Watch","https://static.fnac-static.com/multimedia/Images/PT/NR/d2/fc/73/7601362/1540-1.jpg"
11,"Apple Watch Nike Series 6","Apple Watch","https://static.fnac-static.com/multimedia/Images/PT/NR/d2/fc/73/7601362/1540-1.jpg"
12,"Apple Watch SE","Apple Watch","https://static.fnac-static.com/multimedia/Images/PT/NR/d2/fc/73/7601362/1540-1.jpg"
13,"iPad (8th generation)","iPad","https://static.fnac-static.com/multimedia/Images/PT/NR/91/fe/4e/5176977/1505-1.jpg"
14,"iPad Air (4th generation)","iPad","https://static.fnac-static.com/multimedia/Images/PT/NR/91/fe/4e/5176977/1505-1.jpg"
15,"iPhone 12","iPhone","https://static.fnac-static.com/multimedia/Images/PT/NR/21/ed/73/7597345/1540-1.jpg"
16,"iPhone 12 Pro","iPhone","https://static.fnac-static.com/multimedia/Images/PT/NR/21/ed/73/7597345/1540-1.jpg"
17,"iPhone 12 Mini","iPhone","https://static.fnac-static.com/multimedia/Images/PT/NR/21/ed/73/7597345/1540-1.jpg"
18,"iPhone 12 Pro Max","iPhone","https://static.fnac-static.com/multimedia/Images/PT/NR/21/ed/73/7597345/1540-1.jpg"
19,"HomePod Mini","HomePod","https://static.fnac-static.com/multimedia/Images/PT/MC/fd/10/2a/19534077/1520-2.jpg"
20,"Mac Mini (M1, 2020)","Mac Mini","https://static.fnac-static.com/multimedia/Images/PT/NR/e7/d0/63/6541543/1505-1.jpg"
21,"MacBook Air (M1, 2020)","MacBook Air","https://static.fnac-static.com/multimedia/Images/PT/NR/2b/f4/5b/6026283/1505-1.jpg"
22,"MacBook Pro (13-inch, M1, 2020)","MacBook Pro","https://static.fnac-static.com/multimedia/Images/PT/NR/e0/d0/63/6541536/1505-1.jpg"
23,"Apple TV 4K (2nd generation)","Apple TV","https://static.fnac-static.com/multimedia/Images/PT/NR/28/9d/6a/6987048/1540-1.jpg"
24,"iMac (24-inch, M1, 2021)","iMac","https://static.fnac-static.com/multimedia/Images/PT/NR/41/c9/60/6342977/1540-1.jpg"
25,"Magic Keyboard with Touch ID","Apple Keyboard","https://static.fnac-static.com/multimedia/Images/PT/NR/82/1a/73/7543426/1540-1.jpg"
26,"Magic Keyboard with Touch ID and Numeric Keypad","Apple Keyboard","https://static.fnac-static.com/multimedia/Images/PT/NR/82/1a/73/7543426/1540-1.jpg"
27,"iPad Pro (11-inch) (3rd generation)","iPad","https://static.fnac-static.com/multimedia/Images/PT/NR/91/fe/4e/5176977/1505-1.jpg"
28,"iPad Pro (12.9-inch) (5th generation)","iPad","https://static.fnac-static.com/multimedia/Images/PT/NR/91/fe/4e/5176977/1505-1.jpg"
29,"MagSafe Battery Pack","iPhone","https://static.fnac-static.com/multimedia/Images/PT/NR/21/ed/73/7597345/1540-1.jpg"
30,"iPad (9th generation)","iPad","https://static.fnac-static.com/multimedia/Images/PT/NR/91/fe/4e/5176977/1505-1.jpg"
31,"iPad Mini (6th generation)","iPad","https://static.fnac-static.com/multimedia/Images/PT/NR/91/fe/4e/5176977/1505-1.jpg"
32,"iPhone 13","iPhone","https://static.fnac-static.com/multimedia/Images/PT/NR/21/ed/73/7597345/1540-1.jpg"
33,"iPhone 13 Mini","iPhone","https://static.fnac-static.com/multimedia/Images/PT/NR/21/ed/73/7597345/1540-1.jpg"
34,"iPhone 13 Pro","iPhone","https://static.fnac-static.com/multimedia/Images/PT/NR/21/ed/73/7597345/1540-1.jpg"
35,"iPhone 13 Pro Max","iPhone","https://static.fnac-static.com/multimedia/Images/PT/NR/21/ed/73/7597345/1540-1.jpg"
36,"Apple Watch Series 7","Apple Watch","https://static.fnac-static.com/multimedia/Images/PT/NR/d2/fc/73/7601362/1540-1.jpg"
37,"MacBook Pro (14-inch, 2021)","MacBook Pro","https://static.fnac-static.com/multimedia/Images/PT/NR/e0/d0/63/6541536/1505-1.jpg"
38,"MacBook Pro (16-inch, 2021)","MacBook Pro","https://static.fnac-static.com/multimedia/Images/PT/NR/e0/d0/63/6541536/1505-1.jpg"
39,"HomePod Mini (Yellow, Orange, Blue)","HomePod","https://static.fnac-static.com/multimedia/Images/PT/MC/fd/10/2a/19534077/1520-2.jpg"
