StoreID,Year_Month,Target,Target_ID
1,2020-01-01 00:00:00.000,1099501.86,1
1,2020-02-01 00:00:00.000,1166033.24,2
1,2020-03-01 00:00:00.000,292683.89,3
1,2020-04-01 00:00:00.000,451210.02,4
1,2020-05-01 00:00:00.000,950268,5
1,2020-06-01 00:00:00.000,1526099.92,6
1,2020-07-01 00:00:00.000,430603.29,7
1,2020-08-01 00:00:00.000,1410956.38,8
1,2020-09-01 00:00:00.000,811026.02,9
1,2020-10-01 00:00:00.000,1238952.92,10
1,2020-11-01 00:00:00.000,1144310.2,11
1,2020-12-01 00:00:00.000,1613744.36,12
2,2020-01-01 00:00:00.000,1194748.86,13
2,2020-02-01 00:00:00.000,986707.22,14
2,2020-03-01 00:00:00.000,388030.29,15
2,2020-04-01 00:00:00.000,646031.45,16
2,2020-05-01 00:00:00.000,491757.61,17
2,2020-06-01 00:00:00.000,1084182.92,18
2,2020-07-01 00:00:00.000,566479.11,19
2,2020-08-01 00:00:00.000,562471.19,20
2,2020-09-01 00:00:00.000,515515.92,21
2,2020-10-01 00:00:00.000,649129.41,22
2,2020-11-01 00:00:00.000,561754.08,23
2,2020-12-01 00:00:00.000,1158820.48,24
3,2020-01-01 00:00:00.000,478334.15,25
3,2020-02-01 00:00:00.000,382999.11,26
3,2020-03-01 00:00:00.000,1112319.8,27
3,2020-04-01 00:00:00.000,447837.18,28
3,2020-05-01 00:00:00.000,305268.19,29
3,2020-06-01 00:00:00.000,692503.37,30
3,2020-07-01 00:00:00.000,480939.46,31
3,2020-08-01 00:00:00.000,1394169.48,32
3,2020-09-01 00:00:00.000,1025324.9,33
3,2020-10-01 00:00:00.000,1146532.5,34
3,2020-11-01 00:00:00.000,684292.13,35
3,2020-12-01 00:00:00.000,1343869.02,36
4,2020-01-01 00:00:00.000,1105331.94,37
4,2020-02-01 00:00:00.000,544983.31,38
4,2020-03-01 00:00:00.000,392125.55,39
4,2020-04-01 00:00:00.000,831637.36,40
4,2020-05-01 00:00:00.000,568265.86,41
4,2020-06-01 00:00:00.000,583982.01,42
4,2020-07-01 00:00:00.000,541672.92,43
4,2020-08-01 00:00:00.000,981154.88,44
4,2020-09-01 00:00:00.000,723409.49,45
4,2020-10-01 00:00:00.000,459275.31,46
4,2020-11-01 00:00:00.000,1165927.16,47
4,2020-12-01 00:00:00.000,1586600.72,48
5,2020-01-01 00:00:00.000,1284497.88,49
5,2020-02-01 00:00:00.000,642850.39,50
5,2020-03-01 00:00:00.000,359252.38,51
5,2020-04-01 00:00:00.000,764065.02,52
5,2020-05-01 00:00:00.000,710672.04,53
5,2020-06-01 00:00:00.000,464840.7,54
5,2020-07-01 00:00:00.000,719584,55
5,2020-08-01 00:00:00.000,958866.84,56
5,2020-09-01 00:00:00.000,1156592.3,57
5,2020-10-01 00:00:00.000,1065528.34,58
5,2020-11-01 00:00:00.000,620195.61,59
5,2020-12-01 00:00:00.000,1482307.64,60
