show all]  vte  COVID-19 pandemic by locations (2)[Location[b],show all]  vte  COVID-19 pandemic by locations (2)[Location[b]_1,show all]  vte  COVID-19 pandemic by locations (2)[Cases[a],show all]  vte  COVID-19 pandemic by locations (2)[Deaths[c],show all]  vte  COVID-19 pandemic by locations (2)[Recov.[d],show all]  vte  COVID-19 pandemic by locations (2)[Ref.
"","World[e]",13070097,572411,"7,226,990","[4]"
"","United States[f]",3428462,137613,"999,968","[13]"
"","Brazil[g]",1884967,72833,"1,213,512","[17][18]"
"","India",906752,23727,"571,459","[19]"
"","Russia[h]",739947,11614,"512,825","[20]"
"","Peru",330123,12054,"221,008","[21][22]"
"","Chile[i]",317657,7024,"286,556","[26]"
"","Mexico",304435,35491,"189,063","[27][28]"
"","United Kingdom[j]",290133,44830,"No data","[30][31]"
"","South Africa",287796,4172,"138,241","[32]"
"","Iran",259652,13032,"222,539","[33]"
"","Spain[k]",255953,28406,"150,376","[34]"
"","Pakistan",253598,5320,"170,656","[35]"
"","Italy",243230,34967,"195,106","[36][37]"
"","Saudi Arabia",235111,2704,"169,842","[38]"
"","Turkey",214001,5382,"195,671","[39]"
"","Germany[l]",200431,9138,"185,058","[41][40]"
"","Bangladesh",186894,2391,"98,317","[42]"
"","France[m]",172377,30029,"78,597","[43]"
"","Colombia",154277,5455,"65,809","[44]"
"","Canada",108155,8790,"71,841","[45]"
"","Qatar",104016,149,"100,627","[46]"
"","Argentina[n]",103239,1903,"44,160","[48][49]"
"","China[o]",83605,4634,"78,674","[50]"
"","Egypt[p]",83001,3935,"24,975","[51]"
"","Iraq",79735,3250,"46,988","[52]"
"","Indonesia",78572,3710,"37,636","[53]"
"","Sweden",75826,5536,"No data","[54]"
"","Ecuador",68459,5063,"5,900","[55][56]"
"","Belarus",65269,474,"55,799","[57]"
"","Belgium[q]",62357,9781,"17,179","[59]"
"","Kazakhstan",61755,375,"35,911","[60]"
"","Oman",59568,273,"37,987","[61]"
"","Philippines",57006,1599,"20,371","[62][63]"
"","Kuwait",55508,393,"45,356","[64]"
"","United Arab Emirates",55198,334,"45,513","[65]"
"","Ukraine[r]",54133,1398,"26,503","[66]"
"","Netherlands[s]",51308,6156,"No data","[68]"
"","Bolivia",49250,1866,"15,294","[69]"
"","Panama",47173,932,"23,919","[70][71]"
"","Portugal",46818,1662,"31,065","[72]"
"","Singapore",46283,26,"42,541","[73][74]"
"","Dominican Republic",45506,903,"22,441","[75]"
"","Israel[t]",40632,365,"19,395","[76]"
"","Poland",38190,1576,"26,048","[77][78]"
"","Afghanistan",34740,1048,"21,454","[79]"
"","Romania",33585,1931,"21,803","[80]"
"","Nigeria",33513,744,"13,671","[81]"
"","Bahrain",33476,104,"28,425","[82]"
"","Switzerland[u]",32946,1686,"29,600","[83][84]"
"","Armenia",32490,581,"20,729","[85]"
"","Guatemala",29742,1244,"4,321","[86]"
"","Honduras",28090,774,"2,957","[87][88]"
"","Ireland",25638,1746,"23,349","[89]"
"","Ghana",24988,139,"21,067","[90]"
"","Azerbaijan[v]",24570,313,"15,640","[91]"
"","Japan[w]",20174,980,"17,331","[92]"
"","Algeria",19689,1018,"14,019","[93][94]"
"","Moldova[x]",19439,649,"12,793","[95]"
"","Austria",18948,708,"17,000","[96]"
"","Serbia[y]",17728,370,"13,064","[97]"
"","Nepal",16945,38,"10,294","[98][99]"
"","Morocco[z]",15936,255,"12,934","[101]"
"","Cameroon",15173,359,"11,928","[102][103]"
"","Uzbekistan",13872,64,"8,030","[104]"
"","South Korea",13512,289,"12,282","[105]"
"","Czech Republic",13238,353,"8,373","[106]"
"","Denmark[aa]",12836,601,"11,929","[107]"
"","Ivory Coast",12052,81,"6,080","[108]"
"","Kyrgyzstan",11538,149,"4,995","[109]"
"","El Salvador",10303,278,"5,919","[110]"
"","Kenya",10294,197,"2,946","[111]"
"","Sudan",10204,649,"5,277","[112]"
"","Australia[ab]",10050,109,"7,769","[113]"
"","Venezuela",9707,93,"2,671","[114]"
"","Norway[ac]",8984,253,"8,138","[117]"
"","Malaysia",8729,122,"8,524","[118]"
"","Senegal",8198,150,"5,514","[119]"
"","North Macedonia",8197,385,"4,326","[120][121]"
"","DR Congo[ad]",8075,190,"3,620","[122]"
"","Costa Rica",8036,31,"2,304","[123]"
"","Ethiopia",7766,128,"2,430","[124][125]"
"","Bulgaria",7411,276,"3,517","[126]"
"","Finland[ae]",7295,329,"6,800","[129]"
"","Bosnia and Herzegovina",6981,226,"3,179","[130]"
"","Haiti",6727,139,"2,924","[131]"
"","Palestine",6566,39,"942","[132]"
"","Tajikistan",6501,55,"5,278","[133]"
"","Guinea",6141,37,"4,862","[134][135]"
"","Gabon",5942,46,"3,004","[136]"
"","Mauritania",5203,146,"2,111","[137]"
"","Kosovo",5118,108,"2,370","[138]"
"","Djibouti",4968,56,"4,689","[139]"
"","Luxembourg",4956,111,"4,183","[140]"
"","Central African Republic",4259,53,"1,142","[141]"
"","Hungary",4258,595,"3,106","[142]"
"","Madagascar",4143,34,"2,183","[143]"
"","Greece",3826,193,"1,374","[144]"
"","Croatia",3775,119,"2,514","[145]"
"","Albania",3571,95,"2,014","[146]"
"","Thailand",3227,58,"3,091","[147]"
"","Equatorial Guinea",3071,51,"842","[148]"
"","Somalia[af]",3059,93,"1,306","[149]"
"","Paraguay",2980,25,"1,293","[150]"
"","Nicaragua",2846,91,"1,750","[77][151]"
"","Maldives",2762,13,"2,290","[152]"
"","Sri Lanka",2646,11,"1,981","[153]"
"","Cuba[ag]",2428,87,"2,268","[154]"
