Customer,Cust_Inx,Year,Date,Month,Forecast_Amt
"Cost Plus","1","2018",2018-01-01 00:00:00.000,"Jan",149207
"Cost Plus","1","2018",2018-02-01 00:00:00.000,"Feb",106483
"Cost Plus","1","2018",2018-03-01 00:00:00.000,"Mar",116975
"Cost Plus","1","2018",2018-04-01 00:00:00.000,"Apr",151918
"Cost Plus","1","2018",2018-05-01 00:00:00.000,"May",132658
"Cost Plus","1","2018",2018-06-01 00:00:00.000,"Jun",129408
"Cost Plus","1","2018",2018-07-01 00:00:00.000,"Jul",169690
"Cost Plus","1","2018",2018-08-01 00:00:00.000,"Aug",126517
"Cost Plus","1","2018",2018-09-01 00:00:00.000,"Sep",163856
"Cost Plus","1","2018",2018-10-01 00:00:00.000,"Oct",470580
"Cost Plus","1","2018",2018-11-01 00:00:00.000,"Nov",503609
"Cost Plus","1","2018",2018-12-01 00:00:00.000,"Dec",752283
"Cost Plus","1","2019",2019-01-01 00:00:00.000,"Jan",164127
"Cost Plus","1","2019",2019-02-01 00:00:00.000,"Feb",117131
"Cost Plus","1","2019",2019-03-01 00:00:00.000,"Mar",128672
"Cost Plus","1","2019",2019-04-01 00:00:00.000,"Apr",167110
"Cost Plus","1","2019",2019-05-01 00:00:00.000,"May",145924
"Cost Plus","1","2019",2019-06-01 00:00:00.000,"Jun",142349
"Cost Plus","1","2019",2019-07-01 00:00:00.000,"Jul",186659
"Cost Plus","1","2019",2019-08-01 00:00:00.000,"Aug",139169
"Cost Plus","1","2019",2019-09-01 00:00:00.000,"Sep",180241
"Cost Plus","1","2019",2019-10-01 00:00:00.000,"Oct",517638
"Cost Plus","1","2019",2019-11-01 00:00:00.000,"Nov",553970
"Cost Plus","1","2019",2019-12-01 00:00:00.000,"Dec",827512
"Top Dollar","3","2018",2018-01-01 00:00:00.000,"Jan",676345
"Top Dollar","3","2018",2018-02-01 00:00:00.000,"Feb",582892
"Top Dollar","3","2018",2018-03-01 00:00:00.000,"Mar",510049
"Top Dollar","3","2018",2018-04-01 00:00:00.000,"Apr",567260
"Top Dollar","3","2018",2018-05-01 00:00:00.000,"May",468538
"Top Dollar","3","2018",2018-06-01 00:00:00.000,"Jun",466813
"Top Dollar","3","2018",2018-07-01 00:00:00.000,"Jul",612606
"Top Dollar","3","2018",2018-08-01 00:00:00.000,"Aug",443642
"Top Dollar","3","2018",2018-09-01 00:00:00.000,"Sep",527123
"Top Dollar","3","2018",2018-10-01 00:00:00.000,"Oct",1543057
"Top Dollar","3","2018",2018-11-01 00:00:00.000,"Nov",1586498
"Top Dollar","3","2018",2018-12-01 00:00:00.000,"Dec",3485130
"Top Dollar","3","2019",2019-01-01 00:00:00.000,"Jan",777797
"Top Dollar","3","2019",2019-02-01 00:00:00.000,"Feb",670326
"Top Dollar","3","2019",2019-03-01 00:00:00.000,"Mar",586557
"Top Dollar","3","2019",2019-04-01 00:00:00.000,"Apr",652349
"Top Dollar","3","2019",2019-05-01 00:00:00.000,"May",538819
"Top Dollar","3","2019",2019-06-01 00:00:00.000,"Jun",536835
"Top Dollar","3","2019",2019-07-01 00:00:00.000,"Jul",704497
"Top Dollar","3","2019",2019-08-01 00:00:00.000,"Aug",510188
"Top Dollar","3","2019",2019-09-01 00:00:00.000,"Sep",606191
"Top Dollar","3","2019",2019-10-01 00:00:00.000,"Oct",1774516
"Top Dollar","3","2019",2019-11-01 00:00:00.000,"Nov",1824472
"Top Dollar","3","2019",2019-12-01 00:00:00.000,"Dec",4007900
"CryptoMrt","2","2018",2018-01-01 00:00:00.000,"Jan",623655
"CryptoMrt","2","2018",2018-02-01 00:00:00.000,"Feb",511046
"CryptoMrt","2","2018",2018-03-01 00:00:00.000,"Mar",383478
"CryptoMrt","2","2018",2018-04-01 00:00:00.000,"Apr",472534
"CryptoMrt","2","2018",2018-05-01 00:00:00.000,"May",359783
"CryptoMrt","2","2018",2018-06-01 00:00:00.000,"Jun",326442
"CryptoMrt","2","2018",2018-07-01 00:00:00.000,"Jul",391400
"CryptoMrt","2","2018",2018-08-01 00:00:00.000,"Aug",323798
"CryptoMrt","2","2018",2018-09-01 00:00:00.000,"Sep",417079
"CryptoMrt","2","2018",2018-10-01 00:00:00.000,"Oct",1088229
"CryptoMrt","2","2018",2018-11-01 00:00:00.000,"Nov",2065052
"CryptoMrt","2","2018",2018-12-01 00:00:00.000,"Dec",4278037
"CryptoMrt","2","2019",2019-01-01 00:00:00.000,"Jan",748386
"CryptoMrt","2","2019",2019-02-01 00:00:00.000,"Feb",613255
"CryptoMrt","2","2019",2019-03-01 00:00:00.000,"Mar",460174
"CryptoMrt","2","2019",2019-04-01 00:00:00.000,"Apr",567040
"CryptoMrt","2","2019",2019-05-01 00:00:00.000,"May",431739
"CryptoMrt","2","2019",2019-06-01 00:00:00.000,"Jun",391731
"CryptoMrt","2","2019",2019-07-01 00:00:00.000,"Jul",469680
"CryptoMrt","2","2019",2019-08-01 00:00:00.000,"Aug",388558
"CryptoMrt","2","2019",2019-09-01 00:00:00.000,"Sep",500494
"CryptoMrt","2","2019",2019-10-01 00:00:00.000,"Oct",1305875
"CryptoMrt","2","2019",2019-11-01 00:00:00.000,"Nov",2478062
"CryptoMrt","2","2019",2019-12-01 00:00:00.000,"Dec",5133645
