Date,day,month,year,day index,week index,month index,year index
2021-01-01 00:00:00.000,1,1,2021,-596,-85,-19,-1
2021-01-02 00:00:00.000,2,1,2021,-595,-85,-19,-1
2021-01-03 00:00:00.000,3,1,2021,-594,-85,-19,-1
2021-01-04 00:00:00.000,4,1,2021,-593,-84,-19,-1
2021-01-05 00:00:00.000,5,1,2021,-592,-84,-19,-1
2021-01-06 00:00:00.000,6,1,2021,-591,-84,-19,-1
2021-01-07 00:00:00.000,7,1,2021,-590,-84,-19,-1
2021-01-08 00:00:00.000,8,1,2021,-589,-84,-19,-1
2021-01-09 00:00:00.000,9,1,2021,-588,-84,-19,-1
2021-01-10 00:00:00.000,10,1,2021,-587,-84,-19,-1
2021-01-11 00:00:00.000,11,1,2021,-586,-83,-19,-1
2021-01-12 00:00:00.000,12,1,2021,-585,-83,-19,-1
2021-01-13 00:00:00.000,13,1,2021,-584,-83,-19,-1
2021-01-14 00:00:00.000,14,1,2021,-583,-83,-19,-1
2021-01-15 00:00:00.000,15,1,2021,-582,-83,-19,-1
2021-01-16 00:00:00.000,16,1,2021,-581,-83,-19,-1
2021-01-17 00:00:00.000,17,1,2021,-580,-83,-19,-1
2021-01-18 00:00:00.000,18,1,2021,-579,-82,-19,-1
2021-01-19 00:00:00.000,19,1,2021,-578,-82,-19,-1
2021-01-20 00:00:00.000,20,1,2021,-577,-82,-19,-1
2021-01-21 00:00:00.000,21,1,2021,-576,-82,-19,-1
2021-01-22 00:00:00.000,22,1,2021,-575,-82,-19,-1
2021-01-23 00:00:00.000,23,1,2021,-574,-82,-19,-1
2021-01-24 00:00:00.000,24,1,2021,-573,-82,-19,-1
2021-01-25 00:00:00.000,25,1,2021,-572,-81,-19,-1
2021-01-26 00:00:00.000,26,1,2021,-571,-81,-19,-1
2021-01-27 00:00:00.000,27,1,2021,-570,-81,-19,-1
2021-01-28 00:00:00.000,28,1,2021,-569,-81,-19,-1
2021-01-29 00:00:00.000,29,1,2021,-568,-81,-19,-1
2021-01-30 00:00:00.000,30,1,2021,-567,-81,-19,-1
2021-01-31 00:00:00.000,31,1,2021,-566,-81,-19,-1
2021-02-01 00:00:00.000,1,2,2021,-565,-80,-18,-1
2021-02-02 00:00:00.000,2,2,2021,-564,-80,-18,-1
2021-02-03 00:00:00.000,3,2,2021,-563,-80,-18,-1
2021-02-04 00:00:00.000,4,2,2021,-562,-80,-18,-1
2021-02-05 00:00:00.000,5,2,2021,-561,-80,-18,-1
2021-02-06 00:00:00.000,6,2,2021,-560,-80,-18,-1
2021-02-07 00:00:00.000,7,2,2021,-559,-80,-18,-1
2021-02-08 00:00:00.000,8,2,2021,-558,-79,-18,-1
2021-02-09 00:00:00.000,9,2,2021,-557,-79,-18,-1
2021-02-10 00:00:00.000,10,2,2021,-556,-79,-18,-1
2021-02-11 00:00:00.000,11,2,2021,-555,-79,-18,-1
2021-02-12 00:00:00.000,12,2,2021,-554,-79,-18,-1
2021-02-13 00:00:00.000,13,2,2021,-553,-79,-18,-1
2021-02-14 00:00:00.000,14,2,2021,-552,-79,-18,-1
2021-02-15 00:00:00.000,15,2,2021,-551,-78,-18,-1
2021-02-16 00:00:00.000,16,2,2021,-550,-78,-18,-1
2021-02-17 00:00:00.000,17,2,2021,-549,-78,-18,-1
2021-02-18 00:00:00.000,18,2,2021,-548,-78,-18,-1
2021-02-19 00:00:00.000,19,2,2021,-547,-78,-18,-1
2021-02-20 00:00:00.000,20,2,2021,-546,-78,-18,-1
2021-02-21 00:00:00.000,21,2,2021,-545,-78,-18,-1
2021-02-22 00:00:00.000,22,2,2021,-544,-77,-18,-1
2021-02-23 00:00:00.000,23,2,2021,-543,-77,-18,-1
2021-02-24 00:00:00.000,24,2,2021,-542,-77,-18,-1
2021-02-25 00:00:00.000,25,2,2021,-541,-77,-18,-1
2021-02-26 00:00:00.000,26,2,2021,-540,-77,-18,-1
2021-02-27 00:00:00.000,27,2,2021,-539,-77,-18,-1
2021-02-28 00:00:00.000,28,2,2021,-538,-77,-18,-1
2021-03-01 00:00:00.000,1,3,2021,-537,-76,-17,-1
2021-03-02 00:00:00.000,2,3,2021,-536,-76,-17,-1
2021-03-03 00:00:00.000,3,3,2021,-535,-76,-17,-1
