case_id,from_table,from_col,to_table,to_col,weight
159612708,178,806,61557,61561,0.17883527278900146
159612708,178,807,61952,61956,0.004139125347137451
159612708,28,346,124,648,0.3562866449356079
159612708,37,401,10,285,0.0016419291496276855
159612708,163,761,88,535,0.005365729331970215
159612708,16,301,89225,89237,0.31093698740005493
159612708,89225,89237,115,610,0.31093698740005493
159612708,22,335,16,301,0.3651875853538513
159612708,166,765,160,752,0.03377199172973633
159612708,13,295,34,376,0.4777987003326416
159612708,28,343,16,301,0
159612708,31,352,10,285,0
159612708,13,294,10,285,0
159612708,97,563,10,285,0
159612708,109,594,10,285,0
159612708,136,687,10,285,0
159612708,166,767,10,285,0
159612708,16,309,88,540,0
159612708,34,384,88,540,0
159612708,37,411,88,540,0
159612708,97,564,88,540,0
159612708,109,597,88,540,0
159612708,115,618,88,540,0
159612708,148,716,88,540,0
159612708,28819,28883,88,540,0
159612708,59888,59928,61557,61561,0
159612708,59888,59937,61952,61956,0
159612708,31,360,124,648,0
159612708,37,417,124,648,0
