case_id,from_table,from_col,to_table,to_col,weight
280113507-1,535,678,538,683,0.0014998912811279297
280113507-1,532,676,535,678,0.06345313787460327
280113507-1,511,645,553,694,0.2869819402694702
280113507-1,511,644,502,617,0.33338308334350586
280113507-1,511,634,505,622,0.16016417741775513
280113507-1,553,696,490,598,0.3149188160896301
280113507-1,505,632,478,571,0.33712685108184814
280113507-1,484,579,481,574,0.4455838203430176
280113507-1,484,581,523,660,0.054049134254455566
280113507-1,484,577,559,704,0.004696011543273926
280113507-1,487,586,520,656,0.3765143156051636
280113507-1,487,587,541,685,0.001112520694732666
280113507-1,544,687,547,690,0.0020072460174560547
280113507-1,550,692,544,687,0.00240403413772583
280113507-1,496,12119,526,663,0.34261131286621094
280113507-1,484,583,502,617,0
280113507-1,487,589,502,617,0
280113507-1,496,606,502,617,0
280113507-1,520,655,502,617,0
280113507-1,526,662,502,617,0
280113507-1,505,633,520,656,0
280113507-1,520,656,526,663,0
280113507-1,475,569,523,660,0
280113507-1,487,585,523,660,0
280113507-1,490,599,523,660,0
280113507-1,493,605,523,660,0
280113507-1,535,679,523,660,0
280113507-1,553,695,541,685,0
280113507-1,496,607,559,703,0
