case_id,from_table,from_col,to_table,to_col,weight
195439535-1,474,536,483,557,0.2049737572669983
195439535-1,492,4559,12,114,0.14237761497497559
195439535-1,492,573,486,561,0.181279718875885
195439535-1,492,574,477,548,0.26570725440979004
195439535-1,492,575,495,586,0.3619413375854492
195439535-1,495,585,480,551,0.15008831024169922
195439535-1,495,584,474,536,0.018437683582305908
195439535-1,489,566,462,501,0.00820767879486084
195439535-1,462,535,12,114,0
195439535-1,489,565,12,114,0
195439535-1,492,571,462,501,0
195439535-1,495,582,462,501,0
195439535-1,489,567,474,536,0
195439535-1,492,572,474,536,0
195439535-1,462,513,480,551,0
195439535-1,495,583,483,557,0
195439535-1,474,544,486,561,0
195439535-1,489,564,495,586,0
