case_id,from_table,from_col,to_table,to_col,weight
311026747,8276,8295,406,410,0.2931334376335144
311026747,8276,8296,471,475,0.2591516375541687
311026747,320,324,182,186,0.03715246915817261
311026747,320,326,4867,9431,0.23595786094665527
311026747,5176,5186,279,283,0.4348400831222534
311026747,5176,5184,11,112,0.017926573753356934
311026747,5176,5188,1883,1936,0.004343867301940918
311026747,5176,5196,515,519,0.002044200897216797
311026747,5176,5187,238,242,0.49958908557891846
311026747,5176,5185,182,186,0
311026747,8276,8294,182,186,0
311026747,8276,8293,11,112,0
311026747,320,325,1883,1936,0
311026747,8276,8285,1883,1936,0
