case_id,from_table,from_col,to_table,to_col,weight
554151827,5272,5280,1701,1707,0.16705739498138428
554151827,1701,1705,1640,1645,0.033991098403930664
554151827,1701,1707,1527,1533,0.2535812258720398
554151827,1186,1194,1823,1828,0.02744215726852417
554151827,1823,1828,1591,1596,0.2370726466178894
554151827,730,736,5272,5280,0.03977525234222412
554151827,730,735,468,480,0.12388062477111816
554151827,1759,1763,1881,1886,0.019791245460510254
554151827,1881,1887,419,423,0.09085255861282349
554151827,325,329,358,365,0.10026222467422485
554151827,809,827,325,329,0.121188223361969
554151827,1370,1387,1759,1763,0.011295020580291748
554151827,1527,1533,1186,1194,0.02351289987564087
554151827,1527,1534,1370,1387,0.1120728850364685
554151827,419,424,984,992,0.33808374404907227
554151827,1591,1596,809,828,0.14958029985427856
554151827,468,481,325,329,0
554151827,984,992,325,330,0
554151827,5428,5433,468,480,0
554151827,5507,5512,468,480,0
554151827,5428,5434,1186,1194,0
554151827,5507,5513,1186,1194,0
554151827,1370,1387,1881,1886,0
554151827,1527,1534,1881,1886,0
