case_id,from_table,from_col,to_table,to_col,weight
103904845,29329,29347,50398,50402,0.0011489391326904297
103904845,9572,9581,34,247,5.984306335449219e-05
103904845,28904,216311,34,247,0
103904845,30466,216823,34,247,0
103904845,29329,216429,34,247,0
103904845,25413,216941,34,247,0
103904845,30900,217057,34,247,0
103904845,556843,556890,34,247,0
103904845,9572,24937,50398,50402,0
103904845,28904,28935,50398,50402,0
103904845,30466,30482,50398,50402,0
103904845,25413,25445,50398,50402,0
103904845,30900,30916,50398,50402,0
103904845,556843,556867,50398,50402,0
