case_id,from_table,from_col,to_table,to_col,weight
254957695,2492,2496,2588,2599,0.032163798809051514
254957695,2492,2497,1028,1031,0.0074124932289123535
254957695,1742,1777,3657,3660,0.005530953407287598
254957695,1742,1753,3496,3503,0.4979621171951294
254957695,1742,1754,2322,2329,0.40543967485427856
254957695,2073,2081,1670,1674,0.4731164574623108
254957695,2073,2082,711,714,0.0017920732498168945
254957695,1028,1033,3884,3891,0.4505923390388489
254957695,3884,3892,1742,1753,0.21979928016662598
254957695,3657,3660,2073,2080,0.3417891263961792
254957695,1178,1181,1451,1459,0.01934075355529785
254957695,1451,1458,953,957,0.2262423038482666
254957695,2880,2889,3084,3087,0.05806237459182739
254957695,2880,2888,3800,3803,0.019830048084259033
254957695,3800,3804,1178,1181,0.021860122680664062
254957695,3409,3412,2880,2887,0.017070889472961426
254957695,3409,3413,3150,3161,0.003539144992828369
254957695,1265,1273,3705,3708,0.0033507943153381348
254957695,1742,1779,711,714,0
254957695,3457,3460,711,714,0
254957695,711,714,3705,3708,0
254957695,10754,10757,711,714,0
254957695,2588,2600,953,957,0
254957695,1028,1031,2880,2887,0
254957695,1742,1776,1178,1181,0
254957695,1178,1181,2073,2080,0
254957695,3150,3179,1178,1181,0
254957695,2073,2081,2588,2599,0
254957695,3457,3461,3150,3161,0
254957695,10754,10758,3705,3712,0
