GLDate,Amount,Group
2019-10-01 00:00:00.000,-164.76,150
2020-06-01 00:00:00.000,-834.0,920
2020-08-01 00:00:00.000,-84707.34,051
2020-01-01 00:00:00.000,60658.0,500
2020-09-01 00:00:00.000,-17090.0,940
2020-03-01 00:00:00.000,-131.0,660
2020-02-01 00:00:00.000,-1101.01,630
2020-02-01 00:00:00.000,-2724.32,695
2019-10-01 00:00:00.000,317.69,695
2020-07-01 00:00:00.000,-27987.34,010
2020-02-01 00:00:00.000,-5654.94,008
2020-04-01 00:00:00.000,-4567.0,200
2020-07-01 00:00:00.000,12101.12,780
2020-06-01 00:00:00.000,-83.32,530
2020-04-01 00:00:00.000,-53.55,713
2020-03-01 00:00:00.000,-149.68,780
2020-04-01 00:00:00.000,-101940.64,371
2020-05-01 00:00:00.000,-2576.0,940
2019-12-01 00:00:00.000,17538.43,610
2020-02-01 00:00:00.000,-7458.0,910
2019-12-01 00:00:00.000,14.94,650
2020-06-01 00:00:00.000,18213.2,400
2019-11-01 00:00:00.000,1439.0,200
2020-02-01 00:00:00.000,-227911.58,000
2020-07-01 00:00:00.000,-11323.98,101
2020-01-01 00:00:00.000,-102.1,530
2020-03-01 00:00:00.000,-199.0,415
2020-06-01 00:00:00.000,-1266.0,260
2020-03-01 00:00:00.000,-2731.48,660
2019-11-01 00:00:00.000,-4000.0,020
2019-12-01 00:00:00.000,-17716.61,000
2020-07-01 00:00:00.000,-28170.18,101
2020-03-01 00:00:00.000,-142.17,440
2020-03-01 00:00:00.000,0.04,999
2020-03-01 00:00:00.000,-105407.76,090
2019-11-01 00:00:00.000,-741.37,730
2020-05-01 00:00:00.000,-72.17,630
2019-11-01 00:00:00.000,-476.43,750
2019-10-01 00:00:00.000,-2083.54,435
2019-10-01 00:00:00.000,-472.0,920
2020-06-01 00:00:00.000,-5142.6,630
2019-11-01 00:00:00.000,-84.0,435
2020-02-01 00:00:00.000,-215.7,640
2020-04-01 00:00:00.000,-64.26,210
2020-05-01 00:00:00.000,-0.3,999
2020-04-01 00:00:00.000,254.4,000
2020-03-01 00:00:00.000,-1306.56,900
2019-11-01 00:00:00.000,-1984.0,910
2020-01-01 00:00:00.000,16229.4,630
2020-05-01 00:00:00.000,-227.4,554
2020-08-01 00:00:00.000,-17106.04,500
2019-11-01 00:00:00.000,-11848.05,290
2020-07-01 00:00:00.000,-3399.24,451
2020-03-01 00:00:00.000,-85.0,300
2020-06-01 00:00:00.000,180370.34,680
2020-03-01 00:00:00.000,-15531.14,430
2020-07-01 00:00:00.000,-29.02,770
2019-10-01 00:00:00.000,-3364.06,760
2020-02-01 00:00:00.000,-1938.72,590
2020-05-01 00:00:00.000,2248.46,700
2020-03-01 00:00:00.000,-256.05,620
2020-09-01 00:00:00.000,-2714.0,960
2020-04-01 00:00:00.000,-3746.0,940
2020-05-01 00:00:00.000,-7655.64,800
2020-02-01 00:00:00.000,-298264.08,230
2020-04-01 00:00:00.000,-51626.0,900
2019-11-01 00:00:00.000,-934.14,210
2020-08-01 00:00:00.000,778.66,695
2020-02-01 00:00:00.000,483180.7,350
2020-07-01 00:00:00.000,-105234.38,500
2020-02-01 00:00:00.000,-236.43,197
2019-11-01 00:00:00.000,-284.06,200
2019-11-01 00:00:00.000,20062.23,911
2020-06-01 00:00:00.000,-14784.84,710
2020-08-01 00:00:00.000,-310.0,020
2020-04-01 00:00:00.000,-84.13,630
2020-08-01 00:00:00.000,17302.55,250
2020-04-01 00:00:00.000,31466.0,695
2019-11-01 00:00:00.000,-1062.11,390
2020-02-01 00:00:00.000,-81.53,200
2019-12-01 00:00:00.000,-4303.64,415
2020-09-01 00:00:00.000,10048.62,120
2019-12-01 00:00:00.000,-969.85,390
2020-06-01 00:00:00.000,-170.38,445
2020-01-01 00:00:00.000,-97.15,690
2020-04-01 00:00:00.000,133092.06,254
2020-08-01 00:00:00.000,-715.26,001
2020-01-01 00:00:00.000,-1450.46,510
2020-09-01 00:00:00.000,5516.6,350
2020-04-01 00:00:00.000,-1302.0,960
2019-12-01 00:00:00.000,-456.83,210
2020-07-01 00:00:00.000,-2428.0,960
2020-04-01 00:00:00.000,-1874.0,910
2019-10-01 00:00:00.000,-360.0,000
2019-12-01 00:00:00.000,-216.55,240
2020-01-01 00:00:00.000,-19880.66,102
2020-06-01 00:00:00.000,-27.64,030
2020-01-01 00:00:00.000,2699.4,911
2019-10-01 00:00:00.000,-3183.9,030
2020-01-01 00:00:00.000,-1781.98,850
