POA code,Pop
800,7215
810,35174
812,18706
815,266
820,20398
822,28604
828,1278
829,2008
830,19155
832,19955
834,1986
835,5618
836,8120
837,438
838,871
839,591
840,369
841,743
845,526
846,365
847,365
850,8928
852,9423
853,934
854,998
860,3302
862,853
870,20972
872,17514
873,2631
874,586
875,2527
880,5729
885,954
886,1109
2000,33244
2006,1437
2007,10002
2008,13995
2009,14659
2010,31556
2011,24380
2015,11843
2016,16104
2017,32317
2018,21348
2019,13590
2020,18605
2021,17131
2022,13920
2023,11674
2024,12157
2025,8106
2026,36584
2027,8906
2028,5142
2029,10764
2030,15095
2031,38035
2032,18437
2033,13612
2034,23279
2035,37851
2036,34600
2037,19134
2038,10405
2039,9560
2040,24452
2041,17391
2042,21725
2043,9515
2044,8721
2045,6974
2046,29301
2047,12946
2048,8765
2049,12555
2050,10557
2052,4007
2060,16084
2061,6644
2062,7680
2063,6816
2064,10616
2065,33722
2066,35496
2067,29219
2068,17968
2069,15633
2070,14972
2071,14853
2072,8366
2073,17731
2074,23685
2075,22042
2076,25809
2077,42026
2079,7817
2080,1782
2081,5544
2082,5561
2083,1592
2084,3840
2085,12212
2086,14100
2087,13419
2088,30785
2089,12934
2090,14895
2092,7528
2093,24768
2094,6648
2095,17880
2096,16331
2097,16723
2099,44119
2100,22999
2101,20732
2102,8202
2103,11648
2104,3880
2105,1946
2106,9809
2107,15475
2108,1782
2109,3746
2110,10978
2111,15855
2112,38804
2113,21724
2114,27082
2115,12223
2116,7505
2117,23458
2118,28173
2119,12620
2120,21308
2121,33478
2122,34718
2123,0
2125,17211
2126,19306
2127,21326
2128,4761
2129,2
2130,7896
2131,26114
2132,12167
2133,11618
2134,18235
2135,28535
2136,7960
2137,29395
2138,22071
2139,62
2140,20095
2141,32597
2142,29444
2143,10396
2144,42161
2145,87770
2146,18855
2147,38322
2148,67538
2150,37253
2151,23260
2152,12381
2153,61553
2154,41958
2155,71689
2156,13611
2157,4012
2158,9220
2159,5080
2160,40358
2161,35118
2162,20969
2163,10324
2164,20897
2165,46070
2166,55534
2167,10399
2168,46486
2170,119352
2171,39703
2172,2953
2173,15214
2174,5394
2175,1959
2176,49967
2177,16925
2178,4465
2179,11089
2190,27984
2191,6743
2192,13564
2193,17543
2194,27141
2195,29053
2196,34650
2197,9956
2198,9907
2199,20039
2200,47829
2203,15388
2204,29062
2205,25730
2206,21252
2207,31512
2208,13610
2209,17004
2210,33823
2211,18133
2212,17409
2213,23943
2214,4281
2216,31407
2217,29985
2218,17655
2219,14371
2220,36285
2221,18220
2222,13280
2223,22380
2224,15458
2225,5682
2226,13096
2227,15529
2228,19917
2229,31294
2230,31745
2231,2510
2232,35157
2233,30195
2234,31358
2250,70226
2251,34067
2256,16310
2257,30793
2258,5296
2259,65036
2260,25630
2261,54780
2262,21562
2263,25333
2264,15618
2265,6419
2267,2789
2278,2690
2280,27298
2281,15131
2282,15391
2283,24099
2284,10935
2285,32974
2286,4198
2287,40045
2289,19736
2290,34897
2291,14191
2292,2602
2293,2755
2294,2167
2295,8154
2296,2007
2297,1851
2298,9872
2299,12234
2300,12546
2302,632
2303,9651
2304,15862
2305,13007
2306,3449
2307,4540
2308,1562
2311,940
2312,1596
2314,225
2315,15774
2316,6099
2317,6617
2318,13357
2319,6936
2320,38810
2321,17299
2322,21445
2323,27188
2324,24687
2325,31141
2326,7969
2327,8289
2328,2460
2329,2228
2330,20620
2331,325
2333,13921
2334,3105
2335,7004
2336,2633
2337,7837
2338,1401
2339,681
2340,51742
2341,1581
2342,486
2343,5092
2344,762
2345,734
2346,3160
2347,1936
2350,26451
2351,1018
2352,2754
2353,1141
2354,3539
2355,687
2356,158
2357,4103
2358,3746
2359,741
2360,14791
2361,897
2365,3820
2369,889
2370,7716
2371,1153
2372,4617
2379,303
2380,10824
2381,1148
2382,1249
2386,351
2387,189
2388,2667
2390,8926
2395,652
2396,847
2397,378
2398,231
2399,579
2400,10021
2401,328
2402,1795
2403,734
2404,1912
2405,505
2406,897
2408,372
2409,1007
2410,278
2411,119
2415,390
2420,4272
2421,2010
2422,5499
2423,3035
2424,433
2425,1819
2426,719
2427,3460
2428,24945
2429,9949
2430,35735
2431,5414
2439,3361
2440,22560
2441,4447
2443,9701
2444,50395
2445,7145
2446,14545
2447,7518
2448,9231
2449,2228
2450,46825
2452,15490
2453,2694
2454,7988
2455,3112
2456,16164
2460,29830
2462,2428
2463,7735
2464,6944
2465,287
2466,1772
2469,4092
2470,15515
2471,2583
2472,1982
2473,3257
2474,6290
2475,391
2476,753
2477,13007
2478,30858
2479,5278
2480,45352
2481,13470
2482,7141
2483,11694
2484,19896
2485,15340
2486,32870
2487,15977
2488,3510
2489,8105
2490,666
2500,45840
2502,13045
2505,5183
2506,8172
2508,9560
2515,12026
2516,6533
2517,14757
2518,19903
2519,18164
2522,323
2525,12474
2526,15976
2527,23875
2528,24312
2529,29176
2530,35187
2533,17164
2534,6334
2535,7812
2536,18552
2537,12558
2538,2636
2539,19854
2540,47932
2541,27299
2545,1087
2546,9391
2548,8306
2549,4071
2550,16282
2551,3548
2555,224
2556,3030
2557,16438
2558,11417
2559,3091
2560,82945
2563,315
2564,14670
2565,26847
2566,28898
2567,44037
2568,1351
2569,1559
2570,53907
2571,13444
2572,5028
2573,5568
2574,6036
2575,17007
2576,14130
2577,16750
2578,2862
2579,4265
2580,31183
2581,2304
2582,13110
2583,4691
2584,587
2585,224
2586,2594
2587,2908
2588,262
2590,7105
2594,11779
2600,7819
2601,7081
2602,33087
2603,10247
2604,12324
2605,11998
2606,10995
2607,13949
2609,909
2611,32403
2612,18920
2614,19907
2615,44855
2617,36311
2618,1551
2619,9897
2620,44181
2621,6855
2622,4369
2623,675
2625,406
2626,539
2627,4861
2628,2039
2629,553
2630,8863
2631,582
2632,1859
