Team Name,Team Amount Raised,Team Member Count
"""CARMEN"" Walk With Me",0,1
"#Blister Sisters",0,1
"#ChildersGroup",0,1
"#LetsDoThisTeam",0,1
"#mumsquad",0,1
"#teamSuzie",0,1
"-The A Team-",0,1
"1RSU",0,1
"2021 endota Wellness College Community",0,1
"2U Walking 4U",0,1
"4 da kids",0,1
"4Swans",0,1
"5tep up",0,1
"8BEN1",0,1
"A Better Mental Future",0,1
"A Good Walk",0,1
"A Rea of Hope",0,1
"A TEAM MANTRA EPPING",0,1
"A Team 2.0",0,1
"A-E",0,1
"ACH2021",0,1
"AJ’s Mental illness walk team",0,1
"ANSC",0,1
"Accident Claims Lawyers WA",0,1
"Action Squad",0,1
"Administration Team",0,1
"Afnan's Legendary Team!",0,1
"Aggie",0,1
"Ahahha",0,1
"Alina'team",0,1
"All stars",0,1
"Amazing Superstars",0,1
"AnglicareVic",0,1
"Anxious ladies",0,1
"Art Attack",0,1
"Ash’s team",0,1
"Attwood Marshall Lawyers",0,1
"Awesomeness",0,1
"BAULKO",0,1
"Barbanti Dundas family",0,1
"Barrett",0,1
"Barwon Health MHDAS C-AIS cruisers 2021",0,1
"Bate Power",0,1
"Beat The Lockdown Blues",0,1
"Beautifully Bonkers",0,1
"Becks Team for Mental Illness",0,1
"Beers and snittys",0,1
"Bellarine Mums and Grandmums",0,1
"Bella’s team",0,1
"Best Foot Forward",0,1
"Better man",0,1
"Between a walk and a hard pace",0,1
"Big fellas",0,1
"Bipolar express",0,1
"Black Dog Be Gone",0,1
"Black dog",0,1
"Black dog floggers",0,1
"Body for Life",0,1
"Book Club",0,1
"Breen Team",0,1
"Briones Team",0,1
"Brooke & Rach",0,1
"Bruce’s babies",0,1
"Buderim Electrical",0,1
"Busy Bee's Girls",0,1
"CV1228",0,1
"Cabco kitchens",0,1
"Cairns Clinic",0,1
"Calvett, Morris and Hoare clan",0,1
"Candice",0,1
"Carey",0,1
"Carlos",0,1
"CauseWeCan",0,1
"ChanMacStapo",0,1
"Change for the better",0,1
"Checkonyamates",0,1
"Chickenz",0,1
"Chilli peps & Co",0,1
"Chorus",0,1
"Cirque De Sore Legs",0,1
"City West Territory",0,1
"Coles",0,1
"Commonwealth Bank Resolutions Team",0,1
"Cool Waters",0,1
"Corinna",0,1
"Corona Crusaders",0,1
"Coulson’s",0,1
"Crazy",0,1
"Crew",0,1
"Crows",0,1
"Crunch Wrap Supreme",0,1
"Cuddles",0,1
"DHL SYDGTW OPERATIONS",0,1
"DREAM",0,1
"DSSW - Charles Sturt University",0,1
"Daisy",0,1
"Dakota and Katie",0,1
"Darebin Daredevils",0,1
"Darwin Spotty Dotties",0,1
"DayDreamers",0,1
"Deb’s Doer’s Do",0,1
"Deefinne",0,1
"Dennis bears",0,1
"Diversity & Inclusion",0,1
"Dodd Family",0,1
"Dog Squad",0,1
"Doing it for Darby!",0,1
"Doing it for mental health",0,1
"Don’t Sit on It.",0,1
"Double D",0,1
"Ducat family",0,1
"Dumbledore’s Army",0,1
"E, L, E",0,1
"EAC chaplains walkinh",0,1
"EPCCC",0,1
"ER ANZ team",0,1
"ESCEXCELLORS",0,1
"Each Step Matter",0,1
"Easier said than run",0,1
"Easy peasy lemon squeezy",0,1
"Edd TEST TEAM",0,1
"Edmunds Family",0,1
"Edwards house",0,1
"Elevate Bootcamps",0,1
"Eliza and Nadia",0,1
"Emanmaet",0,1
"Emotional Support Mumma’s",0,1
"Emz Angels",0,1
"Encore Fiji",0,1
"Every step counts",0,1
"Exceed team",0,1
"Express Recycling",0,1
"F and R Ho",0,1
"FOOTPRINT",0,1
"Fabbiulous",0,1
"Family Is one",0,1
"Farrer Hall",0,1
"Fast out of the gait",0,1
"Fight or Flight Fitness",0,1
"Fighting Chance",0,1
"Fighting PTSD Vicpol",0,1
"FitKylie",0,1
"Fitness Freaks",0,1
"Foodies",0,1
"For Adrian",0,1
"For Jack",0,1
"For all of us",0,1
"For those fighting strong!",0,1
"Forever moving forward",0,1
"Fragrance Lovers ♡",0,1
"Free from mental illness",0,1
"Friends support Friends",0,1
"Frostys team",0,1
"Funbunnys",0,1
"G Block",0,1
"GLOW WITH MEE",0,1
"Gal gang",0,1
"Garn for a walk",0,1
"Get Flocked",0,1
"Get em girl",0,1
"Get ya head read",0,1
"Ghouls don't cry",0,1
"Girlpower-2021",0,1
"Giving back hope",0,1
"Glenelg",0,1
"Gogetters",0,1
"Golden Gods",0,1
"Goodlife Ashgrove",0,1
"Goodlife Health Club Adelaide City",0,1
"Goodlife Jindalee",0,1
"Goodlife Queen Street",0,1
"Goodlife Springwood",0,1
"Goodstart girls",0,1
"Goodwin Girls",0,1
"HYPOXI QLD",0,1
"Hannah's walk",0,1
"Happy",0,1
"Happy Chappy’s",0,1
"Happy minders",0,1
"Happy mums happy bubs",0,1
"Hassett",0,1
"Have a chats",0,1
"Hawkesbury City Council",0,1
"Head over Heels 👠",0,1
"Healsum Holistic Health",0,1
"Heath's walk the Peninsula",0,1
"Help a stranger",0,1
"Hold Space",0,1
"Hudson's Hero's 💗",0,1
"Hummingbird singing",0,1
"ICAMHS Macarthur",0,1
"Im here for you",0,1
"In loving memory",0,1
"In memory of Elias El-Khoury",0,1
"Inspection team",0,1
"Irene shaleen",0,1
"Irida Wellness and Beauty",0,1
"It's okay to not be okay",0,1
"It's time",0,1
"It’s ok not to be ok 🤍",0,1
"JR's Team",0,1
"Jaxos",0,1
"Jenkins",0,1
"JessFitness",0,1
"Jetts WA",0,1
"Jindalee Fitness 24/7",0,1
"JoMaCK",0,1
