order_id,variable,value
443,invoice_id,68
134,invoice_id,80
157,invoice_id,84
835,invoice_id,70
111,invoice_id,100
871,invoice_id,89
738,invoice_id,3
422,invoice_id,5
761,invoice_id,64
339,invoice_id,14
491,invoice_id,7
182,invoice_id,82
763,invoice_id,71
883,invoice_id,38
445,invoice_id,83
979,invoice_id,72
754,invoice_id,97
902,invoice_id,98
253,invoice_id,73
858,invoice_id,3
522,invoice_id,5
462,invoice_id,17
3,invoice_id,1
458,invoice_id,47
559,invoice_id,27
623,invoice_id,93
231,invoice_id,82
295,invoice_id,27
984,invoice_id,10
569,invoice_id,96
928,invoice_id,18
348,invoice_id,53
728,invoice_id,12
390,invoice_id,86
1000,invoice_id,13
530,invoice_id,13
904,invoice_id,57
620,invoice_id,14
983,invoice_id,90
144,invoice_id,84
880,invoice_id,92
221,invoice_id,21
826,invoice_id,86
886,invoice_id,55
797,invoice_id,66
743,invoice_id,69
258,invoice_id,49
670,invoice_id,7
185,invoice_id,50
653,invoice_id,31
579,invoice_id,94
875,invoice_id,89
701,invoice_id,81
604,invoice_id,92
42,invoice_id,90
60,invoice_id,4
715,invoice_id,74
16,invoice_id,2
586,invoice_id,9
555,invoice_id,86
793,invoice_id,70
136,invoice_id,20
508,invoice_id,2
557,invoice_id,56
676,invoice_id,35
918,invoice_id,99
845,invoice_id,3
811,invoice_id,92
166,invoice_id,73
509,invoice_id,38
251,invoice_id,67
367,invoice_id,40
642,invoice_id,44
158,invoice_id,28
780,invoice_id,53
775,invoice_id,5
816,invoice_id,79
87,invoice_id,21
639,invoice_id,76
812,invoice_id,8
881,invoice_id,86
159,invoice_id,69
741,invoice_id,86
160,invoice_id,98
844,invoice_id,26
521,invoice_id,30
634,invoice_id,87
971,invoice_id,92
228,invoice_id,6
879,invoice_id,44
41,invoice_id,54
233,invoice_id,66
446,invoice_id,78
583,invoice_id,59
374,invoice_id,48
178,invoice_id,92
272,invoice_id,82
199,invoice_id,39
151,invoice_id,92
593,invoice_id,2
443,product_id,42
134,product_id,29
157,product_id,39
835,product_id,36
111,product_id,28
871,product_id,10
738,product_id,19
422,product_id,5
761,product_id,37
339,product_id,84
491,product_id,10
182,product_id,14
763,product_id,32
883,product_id,98
445,product_id,22
979,product_id,85
754,product_id,33
902,product_id,78
253,product_id,87
858,product_id,18
522,product_id,56
462,product_id,9
3,product_id,19
458,product_id,100
559,product_id,57
623,product_id,60
231,product_id,18
295,product_id,91
984,product_id,21
569,product_id,97
928,product_id,26
348,product_id,70
728,product_id,70
390,product_id,66
1000,product_id,91
530,product_id,17
904,product_id,2
620,product_id,57
983,product_id,89
144,product_id,21
880,product_id,66
221,product_id,1
826,product_id,88
886,product_id,94
797,product_id,57
743,product_id,77
258,product_id,52
670,product_id,54
185,product_id,9
653,product_id,92
579,product_id,96
875,product_id,33
701,product_id,42
604,product_id,92
42,product_id,36
60,product_id,6
715,product_id,98
16,product_id,80
586,product_id,41
555,product_id,46
793,product_id,40
136,product_id,84
508,product_id,54
557,product_id,53
676,product_id,40
918,product_id,32
845,product_id,67
811,product_id,65
166,product_id,13
509,product_id,85
251,product_id,46
367,product_id,40
642,product_id,62
158,product_id,77
780,product_id,52
775,product_id,60
816,product_id,78
87,product_id,28
639,product_id,56
812,product_id,27
881,product_id,65
159,product_id,87
741,product_id,92
160,product_id,24
844,product_id,16
521,product_id,63
634,product_id,1
971,product_id,35
228,product_id,29
879,product_id,31
41,product_id,32
233,product_id,36
446,product_id,66
583,product_id,96
374,product_id,29
178,product_id,57
272,product_id,81
199,product_id,86
151,product_id,23
593,product_id,14
443,count,78
134,count,6
157,count,30
835,count,44
111,count,46
871,count,17
738,count,77
422,count,38
761,count,92
339,count,59
491,count,10
182,count,64
763,count,63
883,count,52
445,count,36
