invoice_id,invoice_date,customer_id
1,2017-05-16 00:00:00.000,12
2,2016-07-22 00:00:00.000,43
3,2017-08-23 00:00:00.000,60
4,2016-12-30 00:00:00.000,76
5,2017-12-15 00:00:00.000,4
6,2016-12-11 00:00:00.000,46
7,2017-02-08 00:00:00.000,39
8,2018-04-15 00:00:00.000,95
9,2016-06-17 00:00:00.000,84
10,2017-06-03 00:00:00.000,88
11,2016-01-29 00:00:00.000,93
12,2016-12-20 00:00:00.000,71
13,2016-09-19 00:00:00.000,75
14,2016-12-08 00:00:00.000,23
15,2016-07-05 00:00:00.000,85
16,2017-09-25 00:00:00.000,15
17,2016-09-25 00:00:00.000,31
18,2016-07-18 00:00:00.000,92
19,2017-06-13 00:00:00.000,26
20,2018-06-09 00:00:00.000,1
21,2018-05-01 00:00:00.000,96
22,2017-03-16 00:00:00.000,77
23,2017-08-01 00:00:00.000,9
24,2016-02-02 00:00:00.000,37
25,2017-12-01 00:00:00.000,17
26,2016-09-18 00:00:00.000,87
27,2016-07-19 00:00:00.000,68
28,2016-08-14 00:00:00.000,26
29,2017-10-30 00:00:00.000,93
30,2017-05-11 00:00:00.000,64
31,2016-01-30 00:00:00.000,8
32,2017-09-01 00:00:00.000,23
33,2016-03-22 00:00:00.000,33
34,2017-03-14 00:00:00.000,80
35,2016-01-17 00:00:00.000,39
36,2018-05-22 00:00:00.000,92
37,2016-10-25 00:00:00.000,30
38,2017-05-14 00:00:00.000,27
39,2018-02-25 00:00:00.000,21
40,2018-02-20 00:00:00.000,5
41,2016-04-26 00:00:00.000,51
42,2016-10-08 00:00:00.000,4
43,2017-11-05 00:00:00.000,97
44,2017-08-23 00:00:00.000,46
45,2017-09-14 00:00:00.000,84
46,2017-10-11 00:00:00.000,23
47,2017-02-24 00:00:00.000,69
48,2017-03-25 00:00:00.000,62
49,2018-02-13 00:00:00.000,67
50,2017-01-31 00:00:00.000,2
51,2016-05-15 00:00:00.000,93
52,2018-07-01 00:00:00.000,3
53,2018-03-19 00:00:00.000,85
54,2017-08-04 00:00:00.000,98
55,2016-04-17 00:00:00.000,41
56,2016-09-26 00:00:00.000,14
57,2016-06-04 00:00:00.000,67
58,2016-01-15 00:00:00.000,2
59,2018-06-02 00:00:00.000,3
60,2017-05-28 00:00:00.000,18
61,2017-02-18 00:00:00.000,44
62,2016-05-27 00:00:00.000,95
63,2017-08-28 00:00:00.000,40
64,2017-01-05 00:00:00.000,91
65,2018-05-28 00:00:00.000,57
66,2016-04-05 00:00:00.000,13
67,2017-10-16 00:00:00.000,1
68,2016-11-04 00:00:00.000,29
69,2016-06-17 00:00:00.000,70
70,2017-11-19 00:00:00.000,42
71,2018-03-12 00:00:00.000,19
72,2016-07-23 00:00:00.000,81
73,2016-03-08 00:00:00.000,38
74,2017-12-12 00:00:00.000,42
75,2016-08-17 00:00:00.000,29
76,2018-05-31 00:00:00.000,73
77,2018-05-01 00:00:00.000,58
78,2018-06-23 00:00:00.000,32
79,2017-05-03 00:00:00.000,92
80,2017-02-05 00:00:00.000,43
81,2018-01-09 00:00:00.000,59
82,2018-06-17 00:00:00.000,39
83,2016-01-27 00:00:00.000,90
84,2016-09-10 00:00:00.000,87
85,2016-02-20 00:00:00.000,21
86,2017-12-29 00:00:00.000,84
87,2016-07-27 00:00:00.000,74
88,2018-01-30 00:00:00.000,15
89,2016-11-17 00:00:00.000,42
90,2017-02-02 00:00:00.000,48
91,2017-11-09 00:00:00.000,52
92,2017-07-30 00:00:00.000,13
93,2018-04-12 00:00:00.000,5
94,2016-06-23 00:00:00.000,17
95,2017-12-13 00:00:00.000,64
96,2018-01-28 00:00:00.000,55
97,2016-07-07 00:00:00.000,40
98,2017-07-23 00:00:00.000,65
